user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,African Heat,Jerusalema (feat. Nomcebo Zikode),Jerusalema,24/01/20,DAY,0.88,0.483,0.0504,0.0185,0.0000,0.0607,0.827,1
spotify,African Heat,Jeje,Jeje,26/02/20,DAY,0.824,0.636,0.296,0.2250,0.0000,0.0768,0.702,2
spotify,African Heat,La go,La go,08/05/20,DAY,0.751,0.701,0.0711,0.4580,0.0052,0.251,0.64,3
spotify,African Heat,Baby I'm Jealous,One Day You Will Understand,10/06/20,DAY,0.667,0.442,0.291,0.1480,0.0000,0.102,0.526,4
spotify,African Heat,Nia Lo,I Am The King Of Amapiano: Sweet & Dust,26/06/20,DAY,0.783,0.454,0.0783,0.1100,0.1070,0.0682,0.59,5
spotify,African Heat,Woman,Woman,02/07/20,DAY,0.84,0.687,0.1,0.1150,0.0000,0.115,0.678,6
spotify,African Heat,Putuu Freestyle (Pray),Putuu Freestyle (Pray),19/07/20,DAY,0.947,0.781,0.0978,0.4860,0.0000,0.0811,0.798,7
spotify,African Heat,Everytime,Everytime,24/07/20,DAY,0.778,0.717,0.128,0.2240,0.0000,0.119,0.458,8
spotify,African Heat,Cool Me Down (feat. Wizkid),Cool Me Down (feat. Wizkid),28/07/20,DAY,0.783,0.809,0.0668,0.0813,0.0036,0.109,0.904,9
spotify,African Heat,Konnect,Isolation Room,31/07/20,DAY,0.825,0.543,0.0385,0.5810,0.0039,0.104,0.898,10
spotify,African Heat,What Type Of Dance,What Type Of Dance,04/08/20,DAY,0.91,0.741,0.0797,0.1140,0.0000,0.133,0.648,11
spotify,African Heat,Koroba,Koroba,06/08/20,DAY,0.85,0.645,0.0611,0.3580,0.0000,0.09,0.93,12
spotify,African Heat,True Love,True Love,07/08/20,DAY,0.749,0.602,0.0798,0.0313,0.0005,0.0337,0.965,13
spotify,African Heat,Abracadabra,Abracadabra,07/08/20,DAY,0.735,0.696,0.0574,0.0562,0.0292,0.0594,0.955,14
spotify,African Heat,ODO,ODO,07/08/20,DAY,0.726,0.773,0.0973,0.6680,0.0001,0.347,0.506,15
spotify,African Heat,Forever,4 Play,09/08/20,DAY,0.605,0.559,0.281,0.1160,0.0002,0.298,0.826,16
spotify,African Heat,PAMI (feat. Wizkid- Adekunle Gold & Omah Lay),PAMI (feat. Wizkid  Adekunle Gold & Omah Lay),13/08/20,DAY,0.755,0.645,0.0944,0.6250,0.0000,0.197,0.695,17
spotify,African Heat,Real Life (feat. Stormzy),Twice As Tall,13/08/20,DAY,0.594,0.568,0.0701,0.1470,0.0000,0.339,0.407,18
spotify,African Heat,Champion,APOLLO,19/08/20,DAY,0.816,0.751,0.0493,0.0606,0.0000,0.103,0.25,19
spotify,African Heat,Pretty Girl,Afro Pop  Vol. 1,21/08/20,DAY,0.8,0.751,0.0781,0.0097,0.0008,0.0381,0.646,20
