user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
11135746947,Chazin,Is This Love,Kaya   Deluxe Edition,23/03/78,DAY,0.766,0.525,0.099,0.0084,0.0000,0.055,0.864,1
11135746947,Chazin,She's Gone,Kaya   Deluxe Edition,23/03/78,DAY,0.573,0.423,0.157,0.0316,0.0000,0.0523,0.588,2
11135746947,Chazin,Kaya,Kaya   Deluxe Edition,23/03/78,DAY,0.813,0.522,0.0619,0.0064,0.0000,0.0634,0.868,3
11135746947,Chazin,Satisfy My Soul,Kaya   Deluxe Edition,23/03/78,DAY,0.757,0.382,0.184,0.0008,0.0000,0.129,0.427,4
11135746947,Chazin,Sun Is Shining,Kaya   Deluxe Edition,23/03/78,DAY,0.779,0.544,0.0635,0.0005,0.0000,0.0586,0.597,5
11135746947,Chazin,O Sagaz Homem Fumaça,A Invasão do Sagaz Homem Fumaça,22/03/00,DAY,0.722,0.723,0.286,0.0387,0.0001,0.125,0.693,6
11135746947,Chazin,Redemption Song,Uprising,01/01/02/06/05,YEAR,0.671,0.256,0.0387,0.6080,0.0000,0.0737,0.694,7
11135746947,Chazin,True To Myself,Dragonfly,31/03/03,DAY,0.88,0.564,0.0498,0.0796,0.0000,0.0565,0.83,8
11135746947,Chazin,True To Myself,Dragonfly,31/03/03,DAY,0.88,0.564,0.0498,0.0796,0.0000,0.0565,0.83,9
11135746947,Chazin,Aquele Lugar,Esse É O Remédio,01/01/06,DAY,0.776,0.594,0.0613,0.1740,0.0000,0.126,0.781,10
11135746947,Chazin,Positive Vibration - Live At The Stanley Theatre- 9/23/1980,Live Forever: The Stanley Theatre  Pittsburgh  PA  9/23/1980,01/02/11,DAY,0.522,0.717,0.0758,0.0724,0.0000,0.988,0.554,11
11135746947,Chazin,A Novidade - Live,Especial Ivete  Gil E Caetano,01/01/12,DAY,0.721,0.548,0.064,0.4380,0.0000,0.621,0.609,12
11135746947,Chazin,Legalize,What's My Name?!,24/02/12,DAY,0.563,0.779,0.335,0.0336,0.0000,0.342,0.746,13
11135746947,Chazin,Iluminar,Box Natiruts,14/08/12,DAY,0.781,0.512,0.0509,0.0429,0.2710,0.0867,0.572,14
11135746947,Chazin,No Ritmo- no Tempo,Sem Crise,05/12/12,DAY,0.757,0.8,0.296,0.4160,0.0000,0.0536,0.696,15
11135746947,Chazin,Like a Lion,Seco e Ainda Vivo,01/02/13,DAY,0.859,0.567,0.0599,0.0026,0.0007,0.0399,0.411,16
11135746947,Chazin,Farinha Pouca,Seco e Ainda Vivo,01/02/13,DAY,0.813,0.7,0.0523,0.0459,0.0000,0.0584,0.659,17
11135746947,Chazin,Pedras Pesadas,Seco e Ainda Vivo,01/02/13,DAY,0.914,0.462,0.0656,0.0159,0.0000,0.153,0.627,18
