user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
11135746947,Favela's Window,Jorge da Capadócia,Sobrevivendo no Inferno,07/10/97,DAY,0.619,0.33,0.0467,0.1810,0.0187,0.136,0.208,1
11135746947,Favela's Window,Follow Me - Fatboy Slim Remix,The Best of Mr Bongo (Mr Bongo Presents),20/10/08,DAY,0.638,0.985,0.208,0.0074,0.0022,0.238,0.428,2
11135746947,Favela's Window,Falcão,Retrato,17/07/12,DAY,0.706,0.642,0.352,0.2420,0.0000,0.0781,0.806,3
11135746947,Favela's Window,Pseudosocial,Pseudosocial,30/03/16,DAY,0.644,0.49,0.328,0.8270,0.0000,0.163,0.886,4
11135746947,Favela's Window,Dispiei,Pirâmide Perdida (Vol. 7),07/07/16,DAY,0.617,0.666,0.151,0.8160,0.0016,0.176,0.66,5
11135746947,Favela's Window,Horyuken,Wor'King,05/10/16,DAY,0.689,0.633,0.203,0.1620,0.0000,0.0852,0.283,6
11135746947,Favela's Window,Ponta de Lança (Verso Livre),Ponta de Lança (Verso Livre),26/12/16,DAY,0.887,0.602,0.207,0.3610,0.0001,0.084,0.947,7
11135746947,Favela's Window,Invisível,Invisível,01/02/17,DAY,0.725,0.618,0.046,0.3250,0.0001,0.384,0.479,8
11135746947,Favela's Window,#Tamotransandodefato,#Tamotransandodefato,03/03/17,DAY,0.757,0.778,0.245,0.0253,0.0000,0.0655,0.753,9
11135746947,Favela's Window,A Pior Música do Ano,A Pior Música do Ano,06/03/17,DAY,0.818,0.494,0.429,0.1100,0.0000,0.111,0.808,10
11135746947,Favela's Window,Verdades Inventadas,Heresia,17/03/17,DAY,0.654,0.709,0.387,0.1920,0.0000,0.176,0.273,11
11135746947,Favela's Window,Geminiano,Heresia,17/03/17,DAY,0.564,0.794,0.399,0.1670,0.0000,0.221,0.389,12
11135746947,Favela's Window,Heresia,Heresia,17/03/17,DAY,0.805,0.715,0.469,0.1400,0.0000,0.117,0.396,13
11135746947,Favela's Window,Corre das Notas,Heresia,17/03/17,DAY,0.701,0.773,0.391,0.2150,0.0000,0.118,0.577,14
11135746947,Favela's Window,O Mundo É Nosso,Heresia,17/03/17,DAY,0.83,0.708,0.414,0.2240,0.0000,0.303,0.694,15
11135746947,Favela's Window,Vazio,Vazio   Single,04/06/17,DAY,0.598,0.84,0.342,0.4890,0.0000,0.14,0.455,16
11135746947,Favela's Window,Lupa,Lupa   Single,04/06/17,DAY,0.515,0.791,0.448,0.6640,0.0000,0.105,0.58,17
11135746947,Favela's Window,Dorflex,Dorflex,14/06/17,DAY,0.729,0.693,0.278,0.3100,0.0000,0.373,0.611,18
11135746947,Favela's Window,Primatas,Primatas,04/07/17,DAY,0.686,0.821,0.13,0.2750,0.0000,0.116,0.703,19
11135746947,Favela's Window,Olho de Tigre,Olho de Tigre,25/07/17,DAY,0.78,0.721,0.39,0.3340,0.0000,0.0459,0.493,20
11135746947,Favela's Window,Ainda é Cedo,Nêgo Roque,11/09/17,DAY,0.79,0.473,0.186,0.1250,0.0000,0.0975,0.477,21
11135746947,Favela's Window,Meus Melhores Versos,Meus Melhores Versos,22/09/17,DAY,0.642,0.788,0.158,0.2440,0.0000,0.255,0.748,22
11135746947,Favela's Window,Me Orienta,Me Orienta,27/10/17,DAY,0.96,0.632,0.119,0.3060,0.0000,0.088,0.676,23
11135746947,Favela's Window,Django (feat. Emicida),No Dia dos Nossos,17/11/17,DAY,0.651,0.501,0.509,0.0638,0.0000,0.341,0.475,24
11135746947,Favela's Window,SOLTO,O MENINO QUE QUERIA SER DEUS,16/03/18,DAY,0.688,0.732,0.368,0.2250,0.0000,0.124,0.922,25
11135746947,Favela's Window,ETERNO,O MENINO QUE QUERIA SER DEUS,16/03/18,DAY,0.752,0.619,0.528,0.2500,0.0000,0.416,0.534,26
11135746947,Favela's Window,DE LÁ,O MENINO QUE QUERIA SER DEUS,16/03/18,DAY,0.546,0.416,0.399,0.8060,0.0002,0.112,0.504,27
11135746947,Favela's Window,ESTOURO,O MENINO QUE QUERIA SER DEUS,16/03/18,DAY,0.765,0.777,0.385,0.3700,0.0000,0.34,0.553,28
11135746947,Favela's Window,JUNHO DE 94,O MENINO QUE QUERIA SER DEUS,16/03/18,DAY,0.557,0.736,0.43,0.2540,0.0000,0.616,0.349,29
11135746947,Favela's Window,1010,O MENINO QUE QUERIA SER DEUS,16/03/18,DAY,0.681,0.825,0.498,0.4560,0.0000,0.0898,0.509,30
11135746947,Favela's Window,CORRA,O MENINO QUE QUERIA SER DEUS,16/03/18,DAY,0.64,0.565,0.207,0.2540,0.0000,0.101,0.258,31
11135746947,Favela's Window,UFA,O MENINO QUE QUERIA SER DEUS,16/03/18,DAY,0.93,0.572,0.195,0.0433,0.0000,0.202,0.34,32
11135746947,Favela's Window,A Música da Mãe,A Música da Mãe,24/08/18,DAY,0.876,0.476,0.328,0.2470,0.0000,0.178,0.516,33
11135746947,Favela's Window,Maior Que Seu Mundo,Bendito,31/08/18,DAY,0.782,0.743,0.11,0.0263,0.0000,0.0645,0.423,34
11135746947,Favela's Window,Yeah,Yeah,11/12/18,DAY,0.788,0.558,0.348,0.4740,0.0000,0.446,0.609,35
11135746947,Favela's Window,Ca$h Ca$h,Ca$h Ca$h,09/03/19,DAY,0.944,0.284,0.326,0.3050,0.0013,0.116,0.0794,36
11135746947,Favela's Window,TIPO,Ladrão,13/03/19,DAY,0.709,0.459,0.436,0.4260,0.0000,0.082,0.505,37
11135746947,Favela's Window,LADRÃO,Ladrão,13/03/19,DAY,0.923,0.673,0.463,0.1800,0.0000,0.14,0.339,38
11135746947,Favela's Window,BENÇA,Ladrão,13/03/19,DAY,0.73,0.433,0.483,0.0231,0.0000,0.133,0.364,39
11135746947,Favela's Window,VOZ,Ladrão,13/03/19,DAY,0.767,0.685,0.347,0.1330,0.0000,0.125,0.448,40
11135746947,Favela's Window,DEUS E O DIABO NA TERRA DO SOL,Ladrão,13/03/19,DAY,0.718,0.542,0.361,0.0247,0.0000,0.173,0.415,41
11135746947,Favela's Window,LEAL,Ladrão,13/03/19,DAY,0.545,0.498,0.342,0.0835,0.0000,0.128,0.548,42
11135746947,Favela's Window,BENÉ,Ladrão,13/03/19,DAY,0.831,0.553,0.413,0.0111,0.0000,0.0665,0.595,43
11135746947,Favela's Window,Bratz,Bratz,31/03/19,DAY,0.859,0.432,0.203,0.4440,0.0065,0.0588,0.205,44
11135746947,Favela's Window,Deus e família,Deus e família,17/05/19,DAY,0.713,0.632,0.431,0.3200,0.0000,0.0802,0.593,45
11135746947,Favela's Window,Cigarro,Rap de Massagem,29/07/19,DAY,0.684,0.609,0.353,0.3030,0.0000,0.327,0.746,46
11135746947,Favela's Window,Xoxo,Xoxo,19/11/19,DAY,0.948,0.398,0.706,0.0313,0.0000,0.0314,0.385,47
11135746947,Favela's Window,Facetime,Facetime,29/02/20,DAY,0.867,0.398,0.408,0.2620,0.0000,0.211,0.729,48
11135746947,Favela's Window,Não Sei Rezar (prod. Coyote Beatz),Histórias da Minha Área,16/03/20,DAY,0.819,0.551,0.166,0.0251,0.0000,0.138,0.291,49
11135746947,Favela's Window,Todo Errado (prod. Coyote Beatz),Histórias da Minha Área,16/03/20,DAY,0.742,0.729,0.278,0.1850,0.0000,0.143,0.276,50
11135746947,Favela's Window,Gelo (prod. Coyote Beatz),Histórias da Minha Área,16/03/20,DAY,0.649,0.576,0.502,0.0232,0.0000,0.0685,0.754,51
