user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
12170052496,This Is Los Hermanos,Anna Júlia,Los Hermanos,05/06/99,DAY,0.427,0.817,0.0385,0.0445,0.0000,0.0801,0.458,1
12170052496,This Is Los Hermanos,Pierrot,Los Hermanos,05/06/99,DAY,0.238,0.872,0.0617,0.0080,0.0056,0.252,0.862,2
12170052496,This Is Los Hermanos,Quem Sabe,Los Hermanos,05/06/99,DAY,0.434,0.885,0.0614,0.0057,0.0002,0.128,0.779,3
12170052496,This Is Los Hermanos,Tenha Dó,Los Hermanos,05/06/99,DAY,0.272,0.869,0.056,0.0480,0.0000,0.11,0.918,4
12170052496,This Is Los Hermanos,Primavera,Los Hermanos,05/06/99,DAY,0.339,0.624,0.0313,0.4210,0.0000,0.126,0.408,5
12170052496,This Is Los Hermanos,Sentimental,Bloco Do Eu Sozinho,01/06/01,DAY,0.646,0.384,0.0287,0.1240,0.0119,0.112,0.24,6
12170052496,This Is Los Hermanos,Todo Carnaval Tem Seu Fim,Bloco Do Eu Sozinho,01/06/01,DAY,0.557,0.489,0.0375,0.0592,0.0132,0.149,0.178,7
12170052496,This Is Los Hermanos,A Flor,Bloco Do Eu Sozinho,01/06/01,DAY,0.54,0.71,0.0325,0.0849,0.0043,0.0578,0.403,8
12170052496,This Is Los Hermanos,Retrato Pra Iaia,Bloco Do Eu Sozinho,01/06/01,DAY,0.519,0.43,0.053,0.0395,0.0000,0.044,0.697,9
12170052496,This Is Los Hermanos,Veja Bem Meu Bem,Bloco Do Eu Sozinho,01/06/01,DAY,0.544,0.277,0.0465,0.1580,0.0102,0.105,0.371,10
12170052496,This Is Los Hermanos,Adeus Você,Bloco Do Eu Sozinho,01/06/01,DAY,0.769,0.324,0.0372,0.5400,0.0000,0.104,0.508,11
12170052496,This Is Los Hermanos,Casa Pré-Fabricada,Bloco Do Eu Sozinho,01/06/01,DAY,0.314,0.477,0.037,0.0041,0.0003,0.118,0.441,12
12170052496,This Is Los Hermanos,Fingi na Hora Rir,Bloco Do Eu Sozinho,01/06/01,DAY,0.525,0.543,0.034,0.0203,0.0017,0.0727,0.112,13
12170052496,This Is Los Hermanos,Último Romance,Ventura,05/07/03,DAY,0.406,0.665,0.0286,0.5090,0.0006,0.112,0.553,14
12170052496,This Is Los Hermanos,Além do Que Se Vê,Ventura,05/07/03,DAY,0.718,0.498,0.031,0.2860,0.0003,0.157,0.767,15
12170052496,This Is Los Hermanos,O Vencedor,Ventura,05/07/03,DAY,0.682,0.881,0.027,0.3530,0.2630,0.238,0.911,16
12170052496,This Is Los Hermanos,O Velho e o Moço,Ventura,05/07/03,DAY,0.334,0.546,0.0306,0.8190,0.0142,0.127,0.43,17
12170052496,This Is Los Hermanos,Conversa de Botas Batidas,Ventura,05/07/03,DAY,0.681,0.474,0.0277,0.2760,0.0185,0.163,0.792,18
12170052496,This Is Los Hermanos,De Onde Vem a Calma,Ventura,05/07/03,DAY,0.548,0.477,0.028,0.6740,0.0806,0.117,0.114,19
