user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Escape,This Is War (Deluxe),01/01/01/07/05,YEAR,0.256,0.307,0.0453,0.4470,0.1340,0.112,0.0389,1
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Night Of The Hunter,This Is War (Deluxe),01/01/01/07/05,YEAR,0.521,0.904,0.0884,0.0073,0.0000,0.387,0.263,2
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Kings And Queens,This Is War (Deluxe),01/01/01/07/05,YEAR,0.293,0.817,0.0852,0.0401,0.0000,0.13,0.145,3
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,This Is War,This Is War (Deluxe),01/01/01/07/05,YEAR,0.402,0.723,0.0579,0.0663,0.0000,0.233,0.224,4
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,100 Suns,This Is War (Deluxe),01/01/01/07/05,YEAR,0.617,0.0608,0.0295,0.4240,0.0000,0.144,0.616,5
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Hurricane,This Is War (Deluxe),01/01/01/07/05,YEAR,0.533,0.747,0.0443,0.0410,0.0000,0.261,0.277,6
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Closer To The Edge,This Is War (Deluxe),01/01/01/07/05,YEAR,0.502,0.948,0.12,0.0101,0.0000,0.0809,0.102,7
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Vox Populi,This Is War (Deluxe),01/01/01/07/05,YEAR,0.442,0.654,0.0623,0.0174,0.0002,0.0932,0.227,8
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Search And Destroy,This Is War (Deluxe),01/01/01/07/05,YEAR,0.556,0.777,0.051,0.0003,0.0028,0.0983,0.373,9
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Alibi,This Is War (Deluxe),01/01/01/07/05,YEAR,0.332,0.237,0.031,0.7760,0.0750,0.07,0.0645,10
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Stranger In A Strange Land,This Is War (Deluxe),01/01/01/07/05,YEAR,0.488,0.854,0.0842,0.0168,0.2820,0.107,0.585,11
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,L490,This Is War (Deluxe),01/01/01/07/05,YEAR,0.444,0.47,0.0442,0.8950,0.9500,0.114,0.0396,12
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Hurricane 2.0,This Is War (Deluxe),01/01/01/07/05,YEAR,0.54,0.756,0.0403,0.0337,0.0000,0.23,0.329,13
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Bad Romance - Live,This Is War (Deluxe),01/01/01/07/05,YEAR,0.54,0.488,0.0311,0.5290,0.0001,0.197,0.149,14
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Stronger - Live,This Is War (Deluxe),01/01/01/07/05,YEAR,0.597,0.491,0.0335,0.7260,0.0010,0.128,0.209,15
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,The 1975,The 1975 (Deluxe),02/09/13,DAY,0.159,0.403,0.0468,0.0012,0.5610,0.213,0.0534,16
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,The City,The 1975 (Deluxe),02/09/13,DAY,0.488,0.962,0.0882,0.0001,0.0007,0.101,0.62,17
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,M.O.N.E.Y.,The 1975 (Deluxe),02/09/13,DAY,0.423,0.661,0.07,0.0934,0.0001,0.125,0.621,18
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Chocolate,The 1975 (Deluxe),02/09/13,DAY,0.612,0.938,0.0623,0.0005,0.0000,0.368,0.612,19
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Sex,The 1975 (Deluxe),02/09/13,DAY,0.408,0.975,0.128,0.0000,0.0001,0.506,0.183,20
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Talk!,The 1975 (Deluxe),02/09/13,DAY,0.58,0.854,0.0635,0.0180,0.0000,0.595,0.639,21
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,An Encounter,The 1975 (Deluxe),02/09/13,DAY,0.387,0.438,0.0408,0.8900,0.9830,0.088,0.0567,22
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Heart Out,The 1975 (Deluxe),02/09/13,DAY,0.705,0.83,0.0274,0.0081,0.0014,0.0762,0.885,23
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Settle Down,The 1975 (Deluxe),02/09/13,DAY,0.596,0.951,0.051,0.0030,0.0001,0.789,0.843,24
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Robbers,The 1975 (Deluxe),02/09/13,DAY,0.621,0.702,0.0295,0.0003,0.0000,0.322,0.374,25
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Girls,The 1975 (Deluxe),02/09/13,DAY,0.662,0.911,0.0531,0.0039,0.0012,0.473,0.898,26
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,12,The 1975 (Deluxe),02/09/13,DAY,0.0819,0.256,0.0407,0.9130,0.9100,0.0779,0.0824,27
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,She Way Out,The 1975 (Deluxe),02/09/13,DAY,0.62,0.853,0.0349,0.0043,0.0000,0.103,0.237,28
225jyk7jzbguolpbmgsgq6oby,happyRockMusic,Menswear,The 1975 (Deluxe),02/09/13,DAY,0.708,0.539,0.0681,0.5410,0.0179,0.0856,0.159,29
