user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,This Is Tom Petty,American Girl,Tom Petty & The Heartbreakers,09/11/76,DAY,0.55,0.824,0.0334,0.4480,0.0001,0.366,0.777,1
spotify,This Is Tom Petty,Breakdown,Tom Petty & The Heartbreakers,09/11/76,DAY,0.625,0.35,0.0436,0.3980,0.0001,0.123,0.69,2
spotify,This Is Tom Petty,Anything That's Rock 'n' Roll,Tom Petty & The Heartbreakers,09/11/76,DAY,0.679,0.709,0.0322,0.2110,0.0000,0.339,0.95,3
spotify,This Is Tom Petty,I Need to Know,You're Gonna Get it,02/05/78,DAY,0.518,0.919,0.0285,0.0110,0.1810,0.196,0.752,4
spotify,This Is Tom Petty,Listen to Her Heart,You're Gonna Get it,02/05/78,DAY,0.481,0.906,0.0349,0.3340,0.6030,0.043,0.364,5
spotify,This Is Tom Petty,Refugee,Damn The Torpedoes (Deluxe Edition),19/10/79,DAY,0.579,0.705,0.0339,0.0273,0.0000,0.0704,0.761,6
spotify,This Is Tom Petty,Don't Do Me Like That,Damn The Torpedoes (Deluxe Edition),19/10/79,DAY,0.758,0.805,0.0279,0.2110,0.0000,0.0982,0.961,7
spotify,This Is Tom Petty,Here Comes My Girl,Damn The Torpedoes (Deluxe Edition),19/10/79,DAY,0.578,0.734,0.0304,0.0517,0.2330,0.165,0.373,8
spotify,This Is Tom Petty,Louisiana Rain,Damn The Torpedoes (Deluxe Edition),19/10/79,DAY,0.429,0.551,0.0372,0.2180,0.0000,0.312,0.365,9
spotify,This Is Tom Petty,The Waiting,Hard Promises,05/05/81,DAY,0.565,0.923,0.0316,0.0357,0.0000,0.354,0.722,10
spotify,This Is Tom Petty,A Woman In Love (It's Not Me),Hard Promises,05/05/81,DAY,0.564,0.583,0.0369,0.0193,0.0000,0.816,0.557,11
spotify,This Is Tom Petty,You Got Lucky,Long After Dark,02/11/82,DAY,0.687,0.649,0.0273,0.0381,0.0000,0.043,0.641,12
spotify,This Is Tom Petty,Straight Into Darkness,Long After Dark,02/11/82,DAY,0.522,0.917,0.0535,0.0099,0.0000,0.334,0.467,13
spotify,This Is Tom Petty,Don't Come Around Here No More,Southern Accents,26/03/85,DAY,0.502,0.54,0.0318,0.0010,0.0085,0.243,0.922,14
spotify,This Is Tom Petty,Rebels,Southern Accents,26/03/85,DAY,0.57,0.556,0.0302,0.1050,0.0000,0.0574,0.608,15
spotify,This Is Tom Petty,The Best Of Everything,Southern Accents,26/03/85,DAY,0.467,0.261,0.0303,0.3980,0.0000,0.161,0.339,16
spotify,This Is Tom Petty,So You Want To Be A Rock & Roll Star - Live At The Wiltern/1985,Pack Up The Plantation: Live!,26/11/85,DAY,0.341,0.888,0.0541,0.0042,0.0003,0.957,0.561,17
spotify,This Is Tom Petty,Jammin' Me,Let Me Up (I've Had Enough),21/04/87,DAY,0.689,0.732,0.0294,0.0325,0.0000,0.303,0.938,18
spotify,This Is Tom Petty,Free Fallin',Full Moon Fever,01/01/89,DAY,0.623,0.449,0.0253,0.2120,0.0000,0.0613,0.572,19
spotify,This Is Tom Petty,I Won't Back Down,Full Moon Fever,01/01/89,DAY,0.765,0.476,0.0329,0.0504,0.0000,0.165,0.965,20
spotify,This Is Tom Petty,Love Is A Long Road,Full Moon Fever,01/01/89,DAY,0.639,0.621,0.0316,0.0300,0.0001,0.0863,0.496,21
spotify,This Is Tom Petty,Learning To Fly,Into The Great Wide Open,01/01/91,DAY,0.651,0.766,0.0299,0.2060,0.0010,0.362,0.949,22
spotify,This Is Tom Petty,Into The Great Wide Open,Into The Great Wide Open,01/01/91,DAY,0.608,0.583,0.0235,0.1880,0.0000,0.129,0.714,23
spotify,This Is Tom Petty,Walls (No. 3),She's the One (Songs and Music from the Motion Picture),06/08/96,DAY,0.654,0.622,0.0267,0.0078,0.0000,0.195,0.616,24
spotify,This Is Tom Petty,Angel Dream (No. 4),She's the One (Songs and Music from the Motion Picture),06/08/96,DAY,0.622,0.783,0.0372,0.0486,0.0010,0.615,0.663,25
spotify,This Is Tom Petty,Room at the Top,Echo,13/04/99,DAY,0.5,0.313,0.0253,0.1620,0.0001,0.117,0.171,26
spotify,This Is Tom Petty,Free Girl Now,Echo,13/04/99,DAY,0.603,0.869,0.0373,0.1300,0.0000,0.168,0.841,27
spotify,This Is Tom Petty,Swingin',Echo,13/04/99,DAY,0.405,0.6,0.0254,0.0047,0.0000,0.29,0.399,28
spotify,This Is Tom Petty,Echo,Echo,13/04/99,DAY,0.547,0.56,0.0241,0.0387,0.0000,0.0632,0.472,29
spotify,This Is Tom Petty,Surrender,Anthology: Through The Years,01/01/00,DAY,0.463,0.839,0.0339,0.0011,0.0000,0.256,0.545,30
spotify,This Is Tom Petty,The Last DJ,The Last DJ,08/10/02,DAY,0.597,0.76,0.0291,0.0134,0.0000,0.41,0.498,31
spotify,This Is Tom Petty,Have Love- Will Travel,The Last DJ,08/10/02,DAY,0.48,0.701,0.0264,0.0008,0.0000,0.125,0.355,32
spotify,This Is Tom Petty,Saving Grace,Highway Companion,21/07/06,DAY,0.33,0.798,0.0381,0.1370,0.0003,0.13,0.791,33
spotify,This Is Tom Petty,Square One,Highway Companion,21/07/06,DAY,0.769,0.305,0.0311,0.7940,0.0000,0.133,0.284,34
