user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,mint,Some Say - Felix Jaehn Remix,Some Say (Felix Jaehn Remix),10/01/20,DAY,0.682,0.7,0.0397,0.4060,0.0000,0.174,0.637,1
spotify,mint,Jerusalema (feat. Nomcebo Zikode),Jerusalema,24/01/20,DAY,0.88,0.483,0.0504,0.0185,0.0000,0.0607,0.827,2
spotify,mint,Kings & Queens - MOTi Remix,Kings & Queens (The Remixes),19/03/20,DAY,0.638,0.75,0.0754,0.0364,0.0000,0.369,0.65,3
spotify,mint,Fake Friends (feat. Alex Hosking),Fake Friends (feat. Alex Hosking),20/03/20,DAY,0.667,0.892,0.0451,0.0474,0.0008,0.374,0.541,4
spotify,mint,Therapy,Duality,17/04/20,DAY,0.521,0.888,0.0443,0.0025,0.0011,0.115,0.115,5
spotify,mint,Lovefool,Lovefool,08/05/20,DAY,0.677,0.766,0.0568,0.0219,0.0000,0.129,0.198,6
spotify,mint,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Head Shoulders Knees & Toes (feat. Norma Jean Martine),08/05/20,DAY,0.798,0.828,0.193,0.0247,0.0000,0.121,0.6,7
spotify,mint,Far Away From Home (feat. Leony),Far Away From Home (feat. Leony),12/06/20,DAY,0.595,0.752,0.097,0.5800,0.0000,0.105,0.758,8
spotify,mint,Trap - Rompasso Remix,Trap (Rompasso Remix),12/06/20,DAY,0.694,0.739,0.185,0.0225,0.0000,0.507,0.222,9
spotify,mint,Goosebumps,Goosebumps,12/06/20,DAY,0.767,0.659,0.0444,0.3250,0.0000,0.13,0.439,10
spotify,mint,Undo My Heart,Undo My Heart,12/06/20,DAY,0.605,0.873,0.035,0.0352,0.0041,0.0644,0.343,11
spotify,mint,Thru Your Mind,Thru Your Mind,22/06/20,DAY,0.897,0.827,0.165,0.0905,0.0360,0.112,0.529,12
spotify,mint,Looking For Me,Looking For Me,24/06/20,DAY,0.641,0.529,0.0288,0.0044,0.0009,0.0809,0.449,13
spotify,mint,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),03/07/20,DAY,0.734,0.874,0.0662,0.1680,0.0000,0.0489,0.905,14
spotify,mint,What's Love Got to Do with It,What's Love Got to Do with It,17/07/20,DAY,0.75,0.664,0.154,0.2750,0.0000,0.0632,0.617,15
spotify,mint,2AM (feat. Carla Monroe),2AM (feat. Carla Monroe),24/07/20,DAY,0.632,0.868,0.0357,0.0426,0.2630,0.307,0.455,16
spotify,mint,Life After You,Life After You,31/07/20,DAY,0.649,0.717,0.0544,0.0063,0.0000,0.16,0.305,17
spotify,mint,The Blame - Single Edit,The Blame,12/08/20,DAY,0.669,0.831,0.0366,0.0317,0.0325,0.0912,0.263,18
spotify,mint,Kids (feat. MKLA),Kids (feat. MKLA),14/08/20,DAY,0.744,0.866,0.106,0.0107,0.0537,0.528,0.302,19
spotify,mint,Coffee (Give Me Something),Coffee (Give Me Something),14/08/20,DAY,0.588,0.8,0.0377,0.0078,0.0008,0.289,0.263,20
spotify,mint,Follow (with Jeremih),Follow (with Jeremih),14/08/20,DAY,0.68,0.761,0.0288,0.0049,0.0014,0.0644,0.361,21
spotify,mint,Melanin,Melanin,19/08/20,DAY,0.889,0.924,0.109,0.0037,0.1860,0.266,0.494,22
spotify,mint,Habits (Stay High),Habits (Stay High),21/08/20,DAY,0.695,0.639,0.0797,0.1250,0.0000,0.378,0.447,23
spotify,mint,Mirror,Mirror,26/08/20,DAY,0.543,0.668,0.0533,0.0036,0.0000,0.0807,0.335,24
spotify,mint,Nightlight,Nightlight,28/08/20,DAY,0.494,0.651,0.0384,0.0819,0.0000,0.104,0.162,25
spotify,mint,Why Do You Lie To Me (feat. Lil Baby),Why Do You Lie To Me (feat. Lil Baby),28/08/20,DAY,0.65,0.738,0.158,0.0539,0.0000,0.206,0.336,26
spotify,mint,Come Over (feat. Anne-Marie & Tion Wayne),Come Over (feat. Anne Marie & Tion Wayne),28/08/20,DAY,0.797,0.672,0.0477,0.0442,0.0027,0.149,0.561,27
spotify,mint,Envious,Renaissance,28/08/20,DAY,0.879,0.483,0.0519,0.0292,0.0003,0.08,0.433,28
spotify,mint,Break This Habit (feat. Kiko Bun),Break This Habit (feat. Kiko Bun),28/08/20,DAY,0.711,0.927,0.0632,0.1040,0.0518,0.296,0.299,29
spotify,mint,Lasting Lover,Lasting Lover,04/09/20,DAY,0.676,0.786,0.0478,0.1970,0.0000,0.0943,0.483,30
spotify,mint,Fire (with Elderbrook),Fire (with Elderbrook),04/09/20,DAY,0.584,0.865,0.0321,0.0011,0.4330,0.122,0.0743,31
spotify,mint,Pretty Please,Pretty Please,04/09/20,DAY,0.686,0.867,0.0449,0.0397,0.0000,0.396,0.691,32
spotify,mint,Drivin Thru the Night,Drivin Thru the Night,09/09/20,DAY,0.546,0.587,0.334,0.5220,0.0467,0.0955,0.334,33
spotify,mint,Let's Love,Let's Love,11/09/20,DAY,0.662,0.868,0.0341,0.0088,0.0024,0.584,0.353,34
spotify,mint,Colourblind,Colourblind,11/09/20,DAY,0.558,0.905,0.0414,0.1320,0.0005,0.325,0.362,35
spotify,mint,The Business,The Business,16/09/20,DAY,0.798,0.62,0.232,0.4140,0.0192,0.112,0.235,36
spotify,mint,Back To My Bed,Back To My Bed,16/09/20,DAY,0.771,0.729,0.0372,0.3130,0.0045,0.236,0.689,37
spotify,mint,Nothing For Free,Nothing For Free,17/09/20,DAY,0.473,0.929,0.0406,0.0035,0.0003,0.113,0.771,38
spotify,mint,Ready For You (feat. Celeste),Ready For You (feat. Celeste),17/09/20,DAY,0.648,0.672,0.0411,0.2320,0.1130,0.1,0.178,39
spotify,mint,War For Love,War For Love,18/09/20,DAY,0.646,0.868,0.0513,0.1370,0.0000,0.583,0.693,40
spotify,mint,Too Many Nights (with JC Stewart),Too Many Nights (with JC Stewart),18/09/20,DAY,0.726,0.799,0.0678,0.1210,0.0000,0.181,0.522,41
spotify,mint,More Life (feat. Tinie Tempah & L Devine),More Life (feat. Tinie Tempah & L Devine),18/09/20,DAY,0.71,0.979,0.148,0.0386,0.0000,0.305,0.469,42
spotify,mint,Bad Things,Bad Things,24/09/20,DAY,0.469,0.631,0.0423,0.0487,0.0003,0.344,0.0399,43
spotify,mint,Don't Say Goodbye (feat. Tove Lo),Don't Say Goodbye (feat. Tove Lo),25/09/20,DAY,0.698,0.719,0.0455,0.0083,0.0000,0.326,0.364,44
spotify,mint,All I Need,All I Need,25/09/20,DAY,0.82,0.948,0.092,0.0037,0.9430,0.068,0.551,45
spotify,mint,Tu Tu Tu (That's Why We),Tu Tu Tu (That's Why We),25/09/20,DAY,0.885,0.725,0.0631,0.1040,0.5850,0.0738,0.759,46
spotify,mint,Underwater,Underwater,25/09/20,DAY,0.639,0.631,0.033,0.0083,0.1460,0.119,0.197,47
spotify,mint,Tick Tock (feat. 24kGoldn) - Sam Feldt Remix,Tick Tock (feat. 24kGoldn) [Sam Feldt Remix],25/09/20,DAY,0.743,0.898,0.0487,0.1090,0.0002,0.16,0.723,48
spotify,mint,Walk With You,Walk With You,25/09/20,DAY,0.787,0.612,0.0865,0.3520,0.0079,0.117,0.255,49
spotify,mint,Lifetime,Lifetime,29/09/20,DAY,0.55,0.791,0.0494,0.0000,0.0000,0.103,0.321,50
spotify,mint,I Got You,I Got You,02/10/20,DAY,0.711,0.876,0.0551,0.1450,0.0000,0.116,0.706,51
spotify,mint,Space,Space,02/10/20,DAY,0.535,0.813,0.0613,0.0287,0.0000,0.126,0.31,52
spotify,mint,Look Like Me,Colours and Sounds,02/10/20,DAY,0.829,0.718,0.0518,0.0024,0.0120,0.0746,0.538,53
spotify,mint,Like A Prayer,Like A Prayer,02/10/20,DAY,0.573,0.855,0.0413,0.0021,0.0000,0.39,0.15,54
spotify,mint,Apricots,Apricots,06/10/20,DAY,0.819,0.599,0.039,0.3470,0.8240,0.083,0.489,55
spotify,mint,i miss u (with Au/Ra),i miss u (with Au/Ra),09/10/20,DAY,0.668,0.726,0.0468,0.0387,0.0000,0.134,0.453,56
spotify,mint,Up All Night (feat. Afrojack),Up All Night (feat. Afrojack),09/10/20,DAY,0.637,0.868,0.0555,0.0426,0.0000,0.288,0.444,57
spotify,mint,Wired (with Ella Eyre),Wired (with Ella Eyre),09/10/20,DAY,0.7,0.764,0.0314,0.0247,0.0000,0.162,0.424,58
spotify,mint,Skate Depot,Skate Depot,09/10/20,DAY,0.89,0.548,0.171,0.1360,0.6660,0.108,0.706,59
spotify,mint,Astronomia (Never Go Home),Astronomia (Never Go Home),09/10/20,DAY,0.697,0.81,0.0669,0.0424,0.0002,0.322,0.558,60
spotify,mint,Praise (feat. Gunna),Praise (feat. Gunna),09/10/20,DAY,0.737,0.681,0.0536,0.0401,0.0011,0.31,0.799,61
spotify,mint,Scuff Your Soul,Playing My Role,09/10/20,DAY,0.672,0.857,0.0428,0.0976,0.0001,0.679,0.303,62
spotify,mint,Change,Change,13/10/20,DAY,0.618,0.802,0.0312,0.8280,0.3880,0.228,0.681,63
spotify,mint,I Keep Calling,Before,14/10/20,DAY,0.382,0.601,0.0799,0.4130,0.0495,0.379,0.105,64
spotify,mint,Self Care (with COIN),Self Care (with COIN),15/10/20,DAY,0.767,0.858,0.0636,0.0014,0.0000,0.188,0.634,65
spotify,mint,Spa,Spa,16/10/20,DAY,0.688,0.717,0.0365,0.0157,0.2570,0.107,0.87,66
spotify,mint,Deep End - SIDEPIECE Remix,Deep End (SIDEPIECE Remix),16/10/20,DAY,0.773,0.652,0.0807,0.1430,0.0240,0.44,0.453,67
spotify,mint,Innadadance (feat. Suli Breaks & Jazzie B),Innadadance (feat. Suli Breaks & Jazzie B),20/10/20,DAY,0.867,0.665,0.0639,0.0007,0.3230,0.286,0.55,68
spotify,mint,Too Much (feat. Usher),Too Much (feat. Usher),23/10/20,DAY,0.712,0.891,0.0401,0.0041,0.0000,0.258,0.735,69
spotify,mint,All On Me (feat. Zhu),Year Zero,23/10/20,DAY,0.797,0.66,0.0816,0.0112,0.0074,0.297,0.317,70
spotify,mint,Inside Out (feat. Griff),Inside Out (feat. Griff),23/10/20,DAY,0.64,0.683,0.0434,0.1690,0.0000,0.109,0.4,71
spotify,mint,Really Love (feat. Craig David & Digital Farm Animals),Really Love (feat. Craig David & Digital Farm Animals),23/10/20,DAY,0.757,0.813,0.0438,0.0459,0.0000,0.0741,0.668,72
spotify,mint,QueLoQue,Music is the Weapon,23/10/20,DAY,0.648,0.812,0.137,0.0372,0.0000,0.0881,0.392,73
spotify,mint,Feed The Fire (feat. Lucky Daye),Feed The Fire (feat. Lucky Daye),26/10/20,DAY,0.849,0.682,0.123,0.0197,0.0014,0.0996,0.928,74
spotify,mint,Easier (feat. LOWES) - Radio Edit,Easier (feat. LOWES) [Radio Edit],29/10/20,DAY,0.471,0.895,0.0458,0.0435,0.0075,0.105,0.114,75
spotify,mint,Paradise (feat. Dermot Kennedy),Paradise,30/10/20,DAY,0.632,0.595,0.0401,0.0689,0.0000,0.209,0.435,76
spotify,mint,Like Gold,Like Gold,30/10/20,DAY,0.759,0.845,0.0421,0.0699,0.0001,0.215,0.694,77
spotify,mint,Haunt Me,Haunt Me,30/10/20,DAY,0.659,0.76,0.0381,0.1760,0.1090,0.135,0.0519,78
