user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,Dancehall Official,Shen Yeng Anthem,Shen Yeng Anthem   Single,25/05/18,DAY,0.665,0.824,0.303,0.1440,0.0000,0.307,0.673,1
spotify,Dancehall Official,Stay So,Reggae Gold 2018: 25th Anniversary,27/07/18,DAY,0.852,0.631,0.0564,0.1210,0.0000,0.212,0.799,2
spotify,Dancehall Official,Up Top Boss,Progress Riddim,10/08/18,DAY,0.766,0.767,0.199,0.3760,0.0000,0.298,0.648,3
spotify,Dancehall Official,Baller,Miami Heights Riddim,02/08/19,DAY,0.733,0.774,0.154,0.0343,0.0000,0.304,0.314,4
spotify,Dancehall Official,Depend Pan Nobody,Depend Pan Nobody,16/08/19,DAY,0.605,0.689,0.363,0.1450,0.0000,0.0836,0.741,5
spotify,Dancehall Official,Action,Action,19/09/19,DAY,0.53,0.659,0.132,0.0955,0.0000,0.362,0.575,6
spotify,Dancehall Official,Feel Right,Block Party Riddim,20/09/19,DAY,0.895,0.679,0.225,0.3840,0.0000,0.18,0.401,7
spotify,Dancehall Official,Adrenaline,Adrenaline,01/10/19,DAY,0.836,0.582,0.262,0.5020,0.0000,0.111,0.39,8
spotify,Dancehall Official,Brik Pan Brik,Brik Pan Brik,04/10/19,DAY,0.598,0.579,0.393,0.1740,0.0051,0.0927,0.657,9
spotify,Dancehall Official,A Nuh My Style,A Nuh My Style,22/11/19,DAY,0.791,0.704,0.0896,0.1190,0.0000,0.364,0.699,10
spotify,Dancehall Official,Hotel (feat. Ty Dolla $ign & Burna Boy),Midnight Sparks,06/12/19,DAY,0.553,0.66,0.254,0.1090,0.0000,0.198,0.489,11
spotify,Dancehall Official,In Charge,Midnight Sparks,06/12/19,DAY,0.393,0.562,0.191,0.1610,0.0000,0.0607,0.805,12
spotify,Dancehall Official,Honda,Honda,03/03/20,DAY,0.885,0.593,0.212,0.1340,0.0001,0.0863,0.377,13
spotify,Dancehall Official,Ocean Wave,Soul Survivor Riddim,13/03/20,DAY,0.674,0.723,0.295,0.3960,0.0000,0.26,0.614,14
spotify,Dancehall Official,Private Zess,Private Zess,17/03/20,DAY,0.677,0.552,0.322,0.8040,0.0000,0.144,0.88,15
spotify,Dancehall Official,Nah Fi Like,Nah Fi Like,20/04/20,DAY,0.753,0.654,0.207,0.2010,0.0000,0.173,0.618,16
spotify,Dancehall Official,Catch 22,Catch 22,24/04/20,DAY,0.738,0.757,0.177,0.0388,0.0000,0.126,0.416,17
spotify,Dancehall Official,Yeng,Yeng,24/04/20,DAY,0.958,0.611,0.146,0.0220,0.0000,0.0877,0.579,18
spotify,Dancehall Official,Yeng,Yeng,24/04/20,DAY,0.937,0.602,0.103,0.0152,0.0000,0.0914,0.598,19
spotify,Dancehall Official,Boom Bang,Other Side,06/05/20,DAY,0.753,0.673,0.0841,0.0904,0.0002,0.217,0.632,20
spotify,Dancehall Official,On My Mind,On My Mind,08/05/20,DAY,0.712,0.71,0.197,0.3340,0.0000,0.111,0.634,21
spotify,Dancehall Official,I Got You,I Got You,15/05/20,DAY,0.551,0.715,0.392,0.2200,0.0000,0.294,0.525,22
spotify,Dancehall Official,About Us,About Us,22/05/20,DAY,0.653,0.786,0.345,0.0588,0.0000,0.112,0.84,23
spotify,Dancehall Official,King inna War,Private Jet Riddim,22/05/20,DAY,0.62,0.599,0.277,0.0782,0.0000,0.108,0.674,24
spotify,Dancehall Official,Cree,Cree,23/05/20,DAY,0.659,0.582,0.534,0.2250,0.0000,0.0716,0.599,25
spotify,Dancehall Official,Good Comfort,Good Comfort,05/06/20,DAY,0.862,0.671,0.0903,0.5630,0.0000,0.104,0.72,26
spotify,Dancehall Official,Monster,Monster,13/06/20,DAY,0.627,0.593,0.12,0.0302,0.0016,0.0892,0.59,27
spotify,Dancehall Official,Gal Policy,Gal Policy,16/06/20,DAY,0.606,0.61,0.392,0.4240,0.0000,0.165,0.685,28
spotify,Dancehall Official,Yamabella,Yamabella,19/06/20,DAY,0.654,0.572,0.393,0.1470,0.0000,0.223,0.43,29
spotify,Dancehall Official,Buzz - U.K. Version,Buzz,19/06/20,DAY,0.598,0.843,0.257,0.4050,0.0000,0.447,0.369,30
spotify,Dancehall Official,Bad Gyal (feat. Skillibeng- Jucee Froot & Tommy Lee) [Divas],Of Dons & Divas,26/06/20,DAY,0.539,0.707,0.141,0.4410,0.0000,0.11,0.359,31
spotify,Dancehall Official,Big Bizniz (feat. Teejay) [Dons],Of Dons & Divas,26/06/20,DAY,0.805,0.708,0.0915,0.4850,0.0000,0.106,0.586,32
spotify,Dancehall Official,Dons & Divas (feat. Danii Boo) [Dons],Of Dons & Divas,26/06/20,DAY,0.813,0.751,0.207,0.3180,0.0000,0.166,0.822,33
spotify,Dancehall Official,Torpedo,Torpedo,03/07/20,DAY,0.551,0.588,0.307,0.7340,0.0000,0.258,0.647,34
spotify,Dancehall Official,Likkle Bit a Money,Likkle Bit a Money,03/07/20,DAY,0.841,0.782,0.247,0.3250,0.0000,0.697,0.94,35
spotify,Dancehall Official,Shake - Remix,Shake (Remix),10/07/20,DAY,0.716,0.434,0.371,0.2720,0.0000,0.096,0.446,36
spotify,Dancehall Official,Rich,1 Bro Gad,10/07/20,DAY,0.824,0.821,0.159,0.4740,0.0000,0.0795,0.303,37
spotify,Dancehall Official,Mad Out,Mad Out,10/07/20,DAY,0.696,0.603,0.274,0.1520,0.0000,0.206,0.628,38
spotify,Dancehall Official,Look,Look,13/07/20,DAY,0.642,0.787,0.266,0.3350,0.0000,0.0876,0.361,39
spotify,Dancehall Official,Off White,Off White,13/07/20,DAY,0.812,0.752,0.236,0.3290,0.0000,0.194,0.456,40
spotify,Dancehall Official,We Up,We Up,14/07/20,DAY,0.599,0.522,0.381,0.6130,0.0000,0.146,0.182,41
spotify,Dancehall Official,Lockdown,Lockdown,17/07/20,DAY,0.779,0.72,0.2,0.1490,0.0000,0.212,0.62,42
