user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,We Everywhere,Fantasy,Fantasy,27/02/20,DAY,0.823,0.734,0.112,0.4460,0.4000,0.188,0.743,1
spotify,We Everywhere,Strong & Solid,Strong & Solid,28/02/20,DAY,0.821,0.648,0.139,0.6340,0.0003,0.0978,0.724,2
spotify,We Everywhere,Bad Shit,Bad Shit,06/03/20,DAY,0.754,0.446,0.0618,0.3620,0.0082,0.135,0.384,3
spotify,We Everywhere,Blessings REMIX (feat. French Montana & Davido),Blessings REMIX (feat. French Montana & Davido),06/03/20,DAY,0.704,0.773,0.228,0.1700,0.0000,0.119,0.41,4
spotify,We Everywhere,Papi Chulo,Papi Chulo,13/03/20,DAY,0.866,0.563,0.108,0.1850,0.0000,0.0889,0.307,5
spotify,We Everywhere,4AM,4AM,19/03/20,DAY,0.735,0.801,0.0636,0.0077,0.0001,0.258,0.867,6
spotify,We Everywhere,Tall Shade,Tall Shade,20/03/20,DAY,0.773,0.522,0.176,0.6190,0.0000,0.119,0.66,7
spotify,We Everywhere,AWAY,AWAY,20/03/20,DAY,0.728,0.711,0.187,0.2280,0.2880,0.0923,0.712,8
spotify,We Everywhere,HOLD ON,OXYGENE,27/03/20,DAY,0.788,0.507,0.0408,0.5340,0.0069,0.093,0.597,9
spotify,We Everywhere,Fever,Fever,27/03/20,DAY,0.411,0.854,0.241,0.2050,0.0000,0.224,0.743,10
spotify,We Everywhere,Soweto Blues,Soweto Blues,27/03/20,DAY,0.863,0.449,0.0622,0.0017,0.0235,0.0585,0.399,11
spotify,We Everywhere,Confirmed,Kpanlogo,03/04/20,DAY,0.636,0.522,0.311,0.5150,0.0004,0.101,0.695,12
spotify,We Everywhere,Belinda,Belinda (feat. Mr Eazi),03/04/20,DAY,0.773,0.594,0.0377,0.4200,0.0008,0.101,0.668,13
spotify,We Everywhere,Ocean Deep (feat. Wretch 32),Ocean Deep (feat. Wretch 32),05/04/20,DAY,0.509,0.684,0.461,0.2670,0.0000,0.118,0.729,14
spotify,We Everywhere,Of Lagos,Of Lagos,13/04/20,DAY,0.896,0.735,0.0622,0.0965,0.0000,0.0735,0.674,15
spotify,We Everywhere,I Spy,I Spy,16/04/20,DAY,0.712,0.531,0.136,0.2180,0.0000,0.074,0.548,16
spotify,We Everywhere,Lenu - Remix,Lenu (Remix),16/04/20,DAY,0.784,0.552,0.143,0.6780,0.0011,0.112,0.54,17
spotify,We Everywhere,Poison (feat. Take A Daytrip- Obongjayar- Santi),Poison (feat. Take A Daytrip  Obongjayar  Santi),22/04/20,DAY,0.845,0.461,0.0471,0.3190,0.0001,0.0963,0.533,18
spotify,We Everywhere,Know Your Worth,Know Your Worth,23/04/20,DAY,0.819,0.744,0.0799,0.0133,0.0018,0.0995,0.665,19
spotify,We Everywhere,Love Nobody,Love Nobody,24/04/20,DAY,0.852,0.715,0.0627,0.3210,0.0035,0.0909,0.63,20
spotify,We Everywhere,Beg Friend,Beg Friend,30/04/20,DAY,0.815,0.451,0.291,0.5100,0.0000,0.644,0.58,21
spotify,We Everywhere,Wishes,Wishes,30/04/20,DAY,0.651,0.324,0.0776,0.0712,0.0000,0.355,0.383,22
spotify,We Everywhere,Trouble,Pioneers,01/05/20,DAY,0.825,0.738,0.166,0.0194,0.0000,0.294,0.555,23
spotify,We Everywhere,Oreke,No Secrets,08/05/20,DAY,0.792,0.662,0.0726,0.1270,0.0021,0.109,0.648,24
spotify,We Everywhere,Say Cheese,Blue,08/05/20,DAY,0.837,0.743,0.0505,0.4190,0.0001,0.103,0.876,25
spotify,We Everywhere,Peace Of Mind,Peace of Mind,15/05/20,DAY,0.849,0.446,0.0772,0.2580,0.2360,0.111,0.534,26
spotify,We Everywhere,Slow Down (feat. H.E.R.- DaVido- & Oxlade) - P2J Remix,Slow Down (feat. H.E.R.  DaVido  & Oxlade)   P2J Remix,21/05/20,DAY,0.76,0.749,0.0958,0.0315,0.0018,0.182,0.6,27
spotify,We Everywhere,Lo Lo,Get Layd,22/05/20,DAY,0.725,0.704,0.251,0.0636,0.1630,0.0991,0.483,28
spotify,We Everywhere,Eve Bounce - Remix,Eve Bounce,22/05/20,DAY,0.817,0.6,0.0739,0.0777,0.0000,0.0987,0.505,29
spotify,We Everywhere,I No Go Give Up On You,I No Go Give Up On You,22/05/20,DAY,0.88,0.551,0.12,0.1710,0.0001,0.103,0.694,30
spotify,We Everywhere,Fkn Around (feat. Megan Thee Stallion) - Cuppy Remix,Fkn Around (feat. Megan Thee Stallion) [Cuppy Remix],28/05/20,DAY,0.782,0.687,0.235,0.0598,0.0090,0.104,0.595,31
spotify,We Everywhere,Baby I'm Jealous,One Day You Will Understand,10/06/20,DAY,0.667,0.442,0.291,0.1480,0.0000,0.102,0.526,32
spotify,We Everywhere,Gal Policy (Remix) [feat. Tiwa Savage],Gal Policy (Remix) [feat. Tiwa Savage],12/06/20,DAY,0.552,0.779,0.242,0.3380,0.0000,0.249,0.653,33
spotify,We Everywhere,Wata,Wata,12/06/20,DAY,0.929,0.644,0.0535,0.0567,0.0045,0.108,0.863,34
spotify,We Everywhere,Fiesta,Fiesta,17/06/20,DAY,0.561,0.786,0.325,0.6340,0.0005,0.155,0.602,35
spotify,We Everywhere,Ginger Me,Ginger Me,18/06/20,DAY,0.567,0.577,0.134,0.1340,0.0004,0.145,0.719,36
spotify,We Everywhere,MAAJO,The Imperfect Storm,19/06/20,DAY,0.847,0.955,0.197,0.4040,0.0000,0.294,0.784,37
spotify,We Everywhere,Loko,Healing Process EP,19/06/20,DAY,0.751,0.761,0.11,0.2730,0.0000,0.342,0.557,38
spotify,We Everywhere,Killa (feat. DaVido),The Album,19/06/20,DAY,0.568,0.682,0.55,0.7240,0.0000,0.11,0.435,39
spotify,We Everywhere,End Of The Wicked (feat. Octavian),End Of The Wicked (feat. Octavian),19/06/20,DAY,0.748,0.819,0.0789,0.6080,0.0615,0.109,0.69,40
spotify,We Everywhere,Grandad,Roots,19/06/20,DAY,0.853,0.705,0.115,0.0173,0.2170,0.0625,0.961,41
spotify,We Everywhere,New York City Girl,New York City Girl,21/06/20,DAY,0.71,0.542,0.0545,0.2670,0.0000,0.0894,0.537,42
spotify,We Everywhere,Alien,Alien,25/06/20,DAY,0.684,0.673,0.0552,0.0984,0.0000,0.141,0.358,43
spotify,We Everywhere,Wonderful,Wonderful,25/06/20,DAY,0.814,0.632,0.0499,0.0362,0.0042,0.0966,0.52,44
spotify,We Everywhere,Do To Me,Do To Me,08/07/20,DAY,0.477,0.854,0.138,0.0603,0.0000,0.168,0.494,45
spotify,We Everywhere,Simple Things [Feat. Tory Lanez & Rema],Simple Things [Feat. Tory Lanez & Rema],09/07/20,DAY,0.641,0.623,0.066,0.0012,0.0000,0.205,0.398,46
spotify,We Everywhere,Nigeria (feat. CallMeTheKidd),Nigeria (feat. CallMeTheKidd),10/07/20,DAY,0.855,0.505,0.275,0.5860,0.0001,0.121,0.592,47
spotify,We Everywhere,It Go Bad,It Go Bad,11/07/20,DAY,0.618,0.712,0.282,0.4920,0.0018,0.0964,0.31,48
spotify,We Everywhere,Smile (feat. H.E.R.),Smile (feat. H.E.R.),16/07/20,DAY,0.673,0.74,0.0847,0.0258,0.0000,0.127,0.723,49
spotify,We Everywhere,Smooth MF,Smooth MF,17/07/20,DAY,0.893,0.499,0.0933,0.7290,0.0323,0.106,0.785,50
spotify,We Everywhere,Babygirl,Babygirl,17/07/20,DAY,0.724,0.596,0.364,0.3400,0.0000,0.118,0.521,51
spotify,We Everywhere,Tsunami (feat. Davido),Shoot For The Stars Aim For The Moon (Deluxe),20/07/20,DAY,0.696,0.618,0.197,0.1660,0.0000,0.108,0.812,52
spotify,We Everywhere,ELI,ELI,23/07/20,DAY,0.686,0.656,0.132,0.0582,0.0001,0.177,0.466,53
spotify,We Everywhere,Everytime,Everytime,24/07/20,DAY,0.778,0.717,0.128,0.2240,0.0000,0.119,0.458,54
spotify,We Everywhere,Jollof Rice (with EARTHGANG) - SAY3 Remix,Jollof Rice (with EARTHGANG) [SAY3 Remix],29/07/20,DAY,0.921,0.462,0.264,0.2040,0.0000,0.102,0.279,55
spotify,We Everywhere,My Oasis (feat. Burna Boy),My Oasis (feat. Burna Boy),30/07/20,DAY,0.691,0.474,0.0583,0.5690,0.0006,0.099,0.381,56
spotify,We Everywhere,FIND YOUR WAY BACK - MELO-X Remix,The Lion King: The Gift [Deluxe Edition],31/07/20,DAY,0.777,0.588,0.0756,0.0227,0.0545,0.267,0.195,57
spotify,We Everywhere,plenty feat. Sons of Sonix,Pulp (Director’s Cut),31/07/20,DAY,0.482,0.714,0.107,0.4270,0.0011,0.405,0.693,58
spotify,We Everywhere,Dangerous Love - Møme Edit,Dangerous Love (Møme Edit),31/07/20,DAY,0.629,0.7,0.164,0.0627,0.0000,0.239,0.558,59
spotify,We Everywhere,FRESH AIR,THE PANDEMIC PROJECT,02/08/20,DAY,0.428,0.782,0.35,0.0876,0.0005,0.71,0.34,60
spotify,We Everywhere,Koroba,Koroba,06/08/20,DAY,0.85,0.645,0.0611,0.3580,0.0000,0.09,0.93,61
spotify,We Everywhere,Roll It,Roll It,07/08/20,DAY,0.551,0.554,0.348,0.5240,0.0000,0.106,0.63,62
spotify,We Everywhere,Tattoo,Tattoo,11/08/20,DAY,0.633,0.477,0.105,0.4270,0.0000,0.11,0.384,63
spotify,We Everywhere,Real Life (feat. Stormzy),Twice As Tall,13/08/20,DAY,0.594,0.568,0.0701,0.1470,0.0000,0.339,0.407,64
spotify,We Everywhere,PAMI (feat. Wizkid- Adekunle Gold & Omah Lay),PAMI (feat. Wizkid  Adekunle Gold & Omah Lay),13/08/20,DAY,0.755,0.645,0.0944,0.6250,0.0000,0.197,0.695,65
spotify,We Everywhere,Monsters You Made (feat. Chris Martin),Twice As Tall,13/08/20,DAY,0.671,0.646,0.195,0.2720,0.0000,0.405,0.355,66
spotify,We Everywhere,Karma,Karma,14/08/20,DAY,0.58,0.918,0.334,0.2130,0.0015,0.0856,0.498,67
spotify,We Everywhere,Somebody Like You,Story of My Life,14/08/20,DAY,0.573,0.785,0.388,0.5610,0.0000,0.354,0.802,68
spotify,We Everywhere,Love In The Morning,Love In The Morning,19/08/20,DAY,0.757,0.785,0.0605,0.2060,0.0000,0.159,0.582,69
spotify,We Everywhere,Champion,APOLLO,19/08/20,DAY,0.816,0.751,0.0493,0.0606,0.0000,0.103,0.25,70
spotify,We Everywhere,Pamela,Pamela,20/08/20,DAY,0.784,0.733,0.0992,0.1270,0.0004,0.026,0.717,71
spotify,We Everywhere,Dollas and Cents,Dollas and Cents,20/08/20,DAY,0.94,0.424,0.245,0.1500,0.0037,0.122,0.543,72
spotify,We Everywhere,Nobody (Amapiano),Nobody (Amapiano),21/08/20,DAY,0.833,0.802,0.0465,0.0149,0.0082,0.0655,0.703,73
spotify,We Everywhere,Pretty Girl,Afro Pop  Vol. 1,21/08/20,DAY,0.8,0.751,0.0781,0.0097,0.0008,0.0381,0.646,74
spotify,We Everywhere,Temptation,Temptation,24/08/20,DAY,0.698,0.785,0.0514,0.2490,0.0001,0.197,0.607,75
spotify,We Everywhere,Mandy,Mandy,25/08/20,DAY,0.522,0.442,0.296,0.3670,0.0023,0.167,0.573,76
spotify,We Everywhere,The Recipe,The Recipe,27/08/20,DAY,0.798,0.873,0.0818,0.0641,0.0001,0.0762,0.522,77
spotify,We Everywhere,Whine It (feat. Sauti Sol),Three,27/08/20,DAY,0.853,0.547,0.284,0.3140,0.0000,0.0933,0.745,78
spotify,We Everywhere,Make Up Your Mind (feat. Tekno),Make Up Your Mind (feat. Tekno),04/09/20,DAY,0.764,0.681,0.115,0.1200,0.0036,0.112,0.642,79
spotify,We Everywhere,A Million,A Million,11/09/20,DAY,0.829,0.587,0.111,0.0235,0.0000,0.12,0.439,80
spotify,We Everywhere,juju,next chapter,11/09/20,DAY,0.675,0.301,0.0892,0.5710,0.5570,0.133,0.262,81
spotify,We Everywhere,Badman Love - Remix,Badman Love,17/09/20,DAY,0.859,0.641,0.0919,0.3250,0.0000,0.264,0.76,82
spotify,We Everywhere,No Stress,No Stress,17/09/20,DAY,0.51,0.663,0.472,0.0040,0.0000,0.0989,0.551,83
spotify,We Everywhere,Wasted Energy (feat. Diamond Platnumz),ALICIA,18/09/20,DAY,0.669,0.593,0.182,0.1350,0.0000,0.105,0.825,84
spotify,We Everywhere,Higher,For Broken Ears,25/09/20,DAY,0.609,0.581,0.277,0.5090,0.0000,0.283,0.528,85
spotify,We Everywhere,Silver Tongue Devil (feat. Shenseea),Silver Tongue Devil (feat. Shenseea),07/10/20,DAY,0.789,0.653,0.094,0.5130,0.0004,0.0992,0.703,86
spotify,We Everywhere,Comfortable (feat. Davido),Comfortable (feat. Davido),09/10/20,DAY,0.638,0.629,0.0946,0.1900,0.0000,0.131,0.386,87
spotify,We Everywhere,Doudou,Doudou,09/10/20,DAY,0.773,0.609,0.244,0.1360,0.0000,0.0729,0.697,88
spotify,We Everywhere,Dream Girl - Global Remix,Dream Girl (Global Remix),09/10/20,DAY,0.605,0.736,0.271,0.1000,0.0000,0.169,0.526,89
spotify,We Everywhere,Princess Cuts (feat. Young T & Bugsey),EDNA,09/10/20,DAY,0.576,0.597,0.318,0.1960,0.0000,0.049,0.885,90
spotify,We Everywhere,Sleepless Nights (feat. Davido),Back Home,09/10/20,DAY,0.617,0.531,0.215,0.2320,0.0000,0.0853,0.674,91
spotify,We Everywhere,Peace,Mirage,09/10/20,DAY,0.603,0.528,0.218,0.4660,0.0002,0.0999,0.287,92
spotify,We Everywhere,Can't Let You Go,Can't Let You Go,15/10/20,DAY,0.799,0.646,0.0687,0.0230,0.0005,0.126,0.546,93
spotify,We Everywhere,Oh My Gawd,Music is the Weapon,23/10/20,DAY,0.82,0.866,0.214,0.1520,0.0000,0.0938,0.834,94
spotify,We Everywhere,Longtime (feat. Skepta),Made In Lagos,29/10/20,DAY,0.85,0.66,0.169,0.4170,0.0001,0.209,0.622,95
spotify,We Everywhere,Blessed (feat. Damian Marley),Made In Lagos,29/10/20,DAY,0.612,0.651,0.281,0.0864,0.0000,0.368,0.902,96
spotify,We Everywhere,Yawa (feat. Sarkodie),Yawa (feat. Sarkodie),30/10/20,DAY,0.701,0.852,0.0463,0.0022,0.0428,0.108,0.89,97
spotify,We Everywhere,Nnobody,Modern Age,30/10/20,DAY,0.482,0.515,0.179,0.1050,0.0000,0.103,0.475,98
spotify,We Everywhere,My Maria,My Maria,20/11/20,DAY,0.896,0.674,0.0689,0.0096,0.0358,0.115,0.638,99
