user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,All Out 70s,Cecilia,Bridge Over Troubled Water,26/01/70,DAY,0.755,0.876,0.0362,0.3570,0.0000,0.22,0.954,1
spotify,All Out 70s,The Boxer,Bridge Over Troubled Water,26/01/70,DAY,0.439,0.488,0.0615,0.7020,0.0003,0.16,0.629,2
spotify,All Out 70s,Bridge Over Troubled Water,Bridge Over Troubled Water,26/01/70,DAY,0.149,0.206,0.0323,0.8220,0.0006,0.115,0.264,3
spotify,All Out 70s,Moondance - 2013 Remaster,Moondance (Deluxe Edition),15/02/70,MONTH,0.606,0.282,0.0339,0.5010,0.0000,0.152,0.563,4
spotify,All Out 70s,Into the Mystic - 2013 Remaster,Moondance,15/02/70,MONTH,0.608,0.524,0.0309,0.3670,0.0025,0.115,0.797,5
spotify,All Out 70s,Let It Be - Remastered 2009,Let It Be (Remastered),08/05/70,DAY,0.443,0.403,0.0322,0.6310,0.0000,0.111,0.41,6
spotify,All Out 70s,Signed- Sealed- Delivered (I'm Yours),Signed  Sealed And Delivered,07/08/70,DAY,0.675,0.597,0.0337,0.0534,0.0000,0.0986,0.828,7
spotify,All Out 70s,He Ain't Heavy He's My Brother - 1998 Remaster,Confessions of the Mind (Expanded Edition),01/11/70,DAY,0.304,0.421,0.0293,0.4600,0.0000,0.163,0.216,8
spotify,All Out 70s,Layla - 40th Anniversary Version / 2010 Remastered,Layla And Other Assorted Love Songs (40th Anniversary / 2010 Remastered),01/11/70,DAY,0.404,0.902,0.0665,0.5770,0.2970,0.287,0.497,9
spotify,All Out 70s,My Sweet Lord - Remastered 2014,All Things Must Pass (Remastered 2014),27/11/70,DAY,0.537,0.701,0.0335,0.0972,0.0000,0.0832,0.583,10
spotify,All Out 70s,Lola - Coca Cola Version,Lola Versus Powerman and the Moneygoround  Pt. One,27/11/70,DAY,0.474,0.917,0.0395,0.5820,0.2310,0.201,0.902,11
spotify,All Out 70s,Have You Ever Seen The Rain,Pendulum (40th Anniversary Edition),07/12/70,DAY,0.741,0.697,0.0277,0.0664,0.0000,0.133,0.774,12
spotify,All Out 70s,Gypsys- Tramps & Thieves,Gypsys  Tramps & Thieves,01/01/71,DAY,0.476,0.677,0.0365,0.2110,0.0000,0.0601,0.691,13
spotify,All Out 70s,Me and Bobby McGee,Pearl (Legacy Edition),11/01/71,DAY,0.453,0.464,0.0431,0.3020,0.0001,0.152,0.658,14
