user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,It's ALT Good!,Talk Too Much,Talk Too Much,06/05/16,DAY,0.598,0.914,0.0878,0.0106,0.0000,0.369,0.531,1
spotify,It's ALT Good!,Up All Night,Colors,13/10/17,DAY,0.635,0.909,0.0553,0.0038,0.0852,0.239,0.639,2
spotify,It's ALT Good!,Lost In The Wild,What If Nothing,10/11/17,DAY,0.483,0.77,0.0512,0.0070,0.0000,0.182,0.386,3
spotify,It's ALT Good!,Drama (feat. Big Data),They Might've Even Loved Me,23/03/18,DAY,0.638,0.782,0.0656,0.0957,0.0006,0.562,0.493,4
spotify,It's ALT Good!,Malibu,Malibu,20/07/18,DAY,0.607,0.916,0.0575,0.0010,0.0005,0.226,0.762,5
spotify,It's ALT Good!,Freakin' Out On the Interstate,Carnival,16/11/18,DAY,0.452,0.79,0.0534,0.3910,0.0000,0.303,0.362,6
spotify,It's ALT Good!,Kilby Girl,When We Were Friends,27/01/19,DAY,0.329,0.444,0.0417,0.0578,0.0352,0.113,0.225,7
spotify,It's ALT Good!,Are You Bored Yet? (feat. Clairo),Nothing Happens,22/03/19,DAY,0.682,0.683,0.0287,0.1560,0.0000,0.273,0.64,8
spotify,It's ALT Good!,Go Easy,Bank On The Funeral,05/04/19,DAY,0.346,0.707,0.106,0.2000,0.0000,0.0811,0.326,9
spotify,It's ALT Good!,Shine,Subject To Flooding,26/04/19,DAY,0.416,0.664,0.0686,0.0284,0.0000,0.158,0.7,10
spotify,It's ALT Good!,Surefire,Surefire,19/07/19,DAY,0.675,0.688,0.0323,0.0006,0.0000,0.118,0.318,11
spotify,It's ALT Good!,Burnout,Burnout,24/07/19,DAY,0.599,0.442,0.0352,0.0002,0.0004,0.0645,0.353,12
spotify,It's ALT Good!,Alright,Pep Talks,07/08/19,DAY,0.613,0.873,0.0561,0.0059,0.0248,0.0693,0.139,13
spotify,It's ALT Good!,Daphne Blue,tryhard,23/08/19,DAY,0.567,0.925,0.0906,0.0024,0.0054,0.348,0.704,14
spotify,It's ALT Good!,Baby Blue,Nella Vita,06/09/19,DAY,0.621,0.943,0.144,0.0113,0.0000,0.135,0.747,15
spotify,It's ALT Good!,Misery,Where Do We Go From Here,13/09/19,DAY,0.343,0.732,0.044,0.0053,0.0030,0.0685,0.392,16
spotify,It's ALT Good!,I Just Wanna Shine,All the Feels,20/09/19,DAY,0.705,0.918,0.0684,0.0400,0.0001,0.0803,0.546,17
spotify,It's ALT Good!,Van Horn,The Original Motion Picture Soundtrack: Pt. 1,16/10/19,DAY,0.642,0.807,0.0421,0.0029,0.0000,0.186,0.423,18
spotify,It's ALT Good!,Used To Like,Used To Like,13/11/19,DAY,0.535,0.933,0.0362,0.0004,0.0000,0.375,0.514,19
spotify,It's ALT Good!,Disaster Party,Disaster Party,15/11/19,DAY,0.666,0.864,0.0334,0.0004,0.0000,0.0873,0.737,20
spotify,It's ALT Good!,More,I Will Not Let My Love Go To Waste,06/12/19,DAY,0.705,0.574,0.0313,0.0329,0.0000,0.132,0.749,21
