user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,just hits,Don't Call Me Up,Ivy To Roses (Mixtape),18/01/19,DAY,0.674,0.881,0.147,0.2960,0.0000,0.0793,0.234,1
spotify,just hits,bad guy,WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?,29/03/19,DAY,0.701,0.425,0.375,0.3280,0.1300,0.1,0.562,2
spotify,just hits,Something About You (with Rudimental),Something About You (with Rudimental),09/08/19,DAY,0.767,0.605,0.188,0.5590,0.0004,0.193,0.657,3
spotify,just hits,Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,17/10/19,DAY,0.824,0.588,0.0924,0.6920,0.0001,0.149,0.513,4
spotify,just hits,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),22/11/19,DAY,0.459,0.575,0.0573,0.6040,0.0000,0.0885,0.183,5
spotify,just hits,Breaking Me,Breaking Me,19/12/19,DAY,0.789,0.72,0.218,0.2230,0.0000,0.129,0.664,6
spotify,just hits,Jerusalema (feat. Nomcebo Zikode),Jerusalema,24/01/20,DAY,0.88,0.483,0.0504,0.0185,0.0000,0.0607,0.827,7
spotify,just hits,Bang!,Bang!,12/02/20,DAY,0.74,0.516,0.0507,0.0183,0.0000,0.0558,0.698,8
spotify,just hits,Blinding Lights,After Hours,20/03/20,DAY,0.514,0.73,0.0598,0.0015,0.0001,0.0897,0.334,9
spotify,just hits,Hypnotized,Hypnotized,08/04/20,DAY,0.689,0.813,0.0998,0.0969,0.0002,0.11,0.704,10
spotify,just hits,Alien,Alien,12/06/20,DAY,0.71,0.768,0.0457,0.0081,0.0000,0.0791,0.419,11
spotify,just hits,Giants,Giants,24/06/20,DAY,0.579,0.839,0.0703,0.0145,0.0000,0.201,0.589,12
spotify,just hits,Natalie Don't,Natalie Don’t,10/07/20,DAY,0.807,0.533,0.0443,0.1760,0.0000,0.284,0.853,13
spotify,just hits,Don't Leave Me Now,Cup Of Beats,31/07/20,DAY,0.671,0.752,0.0304,0.0258,0.0000,0.112,0.717,14
spotify,just hits,Midnight Sky,Midnight Sky,14/08/20,DAY,0.705,0.814,0.0346,0.0012,0.0031,0.203,0.259,15
spotify,just hits,Tick Tock (feat. 24kGoldn),Tick Tock (feat. 24kGoldn),21/08/20,DAY,0.779,0.705,0.0344,0.3690,0.0000,0.124,0.946,16
spotify,just hits,Supernova (tigers blud),Supernova (tigers blud),21/08/20,DAY,0.571,0.71,0.0711,0.0605,0.0000,0.111,0.294,17
spotify,just hits,Why Do You Lie To Me (feat. Lil Baby),Why Do You Lie To Me (feat. Lil Baby),28/08/20,DAY,0.65,0.738,0.158,0.0539,0.0000,0.206,0.336,18
