user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
22atav4gumgajmzu4i3jx4xua,Gospel,Conheço um Coração,Conheço um Coração,03/03/95,DAY,0.332,0.195,0.0318,0.7910,0.0000,0.138,0.363,1
22atav4gumgajmzu4i3jx4xua,Gospel,Sonda-Me,Mensageiro Do Amor,23/01/00,DAY,0.567,0.527,0.0268,0.5990,0.0000,0.0801,0.131,2
22atav4gumgajmzu4i3jx4xua,Gospel,Aos Olhos do Pai,Crianças Diante do Trono,09/01/01,DAY,0.566,0.261,0.0248,0.7120,0.0000,0.101,0.309,3
22atav4gumgajmzu4i3jx4xua,Gospel,Como És Lindo - Ao Vivo,Banda Vida Reluz ao Vivo,30/11/05,DAY,0.267,0.232,0.0301,0.7120,0.0000,0.538,0.103,4
22atav4gumgajmzu4i3jx4xua,Gospel,Noites Traiçoeiras,Minha Benção (Com Faixa Bonus),22/07/06,DAY,0.516,0.509,0.0336,0.6700,0.0000,0.798,0.299,5
22atav4gumgajmzu4i3jx4xua,Gospel,Eu Navegarei,A Tempestade Vai Passar,01/01/07,DAY,0.548,0.513,0.0266,0.2880,0.0010,0.157,0.203,6
22atav4gumgajmzu4i3jx4xua,Gospel,Podes Reinar,A Tempestade Vai Passar,01/01/07,DAY,0.459,0.307,0.0304,0.7030,0.0000,0.396,0.373,7
22atav4gumgajmzu4i3jx4xua,Gospel,Eu Navegarei,A Tempestade Vai Passar,01/01/07,DAY,0.56,0.502,0.0263,0.2970,0.0007,0.184,0.209,8
22atav4gumgajmzu4i3jx4xua,Gospel,Deus é capaz,Vida,30/03/08,DAY,0.537,0.257,0.0279,0.7890,0.0000,0.0918,0.269,9
22atav4gumgajmzu4i3jx4xua,Gospel,Tudo é do Pai - ao vivo,Vida,30/03/08,DAY,0.542,0.35,0.0313,0.8710,0.0000,0.246,0.373,10
22atav4gumgajmzu4i3jx4xua,Gospel,Tudo Posso,Vida,30/03/08,DAY,0.311,0.277,0.0326,0.7150,0.0000,0.116,0.196,11
22atav4gumgajmzu4i3jx4xua,Gospel,Humano Amor de Deus,Vida,30/03/08,DAY,0.546,0.339,0.0323,0.6570,0.0000,0.105,0.441,12
22atav4gumgajmzu4i3jx4xua,Gospel,Kyrie Eleison,Ressuscitou (Liturgia),09/07/08,DAY,0.187,0.238,0.0327,0.5700,0.0077,0.228,0.325,13
22atav4gumgajmzu4i3jx4xua,Gospel,Faz Um Milagre Em Mim (Como Zaqueu- Eu Quero Subir) - Ao Vivo,Compromisso,01/10/08,DAY,0.33,0.337,0.0628,0.4260,0.0000,0.746,0.28,14
22atav4gumgajmzu4i3jx4xua,Gospel,O Céu Se Abre - Ao Vivo,Hoje Livre Sou (Ao Vivo),01/12/08,DAY,0.303,0.577,0.0327,0.4030,0.0000,0.54,0.356,15
22atav4gumgajmzu4i3jx4xua,Gospel,Hoje Livre Sou - Ao Vivo,Hoje Livre Sou (Ao Vivo),01/12/08,DAY,0.52,0.501,0.0256,0.6080,0.0000,0.112,0.372,16
22atav4gumgajmzu4i3jx4xua,Gospel,Sacramento da Comunhão (Ao Vivo),Nelsinho Corrêa ao Vivo,07/04/09,DAY,0.28,0.445,0.0319,0.7050,0.0000,0.797,0.285,17
22atav4gumgajmzu4i3jx4xua,Gospel,Viver Pra Mim é Cristo,Iluminar,23/11/09,DAY,0.602,0.5,0.0285,0.5660,0.0000,0.188,0.24,18
22atav4gumgajmzu4i3jx4xua,Gospel,Incendeia Minha Alma,Iluminar,23/11/09,DAY,0.56,0.364,0.0249,0.7000,0.0000,0.0758,0.24,19
22atav4gumgajmzu4i3jx4xua,Gospel,Força e Vitória (Ao Vivo),Barco a Vela (Ao Vivo),01/12/09,DAY,0.454,0.39,0.0246,0.6020,0.0000,0.53,0.253,20
22atav4gumgajmzu4i3jx4xua,Gospel,Consagração à Nossa Senhora - Ao Vivo,O Céu Se Abre   Ao Vivo,05/07/10,DAY,0.281,0.603,0.0329,0.6090,0.0000,0.968,0.354,21
22atav4gumgajmzu4i3jx4xua,Gospel,Estou Aqui,10 Anos,10/04/11,DAY,0.557,0.489,0.0252,0.0682,0.0000,0.106,0.375,22
22atav4gumgajmzu4i3jx4xua,Gospel,Força e Vitória (feat. Belo),Ágape Musical,30/08/11,DAY,0.487,0.455,0.0254,0.6710,0.0000,0.104,0.218,23
22atav4gumgajmzu4i3jx4xua,Gospel,Maria de Nazaré,Ágape Musical,30/08/11,DAY,0.603,0.425,0.0295,0.6850,0.0000,0.0812,0.521,24
22atav4gumgajmzu4i3jx4xua,Gospel,Poderoso Deus,Poderoso Deus,01/12/11,DAY,0.488,0.553,0.0306,0.5200,0.0000,0.16,0.217,25
22atav4gumgajmzu4i3jx4xua,Gospel,Sonda-Me (feat. Alexandre Pires) - Ao Vivo,Ágape Amor Divino,10/09/12,DAY,0.52,0.551,0.0404,0.4470,0.0000,0.928,0.334,26
22atav4gumgajmzu4i3jx4xua,Gospel,Vem- Eu Mostrarei,Minha Fé,22/04/13,DAY,0.252,0.217,0.0304,0.8830,0.0000,0.121,0.163,27
22atav4gumgajmzu4i3jx4xua,Gospel,A barca (Pescador de hombres),No Coração da Jornada,06/05/13,DAY,0.552,0.415,0.0267,0.2710,0.0000,0.172,0.233,28
22atav4gumgajmzu4i3jx4xua,Gospel,Senhora e Rainha,Além da Última Estrela,20/05/13,DAY,0.66,0.487,0.0254,0.3200,0.0000,0.144,0.375,29
22atav4gumgajmzu4i3jx4xua,Gospel,Nossa Senhora - Ao Vivo,Jornada Mundial da Juventude Rio 2013   O Melhor da Música Católica,14/06/13,DAY,0.404,0.518,0.0295,0.3240,0.0000,0.352,0.353,30
22atav4gumgajmzu4i3jx4xua,Gospel,O Senhor é Rei,Queremos Deus,01/07/13,DAY,0.379,0.799,0.0437,0.1970,0.0000,0.961,0.369,31
22atav4gumgajmzu4i3jx4xua,Gospel,Deus Está Aqui,Queremos Deus,01/07/13,DAY,0.482,0.335,0.0299,0.5960,0.0000,0.735,0.196,32
22atav4gumgajmzu4i3jx4xua,Gospel,Regaço Acolhedor,Minha Mãe,31/05/14,DAY,0.488,0.309,0.0274,0.8840,0.0000,0.102,0.129,33
22atav4gumgajmzu4i3jx4xua,Gospel,Teus Planos,Quero Ter um Coração Curado (feat. Juninho Cassimiro and Fátima Souza),01/09/14,DAY,0.538,0.487,0.031,0.7330,0.0000,0.133,0.406,34
