user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,Gold School,So What,Light Poles And Pine Trees,01/01/06,DAY,0.676,0.484,0.364,0.0675,0.0000,0.0846,0.902,1
spotify,Gold School,This Is Why I'm Hot,Music Is My Savior,01/01/07,DAY,0.621,0.6,0.576,0.2770,0.0000,0.495,0.485,2
spotify,Gold School,Throw Some D's,Rich Boy,01/01/07,DAY,0.697,0.86,0.43,0.0368,0.0000,0.0721,0.433,3
spotify,Gold School,Make Me Better,From Nothin' To Somethin' (Bonus Track Version),01/01/07,DAY,0.607,0.599,0.0995,0.3300,0.0000,0.199,0.562,4
spotify,Gold School,Paris- Tokyo,Lupe Fiasco's The Cool,01/01/07,DAY,0.734,0.64,0.182,0.0895,0.0000,0.173,0.351,5
spotify,Gold School,Pop Bottles - Main,5 * Stunna,01/01/07,DAY,0.534,0.813,0.406,0.0695,0.0000,0.606,0.548,6
spotify,Gold School,What a Job,Waitin' to Inhale,01/07/07,YEAR,0.794,0.745,0.351,0.1130,0.0000,0.254,0.741,7
spotify,Gold School,Hypnotized (feat. Akon),The Real Testament,06/08/07,DAY,0.84,0.571,0.0797,0.1600,0.0000,0.406,0.617,8
spotify,Gold School,Duffle Bag Boy,Supply & Demand,30/10/07,DAY,0.613,0.835,0.177,0.1060,0.0000,0.14,0.684,9
spotify,Gold School,Put On,The Recession,01/01/08,DAY,0.654,0.77,0.0353,0.0034,0.0000,0.0887,0.272,10
spotify,Gold School,Dangerous,Not 4 Sale,01/01/08,DAY,0.949,0.79,0.0756,0.0044,0.0000,0.0816,0.807,11
spotify,Gold School,My Life,LAX,01/01/08,DAY,0.673,0.766,0.349,0.0724,0.0000,0.0563,0.382,12
spotify,Gold School,Rider Pt. 2,T.O.S. (Terminate On Sight),01/01/08,DAY,0.847,0.744,0.304,0.0975,0.0000,0.0554,0.754,13
spotify,Gold School,Umma Do Me,Self Made,01/01/08,DAY,0.475,0.605,0.215,0.0833,0.0000,0.267,0.291,14
spotify,Gold School,I Won't Tell,The Elephant In The Room,11/03/08,DAY,0.61,0.768,0.397,0.0334,0.0000,0.253,0.352,15
spotify,Gold School,Low (feat. T-Pain),Mail on Sunday,17/03/08,DAY,0.918,0.609,0.0791,0.0928,0.0000,0.139,0.304,16
spotify,Gold School,Live Your Life,Paper Trail,07/09/08,DAY,0.375,0.862,0.255,0.0710,0.0000,0.211,0.478,17
spotify,Gold School,Amazing,808s & Heartbreak,24/11/08,DAY,0.588,0.554,0.0545,0.2160,0.1180,0.0619,0.496,18
spotify,Gold School,Day 'N' Nite (Nightmare),Man On The Moon: The End Of Day (Int'l Version),01/01/09,DAY,0.88,0.443,0.0653,0.4620,0.0000,0.122,0.803,19
spotify,Gold School,I Love College,Asleep In The Bread Aisle,01/01/09,DAY,0.713,0.826,0.243,0.0897,0.0000,0.421,0.664,20
spotify,Gold School,Every Girl,Every Girl,01/01/09,DAY,0.632,0.73,0.245,0.0032,0.0000,0.397,0.762,21
spotify,Gold School,I Wanna Rock,Malice 'N Wonderland,01/01/09,DAY,0.521,0.849,0.318,0.1680,0.0000,0.289,0.431,22
spotify,Gold School,Make tha Trap Say Aye (feat. Gucci Mane),The Otha Side of the Trap,27/01/09,DAY,0.814,0.532,0.304,0.0935,0.0000,0.0715,0.504,23
spotify,Gold School,Pop Champagne - Explicit Album Version,Pray IV Reign,19/03/09,DAY,0.61,0.431,0.294,0.0300,0.0000,0.099,0.463,24
spotify,Gold School,Ice Cream Paint Job,Dorrough Music,04/08/09,DAY,0.851,0.598,0.439,0.0006,0.0000,0.343,0.654,25
spotify,Gold School,Run This Town,The Blueprint 3,08/09/09,DAY,0.632,0.924,0.29,0.2810,0.0000,0.263,0.441,26
spotify,Gold School,Lemonade,The State vs. Radric Davis,07/12/09,DAY,0.741,0.658,0.0853,0.6430,0.0000,0.307,0.746,27
spotify,Gold School,Popular Demand (Popeyes),Til The Casket Drops,08/12/09,DAY,0.637,0.806,0.276,0.1860,0.0000,0.0867,0.487,28
spotify,Gold School,B.M.F. (Blowin' Money Fast),Teflon Don,01/01/10,DAY,0.72,0.863,0.0562,0.0174,0.0000,0.178,0.363,29
spotify,Gold School,Over,Thank Me Later (Int'l Version),01/01/10,DAY,0.325,0.848,0.279,0.0109,0.0000,0.124,0.433,30
spotify,Gold School,Right Above It,I Am Not A Human Being,01/01/10,DAY,0.376,0.841,0.356,0.0435,0.0000,0.578,0.463,31
spotify,Gold School,Pretty Boy Swag,The DeAndre Way,01/01/10,DAY,0.837,0.42,0.0629,0.1770,0.0000,0.356,0.143,32
spotify,Gold School,My Chick Bad,Battle Of The Sexes (Deluxe),01/01/10,DAY,0.624,0.723,0.378,0.1720,0.0000,0.483,0.757,33
spotify,Gold School,Fancy,Thank Me Later (Int'l Version),01/01/10,DAY,0.523,0.884,0.461,0.3310,0.0000,0.356,0.283,34
spotify,Gold School,Nothin' on You (feat. Bruno Mars),B.o.B Presents: The Adventures of Bobby Ray,27/04/10,DAY,0.688,0.853,0.0493,0.3860,0.0000,0.0862,0.743,35
spotify,Gold School,Just Begun (feat. Jay Electronica- J. Cole and Mos Def),Revolutions Per Minute,18/05/10,DAY,0.629,0.787,0.376,0.2630,0.0000,0.357,0.713,36
spotify,Gold School,Love The Way You Lie,Recovery,18/06/10,DAY,0.749,0.925,0.227,0.2410,0.0000,0.52,0.641,37
spotify,Gold School,Michael Jordan,Overly Dedicated,14/09/10,DAY,0.713,0.803,0.287,0.0759,0.0000,0.129,0.522,38
spotify,Gold School,No Hands (feat. Roscoe Dash & Wale),Flockaveli,01/10/10,DAY,0.76,0.595,0.0391,0.0054,0.0000,0.241,0.361,39
spotify,Gold School,Hard in Da Paint,Flockaveli,01/10/10,DAY,0.611,0.66,0.0839,0.1980,0.0000,0.365,0.583,40
spotify,Gold School,Grove St. Party (feat. Kebo Gotti),Flockaveli,01/10/10,DAY,0.705,0.702,0.108,0.1380,0.0000,0.364,0.771,41
spotify,Gold School,Black and Yellow,Rolling Papers,29/03/11,DAY,0.684,0.834,0.0675,0.0646,0.0000,0.271,0.538,42
spotify,Gold School,Lights Please,Cole World: The Sideline Story,27/09/11,DAY,0.813,0.563,0.269,0.0293,0.0000,0.125,0.761,43
spotify,Gold School,Dey Know,The HIIT Playlist,04/04/17,DAY,0.443,0.734,0.402,0.0819,0.0000,0.532,0.704,44
spotify,Gold School,Beamer- Benz- Or Bentley,10s Hip Hop Hits,24/04/20,DAY,0.652,0.671,0.315,0.0040,0.0000,0.598,0.518,45
