user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,Alternative Hip Hop,Super Bounce,SuperGood,21/08/20,DAY,0.772,0.61,0.206,0.2390,0.0005,0.124,0.747,1
spotify,Alternative Hip Hop,damn Right,damn Right,10/09/20,DAY,0.854,0.571,0.356,0.1160,0.0000,0.117,0.662,2
spotify,Alternative Hip Hop,Own It,Own It,17/09/20,DAY,0.852,0.731,0.213,0.3940,0.0000,0.302,0.646,3
spotify,Alternative Hip Hop,ROXY,ROXY,17/09/20,DAY,0.466,0.54,0.381,0.2850,0.0000,0.123,0.511,4
spotify,Alternative Hip Hop,Tomorrow,Tomorrow,18/09/20,DAY,0.832,0.589,0.291,0.1950,0.0001,0.172,0.425,5
spotify,Alternative Hip Hop,TOMMY'S IN TROUBLE,TOMMY’S IN TROUBLE,18/09/20,DAY,0.407,0.535,0.287,0.3160,0.0000,0.739,0.779,6
spotify,Alternative Hip Hop,Colorful Shit,Colorful Shit,22/09/20,DAY,0.779,0.57,0.192,0.0800,0.0000,0.11,0.49,7
spotify,Alternative Hip Hop,Feelings,Feelings,23/09/20,DAY,0.857,0.736,0.0455,0.0448,0.0000,0.0895,0.599,8
spotify,Alternative Hip Hop,For Real (feat. Kemba),For Real (feat. Kemba),23/09/20,DAY,0.732,0.679,0.202,0.1500,0.0000,0.0383,0.622,9
spotify,Alternative Hip Hop,Beaujolais,Beaujolais,24/09/20,DAY,0.567,0.505,0.223,0.3720,0.0000,0.111,0.359,10
spotify,Alternative Hip Hop,SH!TWTF,SH!TWTF,24/09/20,DAY,0.784,0.83,0.0452,0.1280,0.0000,0.23,0.329,11
spotify,Alternative Hip Hop,Dance Like No One’s Watching,Dance Like No One's Watching,25/09/20,DAY,0.775,0.492,0.109,0.3520,0.0002,0.115,0.65,12
spotify,Alternative Hip Hop,Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],30/09/20,DAY,0.832,0.549,0.0602,0.1680,0.0000,0.11,0.384,13
spotify,Alternative Hip Hop,Lets Link - Remix,Lets Link (Remix),01/10/20,DAY,0.881,0.659,0.118,0.0089,0.0000,0.0982,0.509,14
spotify,Alternative Hip Hop,Student Loans,Student Loans,01/10/20,DAY,0.676,0.668,0.192,0.5110,0.0000,0.121,0.724,15
spotify,Alternative Hip Hop,2AM In Houston,Love Scars: The 5 Stages Of Emotions,02/10/20,DAY,0.805,0.552,0.147,0.2330,0.0000,0.151,0.385,16
spotify,Alternative Hip Hop,Sticky (feat. Snoop Dogg) - Remix,Sticky (feat. Snoop Dogg) [Remix],02/10/20,DAY,0.755,0.617,0.359,0.0270,0.0000,0.125,0.668,17
spotify,Alternative Hip Hop,Stick Up (feat. Poundside Pop),Stick Up (feat. Poundside Pop),02/10/20,DAY,0.837,0.672,0.098,0.0326,0.0000,0.112,0.624,18
spotify,Alternative Hip Hop,LEAP!,LEAP!,02/10/20,DAY,0.892,0.585,0.102,0.1460,0.0000,0.0881,0.244,19
spotify,Alternative Hip Hop,Live From The Abyss,Live From The Abyss,09/10/20,DAY,0.64,0.762,0.273,0.0009,0.0000,0.452,0.595,20
spotify,Alternative Hip Hop,Paid Off,Paid Off,09/10/20,DAY,0.91,0.324,0.102,0.1800,0.0001,0.0941,0.568,21
spotify,Alternative Hip Hop,Be Yourself Pt. 2 (Sunset Falls),Be Yourself Pt. 2 (Sunset Falls),09/10/20,DAY,0.548,0.583,0.358,0.0089,0.0000,0.0865,0.359,22
spotify,Alternative Hip Hop,Elephant,Elephant,09/10/20,DAY,0.86,0.694,0.32,0.2550,0.0000,0.107,0.717,23
spotify,Alternative Hip Hop,Powerpuff Girls,Powerpuff Girls,09/10/20,DAY,0.877,0.671,0.368,0.0565,0.0000,0.466,0.677,24
spotify,Alternative Hip Hop,Delectable,Delectable,09/10/20,DAY,0.789,0.7,0.148,0.2130,0.0000,0.36,0.628,25
spotify,Alternative Hip Hop,Commas,Commas,14/10/20,DAY,0.882,0.545,0.409,0.1930,0.0000,0.305,0.557,26
spotify,Alternative Hip Hop,BET Uncut (feat. Chance The Rapper & Smino),BET Uncut (feat. Chance The Rapper & Smino),14/10/20,DAY,0.802,0.697,0.316,0.1060,0.0000,0.73,0.503,27
spotify,Alternative Hip Hop,Don't Like Me (feat. Gucci Mane & Don Toliver),Don't Like Me (feat. Gucci Mane & Don Toliver),15/10/20,DAY,0.904,0.843,0.0985,0.0871,0.0000,0.0766,0.937,28
spotify,Alternative Hip Hop,Mean,Mean,15/10/20,DAY,0.836,0.726,0.291,0.2540,0.0000,0.0884,0.611,29
spotify,Alternative Hip Hop,BOLD,BOLD,15/10/20,DAY,0.89,0.519,0.231,0.0006,0.0243,0.0679,0.561,30
spotify,Alternative Hip Hop,Keep Your Distance,Keep Your Distance,15/10/20,DAY,0.811,0.526,0.26,0.0475,0.0000,0.101,0.433,31
spotify,Alternative Hip Hop,King Alfred,King Alfred,16/10/20,DAY,0.836,0.573,0.231,0.0202,0.0000,0.0849,0.399,32
spotify,Alternative Hip Hop,Big Dripper,Might Not Make It,16/10/20,DAY,0.793,0.353,0.271,0.0714,0.0007,0.0958,0.263,33
spotify,Alternative Hip Hop,Get Rich or Die Tryin,Get Rich or Die Tryin,16/10/20,DAY,0.748,0.487,0.233,0.2600,0.0000,0.133,0.704,34
spotify,Alternative Hip Hop,Diamond Choker,Diamond Choker (feat. Lil Uzi Vert),16/10/20,DAY,0.922,0.434,0.387,0.0974,0.0000,0.0412,0.684,35
spotify,Alternative Hip Hop,Birthday,We Ain't The Same,16/10/20,DAY,0.787,0.628,0.0349,0.0376,0.0119,0.1,0.511,36
spotify,Alternative Hip Hop,Tom Cruise,Tom Cruise,21/10/20,DAY,0.933,0.611,0.208,0.2080,0.0000,0.102,0.583,37
spotify,Alternative Hip Hop,Family Matters,ELEMENTS Vol. 1,21/10/20,DAY,0.883,0.523,0.251,0.4310,0.0000,0.173,0.448,38
spotify,Alternative Hip Hop,Lets Link (feat. Tyga & Lil Mosey),Lets Link (feat. Tyga & Lil Mosey),21/10/20,DAY,0.866,0.701,0.124,0.0227,0.0000,0.0947,0.591,39
spotify,Alternative Hip Hop,Aggy,Aggy,23/10/20,DAY,0.897,0.556,0.246,0.1730,0.0000,0.116,0.562,40
spotify,Alternative Hip Hop,Sexy (Remix) - feat. Flo Milli,Sexy (Remix) [feat. Flo Milli],23/10/20,DAY,0.843,0.651,0.191,0.0065,0.0000,0.0843,0.5,41
spotify,Alternative Hip Hop,Demons,Demons,23/10/20,DAY,0.865,0.56,0.0748,0.1070,0.0000,0.102,0.726,42
spotify,Alternative Hip Hop,SOMEBODY (feat. Vory) - from the Crimson Soundtrack,CRIMSON SOUNDTRACK,29/10/20,DAY,0.804,0.464,0.0444,0.0224,0.0000,0.0933,0.325,43
spotify,Alternative Hip Hop,Freak Show (feat. Mulatto),Freak Show (feat. Mulatto),30/10/20,DAY,0.771,0.758,0.357,0.0027,0.0000,0.473,0.28,44
spotify,Alternative Hip Hop,SOUTHPAW,SOUTHPAW,30/10/20,DAY,0.471,0.746,0.297,0.0800,0.0000,0.195,0.434,45
spotify,Alternative Hip Hop,Andre 3K's,Andre 3K's,30/10/20,DAY,0.783,0.757,0.188,0.1580,0.0037,0.0925,0.713,46
spotify,Alternative Hip Hop,BENZ | I Know REMIX,BENZ | I Know REMIX,30/10/20,DAY,0.633,0.628,0.0358,0.0165,0.0000,0.154,0.144,47
spotify,Alternative Hip Hop,On for the Night,Hail of a Year,30/10/20,DAY,0.681,0.727,0.127,0.0278,0.0020,0.0757,0.421,48
spotify,Alternative Hip Hop,Dora,Dora,30/10/20,DAY,0.956,0.301,0.072,0.1500,0.0009,0.113,0.0759,49
spotify,Alternative Hip Hop,Scared,Scared,30/10/20,DAY,0.822,0.63,0.117,0.1370,0.0000,0.157,0.382,50
