user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,Behind The Lyrics: Hip Hop,IDK,IDK,13/04/18,DAY,0.771,0.452,0.292,0.0748,0.0000,0.257,0.332,1
spotify,Behind The Lyrics: Hip Hop,Virtual (Blue Balenciagas),Virtual (Blue Balenciagas),20/04/18,DAY,0.774,0.716,0.0438,0.3070,0.0000,0.0973,0.579,2
spotify,Behind The Lyrics: Hip Hop,Better BE,XXX,02/05/18,DAY,0.745,0.637,0.221,0.0227,0.0000,0.29,0.634,3
spotify,Behind The Lyrics: Hip Hop,Kiccin Shit,Kiccin Shit,15/06/18,DAY,0.623,0.667,0.316,0.2300,0.0000,0.232,0.694,4
spotify,Behind The Lyrics: Hip Hop,Ridin (feat. Landon Cube & YBN Nahmir),Yung Bans Vol. 5,27/06/18,DAY,0.832,0.439,0.0996,0.6060,0.0000,0.11,0.53,5
spotify,Behind The Lyrics: Hip Hop,CLOUT COBAIN | CLOUT CO13A1N,CLOUT COBAIN | CLOUT CO13A1N,12/07/18,DAY,0.794,0.448,0.0539,0.5910,0.0000,0.109,0.588,6
spotify,Behind The Lyrics: Hip Hop,CUTTHROAT SMILE,CUTTHROAT SMILE (feat. $uicideBoy$),13/07/18,DAY,0.753,0.826,0.233,0.0641,0.0000,0.356,0.445,7
spotify,Behind The Lyrics: Hip Hop,Elimination,23,15/07/18,DAY,0.755,0.517,0.0751,0.7540,0.0000,0.127,0.699,8
spotify,Behind The Lyrics: Hip Hop,Work Out,Work Out,18/07/18,DAY,0.678,0.659,0.312,0.4920,0.0000,0.106,0.675,9
spotify,Behind The Lyrics: Hip Hop,Murder On My Mind,I AM YOU,03/08/18,DAY,0.759,0.73,0.0516,0.1450,0.0000,0.11,0.74,10
spotify,Behind The Lyrics: Hip Hop,Come Back to Earth,Swimming,03/08/18,DAY,0.272,0.238,0.0349,0.8900,0.0093,0.275,0.119,11
spotify,Behind The Lyrics: Hip Hop,Fuck That,Life of Betrayal,03/08/18,DAY,0.634,0.659,0.109,0.1020,0.0000,0.191,0.366,12
