user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,Most Necessary,Hands Down,B.H.D. (Black Hearted Demon),15/05/20,DAY,0.619,0.652,0.243,0.7330,0.0000,0.141,0.255,1
spotify,Most Necessary,STACKHOUSE,STACKHOUSE,17/07/20,DAY,0.797,0.581,0.0681,0.1010,0.0000,0.0569,0.37,2
spotify,Most Necessary,Throat Baby (Go Baby),Throat Baby (Go Baby),24/07/20,DAY,0.9,0.521,0.147,0.0135,0.0000,0.0951,0.213,3
spotify,Most Necessary,Coochie Land,Coochie Land,03/08/20,DAY,0.53,0.508,0.0593,0.4320,0.0000,0.107,0.355,4
spotify,Most Necessary,Racin' (feat. Lil Tjay),Racin' (feat. Lil Tjay),06/08/20,DAY,0.789,0.733,0.3,0.1070,0.0000,0.193,0.64,5
spotify,Most Necessary,Tip Toe,Tip Toe,12/08/20,DAY,0.849,0.622,0.325,0.5790,0.0000,0.193,0.802,6
spotify,Most Necessary,Don't Worry (Clappers),Don't Worry (Clappers),19/08/20,DAY,0.812,0.413,0.374,0.1400,0.0000,0.106,0.211,7
spotify,Most Necessary,Sandlot,Sandlot,19/08/20,DAY,0.883,0.57,0.179,0.0667,0.0000,0.109,0.827,8
spotify,Most Necessary,Whoopty,Whoopty,20/08/20,DAY,0.714,0.609,0.17,0.1940,0.0000,0.126,0.778,9
spotify,Most Necessary,Don't Need Time - Remix,Don't Need Time (Remix),25/08/20,DAY,0.779,0.631,0.174,0.3430,0.0000,0.126,0.622,10
spotify,Most Necessary,Memphis- Pt. 2 (feat. NLE Choppa and A$AP Ferg),Memphis  Pt. 2 (feat. NLE Choppa and A$AP Ferg),28/08/20,DAY,0.704,0.663,0.395,0.2920,0.0000,0.196,0.35,11
spotify,Most Necessary,Chrome No Heart,Chrome No Heart,28/08/20,DAY,0.889,0.669,0.462,0.0316,0.0000,0.125,0.878,12
spotify,Most Necessary,Lost Me (feat. Lil Mosey- iann dior & Lil Skies),B4 The Storm,29/08/20,DAY,0.694,0.697,0.0379,0.1620,0.0000,0.0821,0.379,13
spotify,Most Necessary,Baggin',Baggin',02/09/20,DAY,0.78,0.528,0.451,0.2440,0.0000,0.111,0.383,14
spotify,Most Necessary,No Love Lost,No Love Lost,04/09/20,DAY,0.663,0.561,0.483,0.6460,0.0006,0.183,0.37,15
spotify,Most Necessary,Parlay,Parlay,09/09/20,DAY,0.917,0.785,0.226,0.0074,0.0000,0.0757,0.754,16
spotify,Most Necessary,All We Got,RVLTN (Chapter 3): The Price of Freedom,11/09/20,DAY,0.739,0.668,0.318,0.0539,0.0000,0.0981,0.56,17
spotify,Most Necessary,BookBag 2.0 (feat. Polo G),Bad Intentions,16/09/20,DAY,0.909,0.541,0.497,0.3220,0.0000,0.0942,0.823,18
spotify,Most Necessary,Sum Mo (feat. 42 Dugg),Sum Mo (feat. 42 Dugg),16/09/20,DAY,0.868,0.498,0.341,0.0752,0.0000,0.0572,0.813,19
spotify,Most Necessary,All White,All White,17/09/20,DAY,0.926,0.492,0.333,0.0561,0.0000,0.0874,0.311,20
spotify,Most Necessary,Mrs. Whoever,Mrs. Whoever / Something in the Water,17/09/20,DAY,0.663,0.536,0.378,0.3250,0.0000,0.12,0.394,21
spotify,Most Necessary,When You Down (with Polo G feat. Lil Durk),Virgo World,18/09/20,DAY,0.514,0.634,0.383,0.2350,0.0000,0.13,0.308,22
spotify,Most Necessary,MAD,MAD,18/09/20,DAY,0.559,0.474,0.341,0.0704,0.0000,0.238,0.204,23
spotify,Most Necessary,hooligan,hooligan / sons & critics,18/09/20,DAY,0.77,0.636,0.0901,0.1980,0.0000,0.115,0.414,24
spotify,Most Necessary,Training Day,Without A Smile,18/09/20,DAY,0.817,0.419,0.233,0.2940,0.0000,0.211,0.285,25
spotify,Most Necessary,Revenge,Revenge,24/09/20,DAY,0.829,0.619,0.198,0.2900,0.0004,0.0975,0.351,26
spotify,Most Necessary,SAME HANDS (feat. Lil Durk),SAME HANDS (feat. Lil Durk),25/09/20,DAY,0.88,0.609,0.253,0.0682,0.0000,0.112,0.323,27
spotify,Most Necessary,Shining (feat. 42 Dugg),Shining (feat. 42 Dugg),25/09/20,DAY,0.957,0.524,0.458,0.0153,0.0000,0.086,0.808,28
spotify,Most Necessary,No Relay,No Relay,25/09/20,DAY,0.832,0.598,0.39,0.0227,0.0000,0.284,0.773,29
spotify,Most Necessary,Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],30/09/20,DAY,0.832,0.549,0.0602,0.1680,0.0000,0.11,0.384,30
spotify,Most Necessary,Gun Smoke,Gun Smoke,01/10/20,DAY,0.931,0.812,0.306,0.1620,0.0000,0.14,0.83,31
spotify,Most Necessary,Student Loans,Student Loans,01/10/20,DAY,0.676,0.668,0.192,0.5110,0.0000,0.121,0.724,32
spotify,Most Necessary,Onna Come Up,Onna Come Up,02/10/20,DAY,0.796,0.426,0.285,0.3560,0.0000,0.0941,0.649,33
spotify,Most Necessary,Bop It (feat. Polo G),Bop It (feat. Polo G),02/10/20,DAY,0.841,0.605,0.345,0.0029,0.0000,0.309,0.262,34
spotify,Most Necessary,What You Need (Kdot),Idols,02/10/20,DAY,0.832,0.55,0.379,0.1580,0.0000,0.0995,0.48,35
spotify,Most Necessary,50 Bars- Pt. 4,50 Bars  Pt. 4,02/10/20,DAY,0.773,0.858,0.342,0.4130,0.0000,0.0805,0.671,36
spotify,Most Necessary,Wild Child,Merciless,02/10/20,DAY,0.555,0.502,0.314,0.0396,0.0000,0.121,0.311,37
spotify,Most Necessary,It's Whatever (feat. Future),It's Whatever (feat. Future),02/10/20,DAY,0.728,0.622,0.238,0.0443,0.0000,0.1,0.224,38
spotify,Most Necessary,Composure,Guns Up Funds Up,02/10/20,DAY,0.861,0.329,0.529,0.0377,0.0000,0.235,0.541,39
spotify,Most Necessary,Window Shopping (feat. Lil Baby),Window Shopping (feat. Lil Baby),09/10/20,DAY,0.806,0.665,0.132,0.2880,0.0000,0.0748,0.502,40
spotify,Most Necessary,Letter 2 U,Letter 2 U,09/10/20,DAY,0.583,0.465,0.272,0.6660,0.0000,0.107,0.222,41
spotify,Most Necessary,I Am What I Am (feat. Fivio Foreign),I Am What I Am (feat. Fivio Foreign),09/10/20,DAY,0.8,0.676,0.287,0.0762,0.0000,0.119,0.421,42
spotify,Most Necessary,While I'm Here (feat. Polo G),A Demon In 6lue,09/10/20,DAY,0.682,0.879,0.073,0.0048,0.0000,0.299,0.562,43
spotify,Most Necessary,Favorite Ni**a,New Beginnings,09/10/20,DAY,0.641,0.571,0.768,0.1330,0.0000,0.516,0.426,44
spotify,Most Necessary,Get In feat. Stunna 4 Vegas,Get In feat. Stunna 4 Vegas,09/10/20,DAY,0.873,0.516,0.343,0.0650,0.0000,0.125,0.463,45
spotify,Most Necessary,All The Money In The World (feat. Lil Durk),Evergreen Wildchild 2 (Deluxe),09/10/20,DAY,0.715,0.673,0.313,0.0943,0.0000,0.174,0.292,46
spotify,Most Necessary,MAYA,MAYA,09/10/20,DAY,0.577,0.687,0.127,0.0716,0.0000,0.546,0.775,47
spotify,Most Necessary,Designer Talk,Designer Talk,09/10/20,DAY,0.873,0.443,0.0964,0.0197,0.0000,0.11,0.259,48
spotify,Most Necessary,Big Homie (Remix) [feat. King Von & Jackboy],Big Homie (Remix) [feat. King Von & Jackboy],09/10/20,DAY,0.797,0.662,0.137,0.2250,0.0000,0.0947,0.401,49
spotify,Most Necessary,I.D.F.W (feat. Stunna 4 Vegas),I.D.F.W (feat. Stunna 4 Vegas),09/10/20,DAY,0.851,0.617,0.169,0.0387,0.0000,0.149,0.454,50
spotify,Most Necessary,T.H.U.G.,T.H.U.G.,09/10/20,DAY,0.703,0.521,0.329,0.1500,0.0000,0.116,0.217,51
spotify,Most Necessary,Delectable,Delectable,09/10/20,DAY,0.789,0.7,0.148,0.2130,0.0000,0.36,0.628,52
spotify,Most Necessary,You’re Mines Still (feat. Drake),You’re Mines Still (feat. Drake),15/10/20,DAY,0.575,0.609,0.121,0.3170,0.0000,0.105,0.339,53
spotify,Most Necessary,Keep Your Distance,Keep Your Distance,15/10/20,DAY,0.811,0.526,0.26,0.0475,0.0000,0.101,0.433,54
spotify,Most Necessary,Mean,Mean,15/10/20,DAY,0.836,0.726,0.291,0.2540,0.0000,0.0884,0.611,55
spotify,Most Necessary,Diamond Choker,Diamond Choker (feat. Lil Uzi Vert),16/10/20,DAY,0.922,0.434,0.387,0.0974,0.0000,0.0412,0.684,56
