user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,State of Mind,Flood My Wrist (feat. Lil Uzi Vert),Flood My Wrist (feat. Lil Uzi Vert),01/07/20,DAY,0.904,0.672,0.197,0.0038,0.0000,0.138,0.398,1
spotify,State of Mind,Hello (feat. A Boogie Wit da Hoodie),Shoot For The Stars Aim For The Moon (Deluxe),20/07/20,DAY,0.905,0.647,0.107,0.0187,0.0000,0.282,0.367,2
spotify,State of Mind,Different,The Black House,31/07/20,DAY,0.84,0.515,0.363,0.6280,0.0000,0.0732,0.818,3
spotify,State of Mind,Legends (feat. Benny The Butcher),Legends (feat. Benny The Butcher),05/08/20,DAY,0.637,0.865,0.393,0.2970,0.0000,0.17,0.656,4
spotify,State of Mind,Racin' (feat. Lil Tjay),Racin' (feat. Lil Tjay),06/08/20,DAY,0.789,0.733,0.3,0.1070,0.0000,0.193,0.64,5
spotify,State of Mind,Tip Toe,Tip Toe,12/08/20,DAY,0.849,0.622,0.325,0.5790,0.0000,0.193,0.802,6
spotify,State of Mind,Whoopty,Whoopty,20/08/20,DAY,0.714,0.609,0.17,0.1940,0.0000,0.126,0.778,7
spotify,State of Mind,Spicy (feat. Fivio Foreign & A$AP Ferg),King's Disease,21/08/20,DAY,0.724,0.603,0.406,0.0187,0.0000,0.169,0.152,8
spotify,State of Mind,Royal Rumble,Royal Rumble,26/08/20,DAY,0.427,0.679,0.344,0.0010,0.0000,0.159,0.311,9
spotify,State of Mind,No Ceilings (feat. Lil Wayne & Jay Gwuapo),No Ceilings (feat. Lil Wayne & Jay Gwuapo),27/08/20,DAY,0.77,0.705,0.393,0.1370,0.0000,0.0992,0.405,10
spotify,State of Mind,Top 5,GMTO Vol. 1 (Get Money Take Over),04/09/20,DAY,0.826,0.788,0.418,0.3810,0.0000,0.622,0.774,11
spotify,State of Mind,Anza (feat. Armani Caesar),From King To A GOD,11/09/20,DAY,0.864,0.632,0.0589,0.2010,0.0040,0.0966,0.379,12
spotify,State of Mind,Feel The Vibe (feat. Meek Mill),Young Jefe 3,18/09/20,DAY,0.77,0.624,0.289,0.1580,0.0000,0.264,0.558,13
spotify,State of Mind,Movie,Movie,18/09/20,DAY,0.643,0.773,0.336,0.2950,0.0000,0.0833,0.474,14
spotify,State of Mind,Wait A Minute,Wait A Minute,18/09/20,DAY,0.893,0.537,0.242,0.1010,0.0000,0.102,0.422,15
spotify,State of Mind,For Real (feat. Kemba),For Real (feat. Kemba),23/09/20,DAY,0.732,0.679,0.202,0.1500,0.0000,0.0383,0.622,16
spotify,State of Mind,SAME HANDS (feat. Lil Durk),SAME HANDS (feat. Lil Durk),25/09/20,DAY,0.88,0.609,0.253,0.0682,0.0000,0.112,0.323,17
spotify,State of Mind,MICHAEL,MICHAEL,25/09/20,DAY,0.93,0.609,0.38,0.1780,0.0000,0.11,0.552,18
spotify,State of Mind,Cliff Hanger,Only For Dolphins,25/09/20,DAY,0.751,0.684,0.267,0.1570,0.0000,0.334,0.693,19
spotify,State of Mind,Bop It (feat. Polo G),Bop It (feat. Polo G),02/10/20,DAY,0.841,0.605,0.345,0.0029,0.0000,0.309,0.262,20
spotify,State of Mind,50 Bars- Pt. 4,50 Bars  Pt. 4,02/10/20,DAY,0.773,0.858,0.342,0.4130,0.0000,0.0805,0.671,21
spotify,State of Mind,Boatloads feat. Jack Harlow,Homegrown,02/10/20,DAY,0.599,0.713,0.287,0.0150,0.0000,0.491,0.304,22
