user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,Get Turnt,Show Stop,Show Stop,21/01/20,DAY,0.743,0.68,0.0393,0.0550,0.0030,0.203,0.458,1
spotify,Get Turnt,Papi Chulo,Papi Chulo,13/03/20,DAY,0.866,0.563,0.108,0.1850,0.0000,0.0889,0.307,2
spotify,Get Turnt,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,17/04/20,DAY,0.746,0.69,0.164,0.2470,0.0000,0.101,0.497,3
spotify,Get Turnt,We Paid (feat. 42 Dugg),My Turn (Deluxe),01/05/20,DAY,0.926,0.542,0.293,0.1350,0.0000,0.0877,0.564,4
spotify,Get Turnt,Go Crazy,Slime & B,08/05/20,DAY,0.755,0.578,0.145,0.3160,0.0000,0.25,0.581,5
spotify,Get Turnt,No Suburban- Pt. 2,One and Only,15/05/20,DAY,0.85,0.458,0.339,0.4760,0.0000,0.26,0.616,6
spotify,Get Turnt,Buss It,Buss It,15/05/20,DAY,0.918,0.434,0.173,0.5690,0.0000,0.123,0.75,7
spotify,Get Turnt,DOLLAZ ON MY HEAD (feat. Young Thug),WUNNA,22/05/20,DAY,0.825,0.458,0.0577,0.1140,0.0000,0.102,0.161,8
spotify,Get Turnt,Need It,Need It,22/05/20,DAY,0.852,0.745,0.171,0.0313,0.0000,0.0824,0.897,9
spotify,Get Turnt,Move Like a Boss (feat. Young M.A),Move Like a Boss (feat. Young M.A),19/06/20,DAY,0.798,0.793,0.32,0.0665,0.0000,0.297,0.494,10
spotify,Get Turnt,Pussy Talk,City On Lock,20/06/20,DAY,0.943,0.641,0.191,0.0016,0.0000,0.211,0.242,11
spotify,Get Turnt,WHATS POPPIN (feat. DaBaby- Tory Lanez & Lil Wayne) - Remix,WHATS POPPIN (feat. DaBaby  Tory Lanez & Lil Wayne) [Remix],24/06/20,DAY,0.904,0.723,0.26,0.0631,0.0000,0.185,0.835,12
spotify,Get Turnt,Flood My Wrist (feat. Lil Uzi Vert),Flood My Wrist (feat. Lil Uzi Vert),01/07/20,DAY,0.904,0.672,0.197,0.0038,0.0000,0.138,0.398,13
spotify,Get Turnt,The Woo (feat. 50 Cent & Roddy Ricch),Shoot For The Stars Aim For The Moon,03/07/20,DAY,0.49,0.618,0.104,0.0221,0.0000,0.259,0.286,14
spotify,Get Turnt,Dior - Bonus,Shoot For The Stars Aim For The Moon,03/07/20,DAY,0.676,0.746,0.344,0.0893,0.0016,0.412,0.675,15
spotify,Get Turnt,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,03/07/20,DAY,0.823,0.586,0.2,0.1140,0.0000,0.193,0.347,16
spotify,Get Turnt,Don't Be Mad At Me - Remix,Don't Be Mad At Me (Remix),14/07/20,DAY,0.868,0.496,0.217,0.1800,0.0000,0.143,0.212,17
spotify,Get Turnt,POPSTAR (feat. Drake),POPSTAR (feat. Drake),17/07/20,DAY,0.8,0.56,0.261,0.0570,0.0000,0.134,0.45,18
spotify,Get Turnt,Stuntin' On You (feat. DaBaby),Stuntin' On You (feat. DaBaby),17/07/20,DAY,0.796,0.683,0.277,0.0111,0.0000,0.126,0.737,19
spotify,Get Turnt,Love In The Club,Welcome to GStarr Vol. 1 EP,17/07/20,DAY,0.506,0.416,0.165,0.7730,0.0018,0.108,0.415,20
spotify,Get Turnt,Hello (feat. A Boogie Wit da Hoodie),Shoot For The Stars Aim For The Moon (Deluxe),20/07/20,DAY,0.905,0.647,0.107,0.0187,0.0000,0.282,0.367,21
spotify,Get Turnt,Throat Baby (Go Baby),Throat Baby (Go Baby),24/07/20,DAY,0.9,0.521,0.147,0.0135,0.0000,0.0951,0.213,22
spotify,Get Turnt,ONE WATCH (feat. Young Thug),WUNNA (Deluxe),24/07/20,DAY,0.857,0.511,0.0881,0.0006,0.0000,0.11,0.336,23
spotify,Get Turnt,In The Party,Ho  why is you here ?,24/07/20,DAY,0.919,0.609,0.262,0.0096,0.0000,0.124,0.418,24
spotify,Get Turnt,Patek,Patek,30/07/20,DAY,0.801,0.596,0.0534,0.0030,0.0000,0.162,0.134,25
spotify,Get Turnt,Move Ya Hips (feat. Nicki Minaj & MadeinTYO),Move Ya Hips (feat. Nicki Minaj & MadeinTYO),30/07/20,DAY,0.809,0.68,0.222,0.0535,0.0000,0.11,0.0653,26
spotify,Get Turnt,GAH DAMN HIGH,GAH DAMN HIGH,31/07/20,DAY,0.709,0.617,0.335,0.0080,0.0002,0.126,0.547,27
spotify,Get Turnt,PRACTICE,BLAME IT ON BABY (DELUXE),04/08/20,DAY,0.849,0.536,0.349,0.0239,0.0000,0.126,0.308,28
spotify,Get Turnt,GO,BLAME IT ON BABY (DELUXE),04/08/20,DAY,0.795,0.823,0.252,0.0824,0.0000,0.13,0.912,29
spotify,Get Turnt,Rags2Riches 2 (feat. Lil Baby),Pray 4 Love (Deluxe),07/08/20,DAY,0.874,0.443,0.241,0.1470,0.0000,0.124,0.298,30
spotify,Get Turnt,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),07/08/20,DAY,0.935,0.454,0.375,0.0194,0.0000,0.0824,0.357,31
