user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,Mind Right,Shine,The Light Pack,17/07/20,DAY,0.447,0.619,0.25,0.0851,0.0000,0.0965,0.468,1
spotify,Mind Right,The Climb Back,Lewis Street,22/07/20,DAY,0.61,0.569,0.345,0.0398,0.0000,0.337,0.287,2
spotify,Mind Right,10 Points,King's Disease,21/08/20,DAY,0.476,0.751,0.314,0.0043,0.0000,0.227,0.169,3
spotify,Mind Right,Coco Mango (FloFilz Remix),Coco Mango (FloFilz Remix),28/08/20,DAY,0.545,0.56,0.332,0.3730,0.0039,0.0976,0.598,4
spotify,Mind Right,JASON,JASON,02/09/20,DAY,0.538,0.786,0.331,0.0724,0.0000,0.112,0.269,5
spotify,Mind Right,Let's Ride our Heelies to the Cosmos,Let's Ride our Heelies to the Cosmos,09/09/20,DAY,0.624,0.786,0.398,0.4810,0.0000,0.0611,0.444,6
spotify,Mind Right,Seen Everything But Jesus (feat. Freddie Gibbs),Seen Everything But Jesus (feat. Freddie Gibbs),10/09/20,DAY,0.686,0.735,0.261,0.0584,0.0000,0.11,0.597,7
spotify,Mind Right,All We Got,RVLTN (Chapter 3): The Price of Freedom,11/09/20,DAY,0.739,0.668,0.318,0.0539,0.0000,0.0981,0.56,8
spotify,Mind Right,Spurs 3 (feat. Benny The Butcher & Westside Gunn),From King To A GOD,11/09/20,DAY,0.533,0.731,0.28,0.3920,0.0000,0.122,0.705,9
spotify,Mind Right,Still Alive,RVLTN (Chapter 3): The Price of Freedom,11/09/20,DAY,0.734,0.543,0.477,0.3250,0.0000,0.288,0.331,10
spotify,Mind Right,Time Will Tell,Time Will Tell,15/09/20,DAY,0.454,0.581,0.279,0.5570,0.0000,0.152,0.341,11
spotify,Mind Right,Sprague Street,Sprague Street,15/09/20,DAY,0.744,0.871,0.276,0.4520,0.0000,0.105,0.624,12
