user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,Peaceful Piano,Vals De Rodrigues,Vals De Rodrigues,05/09/19,DAY,0.418,0.0368,0.0499,0.9930,0.9440,0.0848,0.119,1
spotify,Peaceful Piano,Alene uden dig,Alene uden dig,22/11/19,DAY,0.488,0.0959,0.0641,0.9950,0.9580,0.0858,0.302,2
spotify,Peaceful Piano,And I Always Will,And I Always Will,21/02/20,DAY,0.349,0.00997,0.0368,0.9910,0.9220,0.09,0.12,3
spotify,Peaceful Piano,Mère bien-aimée,Mère bien aimée,06/03/20,DAY,0.489,0.0496,0.0644,0.9950,0.9570,0.101,0.149,4
spotify,Peaceful Piano,Sagittabondo,Sagittabondo,27/03/20,DAY,0.294,0.0709,0.038,0.9940,0.9170,0.0991,0.22,5
spotify,Peaceful Piano,Continuo,Continuo,06/04/20,DAY,0.428,0.112,0.0467,0.9800,0.8970,0.112,0.215,6
spotify,Peaceful Piano,Onthou,Traces,17/04/20,DAY,0.307,0.05,0.0345,0.9960,0.9400,0.105,0.41,7
spotify,Peaceful Piano,Samarcande,Samarcande,20/04/20,DAY,0.369,0.0166,0.0352,0.9910,0.9400,0.0986,0.0837,8
spotify,Peaceful Piano,Duende,Duende,24/04/20,DAY,0.485,0.0303,0.0434,0.9940,0.9350,0.111,0.0848,9
spotify,Peaceful Piano,Choices,Choices,01/05/20,DAY,0.195,0.111,0.0502,0.9830,0.9520,0.11,0.286,10
spotify,Peaceful Piano,Whitby,Whitby,01/05/20,DAY,0.215,0.0223,0.0432,0.9910,0.9220,0.105,0.253,11
spotify,Peaceful Piano,Watching Over You,delta/alpha,01/05/20,DAY,0.313,0.0229,0.0288,0.9850,0.9380,0.107,0.065,12
spotify,Peaceful Piano,Just Us,Lifeline,08/05/20,DAY,0.33,0.0186,0.0512,0.9950,0.8970,0.102,0.279,13
spotify,Peaceful Piano,Sea Change,Sea Change,15/05/20,DAY,0.458,0.00701,0.0438,0.9930,0.9480,0.102,0.0939,14
spotify,Peaceful Piano,Des ponts plutôt que des murs,Des ponts plutôt que des murs,15/05/20,DAY,0.619,0.0746,0.0485,0.9960,0.9510,0.101,0.544,15
spotify,Peaceful Piano,Shy Paws,Shy Paws,28/05/20,DAY,0.372,0.00312,0.0654,0.9950,0.9650,0.094,0.402,16
spotify,Peaceful Piano,Sand Between Our Fingers,Sand Between Our Fingers,29/05/20,DAY,0.22,0.038,0.0322,0.9850,0.9350,0.0946,0.0975,17
spotify,Peaceful Piano,Fairytale,Fairytale,04/06/20,DAY,0.358,0.0341,0.0566,0.9920,0.9510,0.102,0.145,18
spotify,Peaceful Piano,As We Fall In Love Again,As We Fall In Love Again,05/06/20,DAY,0.357,0.00196,0.0472,0.9860,0.9640,0.104,0.253,19
spotify,Peaceful Piano,La Storia,La Storia,12/06/20,DAY,0.309,0.0397,0.0492,0.9910,0.9130,0.106,0.12,20
