user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
douradopedro,Martin Garrix Live On Tomorrowland 2020,Animals,Animals,01/07/13,DAY,0.675,0.868,0.0392,0.0011,0.7150,0.374,0.0376,1
douradopedro,Martin Garrix Live On Tomorrowland 2020,Crackin - Martin Garrix Edit,Crackin (Martin Garrix Edit),03/02/14,DAY,0.396,0.874,0.184,0.0001,0.7930,0.374,0.212,2
douradopedro,Martin Garrix Live On Tomorrowland 2020,Gold Skies (feat. Aleesia) - Radio Edit,Gold Skies (feat. Aleesia) [Radio Edit],16/06/14,DAY,0.475,0.692,0.039,0.0156,0.0090,0.398,0.221,3
douradopedro,Martin Garrix Live On Tomorrowland 2020,Turn up the Speakers - Radio Edit,Turn Up The Speakers (Radio Edit),27/08/14,DAY,0.694,0.9,0.0456,0.0989,0.9460,0.473,0.293,4
douradopedro,Martin Garrix Live On Tomorrowland 2020,Virus (How About Now),Virus (How About Now),27/10/14,DAY,0.595,0.86,0.0398,0.0008,0.5980,0.155,0.0399,5
douradopedro,Martin Garrix Live On Tomorrowland 2020,Forbidden Voices,Forbidden Voices,23/02/15,DAY,0.534,0.711,0.0368,0.0500,0.0031,0.135,0.3,6
douradopedro,Martin Garrix Live On Tomorrowland 2020,Don't Look Down (feat. Usher),Don't Look Down (feat. Usher),17/03/15,DAY,0.575,0.831,0.0356,0.0041,0.0004,0.111,0.377,7
douradopedro,Martin Garrix Live On Tomorrowland 2020,The Only Way Is Up,Club Life  Vol. 4   New York City,18/05/15,DAY,0.597,0.736,0.0309,0.0030,0.9210,0.0914,0.172,8
douradopedro,Martin Garrix Live On Tomorrowland 2020,Dragon - Radio Edit,Break Through The Silence EP,20/07/15,DAY,0.513,0.917,0.0628,0.0054,0.8160,0.0592,0.145,9
douradopedro,Martin Garrix Live On Tomorrowland 2020,Break Through The Silence,Break Through The Silence EP,31/08/15,DAY,0.574,0.959,0.0634,0.0033,0.0235,0.0691,0.206,10
douradopedro,Martin Garrix Live On Tomorrowland 2020,Now That I've Found You,Now That I've Found You,11/03/16,DAY,0.495,0.831,0.0319,0.0210,0.0000,0.495,0.414,11
douradopedro,Martin Garrix Live On Tomorrowland 2020,Lions in the Wild,Lions in the Wild,27/05/16,DAY,0.504,0.847,0.0442,0.0043,0.0000,0.816,0.28,12
douradopedro,Martin Garrix Live On Tomorrowland 2020,Oops,Oops,13/06/16,DAY,0.618,0.535,0.0421,0.0012,0.0000,0.377,0.154,13
douradopedro,Martin Garrix Live On Tomorrowland 2020,Sun Is Never Going Down (feat. Dawn Golden),Sun Is Never Going Down (feat. Dawn Golden),16/10/16,DAY,0.506,0.726,0.0366,0.0031,0.0001,0.266,0.266,14
douradopedro,Martin Garrix Live On Tomorrowland 2020,Spotless,Seven,28/10/16,DAY,0.517,0.828,0.0482,0.0001,0.8410,0.411,0.0605,15
douradopedro,Martin Garrix Live On Tomorrowland 2020,In the Name of Love - DallasK Remix,In The Name Of Love Remixes,11/11/16,DAY,0.522,0.816,0.0643,0.0126,0.0000,0.348,0.102,16
douradopedro,Martin Garrix Live On Tomorrowland 2020,Scared To Be Lonely - DubVision Remix,Scared To Be Lonely Remixes Vol. 1,17/03/17,DAY,0.669,0.844,0.122,0.2220,0.0000,0.219,0.266,17
douradopedro,Martin Garrix Live On Tomorrowland 2020,Byte,Byte,07/04/17,DAY,0.597,0.931,0.0329,0.0006,0.8210,0.0593,0.267,18
douradopedro,Martin Garrix Live On Tomorrowland 2020,Dreamer,More Than You Know,28/07/17,DAY,0.627,0.847,0.0352,0.0237,0.0000,0.212,0.611,19
douradopedro,Martin Garrix Live On Tomorrowland 2020,Pizza,Pizza,25/08/17,DAY,0.381,0.712,0.0355,0.0004,0.5890,0.183,0.0378,20
douradopedro,Martin Garrix Live On Tomorrowland 2020,Forever,Forever,20/10/17,DAY,0.45,0.898,0.0395,0.0277,0.0616,0.166,0.22,21
douradopedro,Martin Garrix Live On Tomorrowland 2020,Like I Do,Like I Do,22/02/18,DAY,0.635,0.9,0.0377,0.0066,0.0145,0.37,0.15,22
douradopedro,Martin Garrix Live On Tomorrowland 2020,Game Over,Game Over,20/04/18,DAY,0.606,0.941,0.0895,0.0040,0.1360,0.398,0.396,23
douradopedro,Martin Garrix Live On Tomorrowland 2020,Ocean (feat. Khalid) - Martin Garrix & Cesqeaux Remix,Ocean (feat. Khalid) [Remixes Vol. 1],20/07/18,DAY,0.555,0.747,0.0567,0.0348,0.0000,0.155,0.481,24
douradopedro,Martin Garrix Live On Tomorrowland 2020,High On Life (feat. Bonn),High On Life (feat. Bonn),29/07/18,DAY,0.414,0.486,0.0311,0.0129,0.0000,0.111,0.368,25
douradopedro,Martin Garrix Live On Tomorrowland 2020,Burn Out (feat. Dewain Whitmore),Burn Out (feat. Dewain Whitmore),14/09/18,DAY,0.594,0.722,0.0398,0.0156,0.0000,0.0667,0.407,26
douradopedro,Martin Garrix Live On Tomorrowland 2020,Leaving,Leaving,28/09/18,DAY,0.607,0.949,0.197,0.0992,0.0001,0.117,0.26,27
douradopedro,Martin Garrix Live On Tomorrowland 2020,Breach (Walk Alone),BYLAW EP,19/10/18,DAY,0.738,0.953,0.216,0.0388,0.0146,0.214,0.483,28
douradopedro,Martin Garrix Live On Tomorrowland 2020,Latency,BYLAW EP,19/10/18,DAY,0.66,0.937,0.18,0.0328,0.0683,0.497,0.449,29
douradopedro,Martin Garrix Live On Tomorrowland 2020,Yottabyte,BYLAW EP,19/10/18,DAY,0.634,0.632,0.0313,0.0129,0.0005,0.116,0.449,30
douradopedro,Martin Garrix Live On Tomorrowland 2020,Waiting For Tomorrow (feat. Mike Shinoda),BYLAW EP,19/10/18,DAY,0.507,0.887,0.141,0.0073,0.0000,0.562,0.336,31
douradopedro,Martin Garrix Live On Tomorrowland 2020,Dreamer - Nicky Romero Remix,Dreamer (Remixes Vol. 1),07/12/18,DAY,0.435,0.751,0.0599,0.1280,0.0000,0.253,0.346,32
douradopedro,Martin Garrix Live On Tomorrowland 2020,Glitch,Glitch,14/12/18,DAY,0.715,0.792,0.0325,0.0550,0.0236,0.269,0.357,33
douradopedro,Martin Garrix Live On Tomorrowland 2020,Mistaken (feat. Alex Aris) - Club Mix,Mistaken (feat. Alex Aris),31/03/19,DAY,0.61,0.782,0.0462,0.0678,0.1320,0.0693,0.119,34
douradopedro,Martin Garrix Live On Tomorrowland 2020,Party Time,Party Time,04/04/19,DAY,0.635,0.878,0.07,0.0103,0.5380,0.338,0.414,35
douradopedro,Martin Garrix Live On Tomorrowland 2020,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),25/04/19,DAY,0.661,0.723,0.0566,0.1790,0.0000,0.14,0.316,36
douradopedro,Martin Garrix Live On Tomorrowland 2020,These Are The Times (feat. JRM),These Are The Times (feat. JRM),18/07/19,DAY,0.687,0.707,0.0328,0.0536,0.0001,0.16,0.607,37
douradopedro,Martin Garrix Live On Tomorrowland 2020,Home (feat. Bonn),Home (feat. Bonn),16/08/19,DAY,0.466,0.612,0.0307,0.0655,0.0000,0.132,0.236,38
douradopedro,Martin Garrix Live On Tomorrowland 2020,Out Of Control,Out Of Control,21/08/19,DAY,0.667,0.895,0.111,0.0038,0.0894,0.346,0.568,39
douradopedro,Martin Garrix Live On Tomorrowland 2020,No Strings Attached,No Strings Attached,23/08/19,DAY,0.696,0.945,0.0868,0.0508,0.8400,0.115,0.164,40
douradopedro,Martin Garrix Live On Tomorrowland 2020,Doberman,Doberman,13/09/19,DAY,0.535,0.986,0.0711,0.0223,0.7790,0.743,0.362,41
douradopedro,Martin Garrix Live On Tomorrowland 2020,Young Money,Young Money,20/09/19,DAY,0.661,0.979,0.0812,0.0066,0.2340,0.0837,0.683,42
douradopedro,Martin Garrix Live On Tomorrowland 2020,Deep In My Soul,Deep In My Soul,11/10/19,DAY,0.575,0.944,0.0394,0.0039,0.7650,0.0814,0.442,43
douradopedro,Martin Garrix Live On Tomorrowland 2020,Lambo,Lambo,13/12/19,DAY,0.772,0.747,0.0673,0.0060,0.0231,0.243,0.63,44
douradopedro,Martin Garrix Live On Tomorrowland 2020,Hold On (feat. Michel Zitron),Hold On (feat. Michel Zitron),27/12/19,DAY,0.422,0.711,0.0385,0.0176,0.0000,0.559,0.321,45
douradopedro,Martin Garrix Live On Tomorrowland 2020,No Sleep (feat. Bonn) - DubVision Remix,2019 Remixed,31/12/19,DAY,0.584,0.79,0.0589,0.0455,0.0000,0.213,0.291,46
douradopedro,Martin Garrix Live On Tomorrowland 2020,Oh Lord,Oh Lord,31/01/20,DAY,0.765,0.892,0.139,0.0179,0.0181,0.151,0.757,47
douradopedro,Martin Garrix Live On Tomorrowland 2020,NASA,NASA,07/02/20,DAY,0.615,0.799,0.0478,0.0156,0.6330,0.199,0.591,48
douradopedro,Martin Garrix Live On Tomorrowland 2020,Higher Ground (feat. John Martin),Higher Ground (feat. John Martin),14/05/20,DAY,0.442,0.619,0.0321,0.0841,0.0000,0.0889,0.382,49
