user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
12158075911,O Melhor do Samba e Pagode,Interfone,Só Pra Contrariar,07/12/99,DAY,0.556,0.671,0.062,0.7960,0.0000,0.295,0.577,1
12158075911,O Melhor do Samba e Pagode,Sai da Minha Aba (Bicão),Só Pra Contrariar,07/12/99,DAY,0.726,0.925,0.121,0.5860,0.0000,0.0537,0.871,2
12158075911,O Melhor do Samba e Pagode,Machuca Demais,Só Pra Contrariar,07/12/99,DAY,0.582,0.593,0.0333,0.6320,0.0000,0.0563,0.483,3
12158075911,O Melhor do Samba e Pagode,Dez A Um (10 X 1),Bis   ExaltaSamba,01/01/00,DAY,0.431,0.472,0.0489,0.6170,0.0000,0.246,0.478,4
12158075911,O Melhor do Samba e Pagode,Cohab City / Música Incidental: ABC / Vem Pra Cá,Bis   Negritude Junior,01/01/00,DAY,0.697,0.771,0.0524,0.2780,0.0000,0.228,0.851,5
12158075911,O Melhor do Samba e Pagode,Grades do Coração,Ao Vivo No Olimpo,25/04/02,DAY,0.658,0.818,0.0349,0.3980,0.0000,0.929,0.939,6
12158075911,O Melhor do Samba e Pagode,Coração Radiante,Ao Vivo No Olimpo,25/04/02,DAY,0.658,0.862,0.045,0.3970,0.0000,0.852,0.889,7
12158075911,O Melhor do Samba e Pagode,Shortinho Saint-Tropez,De Verdade   Ao Vivo,09/10/02,DAY,0.52,0.699,0.0493,0.4580,0.0000,0.964,0.688,8
12158075911,O Melhor do Samba e Pagode,Por Você,Por Você,27/05/03,DAY,0.777,0.5,0.0467,0.4690,0.0000,0.0896,0.767,9
12158075911,O Melhor do Samba e Pagode,Me Espera,Por Você,27/05/03,DAY,0.667,0.603,0.0389,0.6050,0.0000,0.329,0.934,10
12158075911,O Melhor do Samba e Pagode,Novos Tempos,Novos Tempos,15/08/03,DAY,0.641,0.645,0.0403,0.5500,0.0000,0.292,0.688,11
12158075911,O Melhor do Samba e Pagode,Deixa Acontecer - Ao Vivo,Ao Vivo   Na Palma da Mão,17/06/04,DAY,0.658,0.793,0.0418,0.6280,0.0000,0.958,0.962,12
12158075911,O Melhor do Samba e Pagode,Baixa Essa Guarda,Fundamental   Grupo Revelação Vol.1,01/01/05/07/05,YEAR,0.621,0.764,0.0724,0.6160,0.0000,0.182,0.791,13
12158075911,O Melhor do Samba e Pagode,Tá Escrito - Ao Vivo,Fundamental   Grupo Revelação  Vol.2,01/01/05/07/05,YEAR,0.58,0.901,0.0667,0.5370,0.0000,0.618,0.936,14
12158075911,O Melhor do Samba e Pagode,Compasso do Amor - Ao Vivo,Fundamental   Grupo Revelação  Vol.2,01/01/05/07/05,YEAR,0.659,0.823,0.0354,0.5880,0.0000,0.859,0.963,15
12158075911,O Melhor do Samba e Pagode,O Show Tem Que Continuar - Ao Vivo,Fundamental   Grupo Revelação  Vol.2,01/01/05/07/05,YEAR,0.576,0.965,0.0494,0.3770,0.0005,0.953,0.928,16
12158075911,O Melhor do Samba e Pagode,Me Olha Nos Olhos,Por Você Ao Vivo,03/05/05,DAY,0.445,0.424,0.0336,0.8080,0.0000,0.349,0.331,17
12158075911,O Melhor do Samba e Pagode,Coisinha do Pai,Maxximum   Beth Carvalho,08/08/05,DAY,0.568,0.694,0.105,0.2600,0.0000,0.331,0.912,18
12158075911,O Melhor do Samba e Pagode,Vou Festejar,Maxximum   Beth Carvalho,08/08/05,DAY,0.595,0.718,0.0512,0.1080,0.0000,0.109,0.914,19
12158075911,O Melhor do Samba e Pagode,Andança,Maxximum   Beth Carvalho,08/08/05,DAY,0.649,0.586,0.0385,0.5520,0.0000,0.118,0.733,20
12158075911,O Melhor do Samba e Pagode,A Grande Família,Maxximum   Samba e Pagode,22/08/05,DAY,0.727,0.835,0.0618,0.2680,0.0000,0.257,0.962,21
12158075911,O Melhor do Samba e Pagode,Devagar- Devagarinho,Maxximum   Samba e Pagode,22/08/05,DAY,0.693,0.666,0.0445,0.1480,0.0000,0.29,0.903,22
12158075911,O Melhor do Samba e Pagode,Toca Um Samba Aí,Toca Um Samba Ai,01/01/06,DAY,0.456,0.9,0.13,0.4020,0.0000,0.648,0.413,23
12158075911,O Melhor do Samba e Pagode,Velocidade da Luz,Velocidade da Luz,25/07/06,DAY,0.617,0.709,0.0372,0.6230,0.0000,0.0966,0.946,24
12158075911,O Melhor do Samba e Pagode,É por Amor (És por Amor),Maxximum   Alexandre Pires,16/10/06,DAY,0.502,0.591,0.0385,0.5100,0.0000,0.092,0.344,25
12158075911,O Melhor do Samba e Pagode,Necessidade (Necesidad),Maxximum   Alexandre Pires,16/10/06,DAY,0.523,0.555,0.0312,0.1750,0.0000,0.06,0.245,26
12158075911,O Melhor do Samba e Pagode,Futuro Prometido,É Diferente,10/11/06,DAY,0.672,0.559,0.0437,0.5730,0.0000,0.0727,0.421,27
12158075911,O Melhor do Samba e Pagode,Mulheres,As Grandes Décadas Da Música Popular Brasileira,16/01/07,DAY,0.733,0.47,0.0561,0.2630,0.0000,0.337,0.732,28
12158075911,O Melhor do Samba e Pagode,Tempo De Don Don - Live,Roda De Samba Ao Vivo,01/01/08,DAY,0.681,0.692,0.321,0.3270,0.0000,0.691,0.777,29
12158075911,O Melhor do Samba e Pagode,Pode Chorar - Ao Vivo,Em Casa (Ao Vivo),24/02/08,DAY,0.613,0.939,0.137,0.4150,0.0000,0.918,0.631,30
12158075911,O Melhor do Samba e Pagode,Verdadeira Paixão,100% Grupo Revelação,01/07/09,DAY,0.599,0.629,0.0694,0.3440,0.0000,0.0979,0.828,31
12158075911,O Melhor do Samba e Pagode,Sissi,Mais Além,19/04/10,DAY,0.648,0.717,0.0594,0.5800,0.0000,0.675,0.433,32
12158075911,O Melhor do Samba e Pagode,Fugidinha,25 Anos (Ao Vivo),05/07/11,DAY,0.565,0.889,0.0445,0.5490,0.0000,0.584,0.903,33
12158075911,O Melhor do Samba e Pagode,Tá Vendo Aquela Lua,25 Anos (Ao Vivo),05/07/11,DAY,0.57,0.888,0.05,0.5610,0.0000,0.93,0.645,34
12158075911,O Melhor do Samba e Pagode,Tô Dentro- Tô Fora,25 Anos (Ao Vivo),05/07/11,DAY,0.634,0.919,0.0753,0.6010,0.0000,0.798,0.866,35
12158075911,O Melhor do Samba e Pagode,Um Minuto,25 Anos (Ao Vivo),05/07/11,DAY,0.643,0.905,0.0476,0.5510,0.0000,0.828,0.892,36
12158075911,O Melhor do Samba e Pagode,É No Pagode,25 Anos (Ao Vivo),05/07/11,DAY,0.695,0.881,0.0412,0.6650,0.0000,0.855,0.911,37
12158075911,O Melhor do Samba e Pagode,Só Vai De Camarote - Ao Vivo,360º Ao Vivo,01/01/12,DAY,0.626,0.886,0.0585,0.5520,0.0000,0.681,0.846,38
12158075911,O Melhor do Samba e Pagode,Na Cama - Live,Bate Na Palma Da Mão   Samba & Pagode,01/01/12,DAY,0.565,0.879,0.041,0.6180,0.0000,0.851,0.95,39
12158075911,O Melhor do Samba e Pagode,Eu Sou O Samba,Bate Na Palma Da Mão   Samba & Pagode,01/01/12,DAY,0.747,0.828,0.041,0.5460,0.0000,0.896,0.882,40
12158075911,O Melhor do Samba e Pagode,Fala Baixinho (Shiii) - Live At HSBC Arena/Rio de Janeiro(RJ)-Brazil/2012,360º Ao Vivo,01/01/12,DAY,0.542,0.751,0.0673,0.8320,0.0000,0.822,0.69,41
12158075911,O Melhor do Samba e Pagode,Ô Queiroz - Live At HSBC Arena/Rio de Janeiro(RJ)-Brazil/2012,360º Ao Vivo,01/01/12,DAY,0.59,0.776,0.0614,0.7550,0.0000,0.749,0.875,42
