user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,New Music Friday,IN THE END – Spotify Singles,IN THE END – Spotify Singles,22/10/20,DAY,0.61,0.854,0.044,0.0232,0.0002,0.116,0.364,1
spotify,New Music Friday,Hold On,Hold On,25/10/20,DAY,0.461,0.542,0.0457,0.4530,0.0000,0.146,0.189,2
spotify,New Music Friday,Dancing in My Room,Dancing in My Room,26/10/20,DAY,0.979,0.41,0.112,0.6580,0.0000,0.205,0.74,3
spotify,New Music Friday,Sucks To Be You,Sucks To Be You,26/10/20,DAY,0.747,0.722,0.057,0.2760,0.0000,0.12,0.45,4
spotify,New Music Friday,Feed The Fire (feat. Lucky Daye),Feed The Fire (feat. Lucky Daye),26/10/20,DAY,0.849,0.682,0.123,0.0197,0.0014,0.0996,0.928,5
spotify,New Music Friday,I CAN'T STOP ME,Eyes Wide Open,26/10/20,DAY,0.657,0.88,0.102,0.1210,0.0000,0.463,0.769,6
spotify,New Music Friday,HBK,HBK,26/10/20,DAY,0.667,0.629,0.269,0.2070,0.0000,0.318,0.204,7
spotify,New Music Friday,Plain (feat. Lily Allen & Flo Milli),Plain (feat. Lily Allen & Flo Milli),27/10/20,DAY,0.825,0.546,0.0716,0.2720,0.0000,0.0925,0.822,8
spotify,New Music Friday,Can We (with Kacy Hill),Can We (with Kacy Hill),27/10/20,DAY,0.798,0.61,0.0301,0.1710,0.0688,0.105,0.52,9
spotify,New Music Friday,Bitter,Bitter,27/10/20,DAY,0.818,0.735,0.209,0.2500,0.0000,0.181,0.763,10
spotify,New Music Friday,You've Got To Feel,You've Got To Feel,27/10/20,DAY,0.755,0.63,0.0316,0.1230,0.0000,0.118,0.67,11
spotify,New Music Friday,You Got A Man,For Abby,27/10/20,DAY,0.78,0.817,0.0374,0.1050,0.0000,0.297,0.736,12
spotify,New Music Friday,blood (feat. KennyHoopla & JUDGE),blood (feat. KennyHoopla & JUDGE),27/10/20,DAY,0.608,0.817,0.151,0.0359,0.0000,0.143,0.845,13
spotify,New Music Friday,Burnin,Burnin,28/10/20,DAY,0.846,0.554,0.0559,0.0440,0.0004,0.0797,0.784,14
spotify,New Music Friday,Say Peace Feat. Black Thought,Say Peace [Feat. Black Thought],28/10/20,DAY,0.568,0.847,0.332,0.4030,0.0004,0.173,0.833,15
