user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,Soft Pop Hits,Your Body Is a Wonderland,Room For Squares,16/08/01,DAY,0.647,0.729,0.0236,0.0206,0.0489,0.134,0.687,1
spotify,Soft Pop Hits,She Will Be Loved - Radio Mix,Songs About Jane: 10th Anniversary Edition,01/07/02,YEAR,0.651,0.663,0.0281,0.2280,0.0000,0.0994,0.465,2
spotify,Soft Pop Hits,The Scientist,A Rush of Blood to the Head,08/08/02,DAY,0.557,0.442,0.0243,0.7310,0.0000,0.11,0.213,3
spotify,Soft Pop Hits,I Don't Want to Be,Chariot,21/07/03,DAY,0.423,0.862,0.0695,0.0079,0.0000,0.133,0.462,4
spotify,Soft Pop Hits,Unwritten,Unwritten,30/08/04,DAY,0.706,0.801,0.0399,0.0058,0.0000,0.0822,0.63,5
spotify,Soft Pop Hits,Better Together,In Between Dreams,01/01/05,DAY,0.871,0.346,0.0522,0.2980,0.0000,0.108,0.659,6
spotify,Soft Pop Hits,Fix You,X&Y,07/06/05,DAY,0.209,0.417,0.0338,0.1640,0.0020,0.113,0.124,7
spotify,Soft Pop Hits,How to Save a Life,How To Save A Life,13/09/05,DAY,0.64,0.743,0.0379,0.2690,0.0000,0.101,0.361,8
spotify,Soft Pop Hits,Put Your Records On,Corinne Bailey Rae,01/01/06,DAY,0.739,0.511,0.0362,0.1670,0.0000,0.133,0.542,9
spotify,Soft Pop Hits,Chasing Cars,Eyes Open,01/01/06,DAY,0.563,0.592,0.0276,0.2090,0.0001,0.132,0.136,10
spotify,Soft Pop Hits,Crazy,St. Elsewhere,24/04/06,DAY,0.855,0.587,0.0336,0.0505,0.0071,0.105,0.64,11
spotify,Soft Pop Hits,Waiting On the World to Change,Continuum,11/09/06,DAY,0.577,0.756,0.115,0.1590,0.0002,0.249,0.663,12
spotify,Soft Pop Hits,Come On Get Higher,Some Mad Hope,01/01/07,DAY,0.672,0.623,0.0297,0.2410,0.0000,0.0848,0.617,13
spotify,Soft Pop Hits,Love Song,Little Voice,03/07/07,DAY,0.583,0.786,0.0301,0.0208,0.0000,0.188,0.573,14
spotify,Soft Pop Hits,Bleeding Love,Spirit,01/07/07,YEAR,0.638,0.656,0.0357,0.1880,0.0000,0.146,0.225,15
spotify,Soft Pop Hits,No One,As I Am (Expanded Edition),09/11/07,DAY,0.644,0.548,0.0286,0.0209,0.0000,0.134,0.166,16
spotify,Soft Pop Hits,Apologize,Dreaming Out Loud,20/11/07,DAY,0.593,0.74,0.0339,0.3630,0.0000,0.102,0.502,17
spotify,Soft Pop Hits,I'm Yours,We Sing. We Dance. We Steal Things.,12/05/08,DAY,0.686,0.457,0.0468,0.5950,0.0000,0.105,0.718,18
spotify,Soft Pop Hits,Lucky,We Sing. We Dance. We Steal Things.,12/05/08,DAY,0.623,0.417,0.0354,0.2960,0.0000,0.135,0.721,19
spotify,Soft Pop Hits,Take A Bow,Good Girl Gone Bad: Reloaded,02/06/08,DAY,0.697,0.467,0.0715,0.2480,0.0000,0.0941,0.572,20
spotify,Soft Pop Hits,Free Fallin' - Live at the Nokia Theatre- Los Angeles- CA - December 2007,Where the Light Is: John Mayer Live In Los Angeles,01/07/08,YEAR,0.315,0.296,0.0317,0.7710,0.0000,0.702,0.436,21
spotify,Soft Pop Hits,Breakeven,The Script,08/09/08,DAY,0.63,0.698,0.0244,0.1730,0.0000,0.0789,0.529,22
spotify,Soft Pop Hits,Home,Up from Below,14/07/09,DAY,0.542,0.589,0.0318,0.2920,0.0005,0.177,0.137,23
spotify,Soft Pop Hits,Just the Way You Are,Doo Wops & Hooligans,05/10/10,DAY,0.637,0.843,0.0432,0.0151,0.0000,0.0876,0.434,24
spotify,Soft Pop Hits,Marry You,Doo Wops & Hooligans,05/10/10,DAY,0.62,0.832,0.036,0.3320,0.0000,0.104,0.481,25
spotify,Soft Pop Hits,Hey- Soul Sister,Save Me  San Francisco (Golden Gate Edition),01/12/10,DAY,0.673,0.886,0.0431,0.1850,0.0000,0.0826,0.795,26
spotify,Soft Pop Hits,Rolling in the Deep,21,19/01/11,DAY,0.729,0.756,0.0294,0.1310,0.0000,0.0527,0.522,27
spotify,Soft Pop Hits,Someone Like You,21,19/01/11,DAY,0.559,0.33,0.0285,0.8920,0.0000,0.0975,0.285,28
spotify,Soft Pop Hits,A Thousand Years,A Thousand Years,18/10/11,DAY,0.421,0.407,0.0267,0.3090,0.0010,0.11,0.161,29
spotify,Soft Pop Hits,Home,The World From The Side Of The Moon,01/01/12,DAY,0.606,0.826,0.0307,0.0256,0.0000,0.117,0.322,30
spotify,Soft Pop Hits,Ho Hey,The Lumineers (Deluxe Edition),01/07/12,YEAR,0.682,0.471,0.0301,0.7650,0.0000,0.0908,0.421,31
spotify,Soft Pop Hits,Just Give Me a Reason (feat. Nate Ruess),The Truth About Love,18/09/12,DAY,0.778,0.547,0.0489,0.3460,0.0003,0.132,0.441,32
spotify,Soft Pop Hits,Let Her Go,All The Little Lights,05/11/12,DAY,0.509,0.538,0.0572,0.3850,0.0000,0.104,0.244,33
spotify,Soft Pop Hits,Stay - Album Version (Edited),Unapologetic (Deluxe),10/12/12,DAY,0.621,0.31,0.0283,0.9450,0.0001,0.117,0.125,34
spotify,Soft Pop Hits,All of Me,Love In The Future (Expanded Edition),30/08/13,DAY,0.422,0.264,0.0322,0.9220,0.0000,0.132,0.331,35
spotify,Soft Pop Hits,Royals,Pure Heroine,27/09/13,DAY,0.674,0.428,0.122,0.1210,0.0000,0.132,0.337,36
spotify,Soft Pop Hits,Magic,Magic,03/03/14,DAY,0.738,0.483,0.0403,0.0262,0.6160,0.106,0.355,37
spotify,Soft Pop Hits,I'm Not The Only One,In The Lonely Hour,26/05/14,DAY,0.677,0.485,0.0361,0.5290,0.0000,0.0766,0.493,38
spotify,Soft Pop Hits,Stay With Me,In The Lonely Hour,26/05/14,DAY,0.418,0.42,0.0414,0.5880,0.0001,0.11,0.184,39
spotify,Soft Pop Hits,Thinking out Loud,x (Deluxe Edition),21/06/14,DAY,0.781,0.445,0.0295,0.4740,0.0000,0.184,0.591,40
