user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,The Scene,Paralyzed,Paralyzed,12/07/20,DAY,0.406,0.965,0.0905,0.0013,0.0000,0.139,0.611,1
spotify,The Scene,Backseat,Backseat,13/07/20,DAY,0.458,0.81,0.0936,0.2520,0.0000,0.186,0.456,2
spotify,The Scene,ultimatum,ultimatum,16/07/20,DAY,0.483,0.943,0.0595,0.0001,0.0103,0.246,0.341,3
spotify,The Scene,Who Are We Now,But No Thanks,17/07/20,DAY,0.386,0.971,0.094,0.0000,0.0055,0.555,0.32,4
spotify,The Scene,SNOWFLAKE,WiLDFiRE,17/07/20,DAY,0.713,0.652,0.0517,0.0015,0.0000,0.192,0.684,5
spotify,The Scene,Sick Joke,All Distortions Are Intentional,24/07/20,DAY,0.558,0.733,0.0375,0.0008,0.0000,0.343,0.604,6
spotify,The Scene,Box for My Organs,Box for My Organs,24/07/20,DAY,0.199,0.948,0.0511,0.0004,0.7440,0.128,0.253,7
spotify,The Scene,Nights Alone,Into the Raging Sea,24/07/20,DAY,0.533,0.94,0.0965,0.0432,0.0002,0.336,0.498,8
spotify,The Scene,Your Reminder,Your Reminder,31/07/20,DAY,0.594,0.456,0.0285,0.0328,0.0000,0.17,0.707,9
spotify,The Scene,let go of your love,let go of your love,31/07/20,DAY,0.426,0.389,0.0269,0.8310,0.0002,0.0963,0.17,10
spotify,The Scene,Superstition,Superstition,01/08/20,DAY,0.35,0.932,0.0483,0.0003,0.0024,0.45,0.574,11
spotify,The Scene,Leave It All Behind,Community Locker,06/08/20,DAY,0.532,0.771,0.0414,0.0003,0.0101,0.114,0.373,12
spotify,The Scene,Like That,Pink Elephant,07/08/20,DAY,0.572,0.953,0.0494,0.0007,0.0000,0.0579,0.388,13
spotify,The Scene,Trust Issues,Trust Issues,07/08/20,DAY,0.535,0.804,0.0405,0.0001,0.0001,0.0889,0.289,14
spotify,The Scene,Sink,About People  for People,07/08/20,DAY,0.462,0.938,0.0483,0.0011,0.0000,0.26,0.39,15
spotify,The Scene,Trouble Prone,Whatever Happens,07/08/20,DAY,0.471,0.925,0.0733,0.0000,0.0000,0.135,0.466,16
