user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,Are & Be,In My Bed,The Beauty of Becoming,13/12/19,DAY,0.637,0.501,0.187,0.2290,0.0001,0.099,0.431,1
spotify,Are & Be,You Got It,For You,27/03/20,DAY,0.774,0.376,0.208,0.2970,0.0000,0.165,0.391,2
spotify,Are & Be,BELIEVE IT,PARTYMOBILE,27/03/20,DAY,0.43,0.7,0.264,0.0902,0.0000,0.216,0.731,3
spotify,Are & Be,Think About You - Notion Mix,Think About You (Notion Mix),17/04/20,DAY,0.774,0.619,0.0907,0.0075,0.0000,0.081,0.509,4
spotify,Are & Be,Go Crazy,Slime & B,08/05/20,DAY,0.755,0.578,0.145,0.3160,0.0000,0.25,0.581,5
spotify,Are & Be,Be Mine,MANTIC,29/05/20,DAY,0.578,0.837,0.137,0.1070,0.0351,0.169,0.623,6
spotify,Are & Be,Wake Up Love,Wake Up Love,12/06/20,DAY,0.583,0.766,0.405,0.5020,0.0000,0.159,0.203,7
spotify,Are & Be,BLACK PARADE,BLACK PARADE,19/06/20,DAY,0.824,0.555,0.05,0.0034,0.0000,0.217,0.0611,8
spotify,Are & Be,U Move- I Move (feat. Jhene Aiko),Bigger Love,19/06/20,DAY,0.379,0.249,0.0761,0.8400,0.0000,0.107,0.264,9
spotify,Are & Be,Float,6pc Hot EP,26/06/20,DAY,0.854,0.478,0.0641,0.1480,0.0000,0.0872,0.174,10
spotify,Are & Be,Cherry Pie (feat. Pharrell Williams),Upside Down 2020,26/06/20,DAY,0.69,0.685,0.0957,0.2140,0.0000,0.136,0.468,11
spotify,Are & Be,Do To Me,Do To Me,08/07/20,DAY,0.477,0.854,0.138,0.0603,0.0000,0.168,0.494,12
spotify,Are & Be,My Affection (with PARTYNEXTDOOR),Life On Earth   EP,10/07/20,DAY,0.632,0.495,0.143,0.3330,0.0000,0.0941,0.233,13
spotify,Are & Be,DYING 4 YOUR LOVE,DYING 4 YOUR LOVE,10/07/20,DAY,0.733,0.413,0.167,0.2750,0.0000,0.0833,0.576,14
spotify,Are & Be,Put In Work (with Chris Brown),Put In Work,24/07/20,DAY,0.6,0.678,0.13,0.0491,0.0000,0.138,0.494,15
