user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,Cali Fire,Don't Be Mad At Me - Remix,Don't Be Mad At Me (Remix),14/07/20,DAY,0.868,0.496,0.217,0.1800,0.0000,0.143,0.212,1
spotify,Cali Fire,Scoring,Scoring,07/08/20,DAY,0.941,0.328,0.0908,0.1860,0.0000,0.118,0.539,2
spotify,Cali Fire,Expensive (feat. Nicki Minaj),Expensive (feat. Nicki Minaj),28/08/20,DAY,0.866,0.531,0.0703,0.0379,0.0000,0.0937,0.266,3
spotify,Cali Fire,Glitch (feat. Tinashe),Glitch (feat. Tinashe),31/08/20,DAY,0.896,0.371,0.124,0.0045,0.0001,0.302,0.452,4
spotify,Cali Fire,Death Is Callin,Death Is Callin,01/09/20,DAY,0.757,0.691,0.3,0.0292,0.0000,0.095,0.341,5
spotify,Cali Fire,No Love Lost,No Love Lost,04/09/20,DAY,0.663,0.561,0.483,0.6460,0.0006,0.183,0.37,6
spotify,Cali Fire,Overrated,No Love Lost,04/09/20,DAY,0.842,0.545,0.172,0.6250,0.0016,0.103,0.466,7
spotify,Cali Fire,Okay Doeee,Okay Doeee,04/09/20,DAY,0.902,0.483,0.351,0.1590,0.0000,0.18,0.367,8
spotify,Cali Fire,Children Of The Void,Children Of The Void,04/09/20,DAY,0.669,0.907,0.193,0.2700,0.0001,0.173,0.374,9
spotify,Cali Fire,Streets Ain't Safe,Streets Ain't Safe,10/09/20,DAY,0.799,0.678,0.197,0.1290,0.0000,0.284,0.56,10
spotify,Cali Fire,Pizza Rolls (feat. DaBoii & Cash Kidd),Pizza Rolls (feat. Daboii & Cash Kidd),11/09/20,DAY,0.902,0.473,0.307,0.0150,0.0000,0.229,0.403,11
spotify,Cali Fire,Kobe (feat. Snoop Dogg & Derrick Milano),Kobe (feat. Snoop Dogg & Derrick Milano),11/09/20,DAY,0.714,0.641,0.187,0.0307,0.0000,0.0955,0.767,12
spotify,Cali Fire,Oakland Nights,Oakland Nights,18/09/20,DAY,0.81,0.736,0.283,0.1320,0.0000,0.116,0.596,13
spotify,Cali Fire,Mismatch (The Remix) feat. Young Thug,Mismatch (The Remix),18/09/20,DAY,0.684,0.76,0.24,0.3020,0.0000,0.125,0.288,14
spotify,Cali Fire,FLORENCE,Coffee & Kush  Vol. 2,18/09/20,DAY,0.491,0.576,0.185,0.5800,0.0000,0.179,0.413,15
spotify,Cali Fire,Gang Gang,Oakland Nights,18/09/20,DAY,0.819,0.632,0.0601,0.0016,0.0000,0.0906,0.253,16
spotify,Cali Fire,Money Mouf,Money Mouf,18/09/20,DAY,0.968,0.793,0.256,0.0014,0.0000,0.0814,0.793,17
spotify,Cali Fire,Finer Things,Oakland Nights,18/09/20,DAY,0.832,0.489,0.0839,0.2010,0.0000,0.108,0.595,18
spotify,Cali Fire,The Soul - Pt. 2,The Soul (Pt. 2),21/09/20,DAY,0.572,0.723,0.705,0.2520,0.0000,0.0853,0.514,19
spotify,Cali Fire,Same 40,Occupational Hazard,22/09/20,DAY,0.507,0.805,0.448,0.1770,0.0000,0.157,0.849,20
spotify,Cali Fire,Never Lackin,Occupational Hazard,22/09/20,DAY,0.711,0.757,0.446,0.0615,0.0000,0.0985,0.142,21
spotify,Cali Fire,Out On Bail,Out On Bail,23/09/20,DAY,0.734,0.563,0.314,0.0182,0.0000,0.0981,0.371,22
spotify,Cali Fire,Moving Fast,Rap n Roll (Deluxe Album),25/09/20,DAY,0.894,0.782,0.131,0.0608,0.0000,0.334,0.52,23
spotify,Cali Fire,SAUCE,SAUCE,25/09/20,DAY,0.874,0.65,0.191,0.1620,0.0000,0.179,0.176,24
spotify,Cali Fire,We Outta Here,Rap N Roll,25/09/20,DAY,0.738,0.635,0.144,0.4510,0.0000,0.198,0.509,25
spotify,Cali Fire,Love Is Gangster,Rap N Roll,25/09/20,DAY,0.581,0.944,0.306,0.4830,0.0000,0.327,0.572,26
spotify,Cali Fire,Hot Now (Aubrey) [feat. Rowlan],Idols,02/10/20,DAY,0.816,0.459,0.274,0.2980,0.0000,0.101,0.279,27
