user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,Rock Classics,You Really Got Me - Mono Mix,Kinks,02/10/64,DAY,0.573,0.939,0.0808,0.4930,0.0000,0.0994,0.963,1
spotify,Rock Classics,(I Can't Get No) Satisfaction - Mono Version,Out Of Our Heads,30/07/65,DAY,0.723,0.863,0.0338,0.0383,0.0317,0.128,0.931,2
spotify,Rock Classics,Like a Rolling Stone,Highway 61 Revisited,30/08/65,DAY,0.483,0.721,0.032,0.7290,0.0000,0.189,0.562,3
spotify,Rock Classics,Turn! Turn! Turn! (To Everything There Is a Season),Turn! Turn! Turn!,06/12/65,DAY,0.452,0.818,0.0439,0.1350,0.0000,0.052,0.755,4
spotify,Rock Classics,Paint It- Black - Mono,The Rolling Stones In Mono (Remastered 2016),01/01/66,DAY,0.505,0.836,0.101,0.0103,0.0771,0.295,0.764,5
spotify,Rock Classics,For What It's Worth,Buffalo Springfield,05/12/66,DAY,0.653,0.519,0.0497,0.4060,0.0209,0.101,0.822,6
spotify,Rock Classics,Light My Fire,The Doors,04/01/67,DAY,0.413,0.725,0.0324,0.3690,0.0000,0.0905,0.44,7
spotify,Rock Classics,Somebody to Love,Surrealistic Pillow,01/07/67,YEAR,0.504,0.578,0.031,0.4080,0.0000,0.321,0.654,8
spotify,Rock Classics,Sunshine Of Your Love,Disraeli Gears,02/11/67,DAY,0.684,0.481,0.0384,0.4750,0.0001,0.118,0.784,9
spotify,Rock Classics,Born To Be Wild,Steppenwolf,01/07/68,YEAR,0.438,0.71,0.0919,0.2620,0.5370,0.221,0.53,10
spotify,Rock Classics,White Room,Wheels Of Fire,01/07/68,DAY,0.553,0.576,0.0304,0.1910,0.0066,0.0365,0.457,11
spotify,Rock Classics,All Along the Watchtower,Electric Ladyland,25/10/68,DAY,0.438,0.805,0.0624,0.0026,0.0001,0.0842,0.564,12
spotify,Rock Classics,Back In The U.S.S.R. - Remastered 2009,The Beatles (Remastered),22/11/68,DAY,0.48,0.969,0.0854,0.0690,0.0002,0.0608,0.494,13
spotify,Rock Classics,Pinball Wizard,Tommy,23/05/69,DAY,0.543,0.715,0.0356,0.0192,0.0000,0.256,0.468,14
spotify,Rock Classics,Come Together - Remastered 2009,Abbey Road (Remastered),26/09/69,DAY,0.533,0.376,0.0393,0.0302,0.2480,0.0926,0.187,15
spotify,Rock Classics,Whole Lotta Love - 1990 Remaster,Led Zeppelin II (1994 Remaster),22/10/69,DAY,0.412,0.902,0.405,0.0484,0.1310,0.405,0.422,16
spotify,Rock Classics,Fortunate Son,Willy And The Poor Boys,02/11/69,DAY,0.64,0.663,0.0374,0.2010,0.0081,0.152,0.663,17
spotify,Rock Classics,Fortunate Son,Willy And The Poor Boys,02/11/69,DAY,0.64,0.663,0.0374,0.2010,0.0081,0.152,0.663,18
spotify,Rock Classics,Gimme Shelter,Let It Bleed,05/12/69,DAY,0.634,0.63,0.031,0.4470,0.0390,0.17,0.489,19
spotify,Rock Classics,All Right Now,Fire And Water,26/06/70,DAY,0.787,0.472,0.0832,0.2210,0.0003,0.153,0.824,20
spotify,Rock Classics,Casey Jones - 2013 Remaster,Workingman's Dead,01/07/70,YEAR,0.671,0.405,0.0392,0.3850,0.0000,0.132,0.828,21
spotify,Rock Classics,Immigrant Song - Remaster,Led Zeppelin III (Remaster),01/07/70,YEAR,0.564,0.932,0.0554,0.0130,0.1690,0.349,0.619,22
spotify,Rock Classics,Paranoid,Paranoid (2009 Remastered Version),18/09/70,DAY,0.429,0.631,0.0769,0.0001,0.0041,0.175,0.376,23
spotify,Rock Classics,Iron Man,Paranoid (2009 Remastered Version),18/09/70,DAY,0.332,0.769,0.0765,0.0037,0.0041,0.0372,0.525,24
spotify,Rock Classics,Layla - 40th Anniversary Version / 2010 Remastered,Layla And Other Assorted Love Songs (40th Anniversary / 2010 Remastered),01/11/70,DAY,0.404,0.902,0.0665,0.5770,0.2970,0.287,0.497,25
spotify,Rock Classics,Have You Ever Seen The Rain,Pendulum (40th Anniversary Edition),07/12/70,DAY,0.741,0.697,0.0277,0.0664,0.0000,0.133,0.774,26
spotify,Rock Classics,Me and Bobby McGee,Pearl (Legacy Edition),11/01/71,DAY,0.453,0.464,0.0431,0.3020,0.0001,0.152,0.658,27
spotify,Rock Classics,Riders on the Storm,L.A. Woman,19/04/71,DAY,0.549,0.722,0.0283,0.2500,0.0138,0.11,0.716,28
spotify,Rock Classics,Wild Horses - 2009 Mix,Sticky Fingers (Remastered),23/04/71,DAY,0.432,0.389,0.0255,0.6870,0.0107,0.0788,0.158,29
spotify,Rock Classics,American Pie,American Pie,01/07/71,YEAR,0.531,0.481,0.06,0.6990,0.0000,0.0842,0.491,30
spotify,Rock Classics,Baba O'Riley,Who's Next,14/08/71,DAY,0.489,0.724,0.0352,0.3130,0.1850,0.287,0.15,31
spotify,Rock Classics,Get It On,Electric Warrior,24/09/71,DAY,0.728,0.878,0.0564,0.1760,0.8560,0.61,0.911,32
spotify,Rock Classics,Long Cool Woman (In a Black Dress) - 1999 Remaster,Distant Light (Expanded Edition),01/10/71,DAY,0.757,0.868,0.062,0.4110,0.0022,0.355,0.815,33
spotify,Rock Classics,Smoke On The Water - Remastered 2012,Machine Head (Remastered),25/03/72,DAY,0.598,0.676,0.0279,0.1300,0.2250,0.112,0.805,34
spotify,Rock Classics,Rocket Man (I Think It's Going To Be A Long- Long Time),Honky Chateau,19/05/72,DAY,0.601,0.532,0.0286,0.4320,0.0000,0.0925,0.341,35
spotify,Rock Classics,A Horse with No Name,America,01/07/72,YEAR,0.654,0.506,0.0535,0.6860,0.0155,0.155,0.831,36
spotify,Rock Classics,Listen to the Music,Toulouse Street,01/07/72,YEAR,0.645,0.598,0.0335,0.2210,0.0000,0.0721,0.913,37
spotify,Rock Classics,Walk On the Wild Side,Transformer,01/12/72,DAY,0.575,0.318,0.109,0.6830,0.0002,0.0934,0.385,38
spotify,Rock Classics,The Joker,The Joker,01/01/73,DAY,0.596,0.448,0.0396,0.3650,0.0000,0.206,0.796,39
spotify,Rock Classics,Dream On,Aerosmith,05/01/73,DAY,0.307,0.433,0.029,0.3880,0.0001,0.332,0.224,40
spotify,Rock Classics,Money,The Dark Side of the Moon,01/03/73,DAY,0.469,0.537,0.152,0.0241,0.0020,0.269,0.783,41
spotify,Rock Classics,Free Bird,(Pronounced 'Leh 'Nérd 'Skin 'Nérd),01/07/73,YEAR,0.279,0.852,0.0511,0.0119,0.0760,0.0624,0.438,42
spotify,Rock Classics,La Grange - 2005 Remaster,Tres Hombres (Expanded 2006 Remaster),26/07/73,DAY,0.545,0.64,0.224,0.0025,0.0304,0.196,0.606,43
spotify,Rock Classics,Sweet Home Alabama,Second Helping,15/04/74,DAY,0.596,0.605,0.0255,0.1810,0.0003,0.0863,0.886,44
spotify,Rock Classics,Rebel Rebel - 2016 Remaster,Diamond Dogs (2016 Remaster),24/05/74,DAY,0.635,0.686,0.053,0.2090,0.0176,0.282,0.464,45
spotify,Rock Classics,Kashmir - Remaster,Physical Graffiti (Deluxe Edition),24/02/75,DAY,0.483,0.615,0.0497,0.4520,0.0004,0.0512,0.594,46
spotify,Rock Classics,Rock And Roll All Nite,Dressed To Kill,19/03/75,DAY,0.654,0.929,0.0998,0.0468,0.0000,0.0539,0.902,47
spotify,Rock Classics,Sweet Emotion,Toys In The Attic,08/04/75,DAY,0.38,0.76,0.0378,0.0030,0.0294,0.104,0.491,48
spotify,Rock Classics,Walk This Way,Toys In The Attic,08/04/75,DAY,0.653,0.73,0.043,0.0114,0.0000,0.0754,0.894,49
spotify,Rock Classics,Feel like Makin' Love - 2015 Remaster,Straight Shooter,01/07/75,YEAR,0.543,0.529,0.0301,0.3260,0.0027,0.709,0.746,50
spotify,Rock Classics,Stranglehold,Ted Nugent,01/07/75,YEAR,0.484,0.711,0.0331,0.0183,0.1730,0.0941,0.49,51
spotify,Rock Classics,Bohemian Rhapsody - 2011 Mix,A Night At The Opera (2011 Remaster),21/11/75,DAY,0.414,0.404,0.0499,0.2710,0.0000,0.3,0.224,52
spotify,Rock Classics,Hurricane,Desire,16/01/76,DAY,0.509,0.827,0.079,0.0409,0.0000,0.12,0.743,53
spotify,Rock Classics,T.N.T.,High Voltage,14/05/76,DAY,0.754,0.759,0.302,0.1530,0.0001,0.101,0.435,54
spotify,Rock Classics,Carry on Wayward Son,Leftoverture (Expanded Edition),01/07/76,YEAR,0.482,0.786,0.032,0.0032,0.0001,0.446,0.793,55
spotify,Rock Classics,More Than a Feeling,Boston,01/07/76,YEAR,0.377,0.682,0.0299,0.0009,0.0022,0.0504,0.288,56
spotify,Rock Classics,Peace of Mind,Boston,01/07/76,YEAR,0.421,0.677,0.0343,0.0010,0.0001,0.211,0.683,57
spotify,Rock Classics,(Don't Fear) The Reaper,Agents Of Fortune,01/07/76,YEAR,0.333,0.927,0.0733,0.0029,0.0002,0.297,0.385,58
spotify,Rock Classics,Dirty Deeds Done Dirt Cheap,Dirty Deeds Done Dirt Cheap,20/09/76,DAY,0.668,0.906,0.17,0.2140,0.0025,0.135,0.507,59
spotify,Rock Classics,American Girl,Tom Petty & The Heartbreakers,09/11/76,DAY,0.55,0.824,0.0334,0.4480,0.0001,0.366,0.777,60
spotify,Rock Classics,Hotel California - 2013 Remaster,Hotel California (2013 Remaster),08/12/76,DAY,0.579,0.508,0.027,0.0057,0.0005,0.0575,0.609,61
spotify,Rock Classics,Life in the Fast Lane - 2013 Remaster,Hotel California (2013 Remaster),08/12/76,DAY,0.667,0.755,0.069,0.0966,0.0001,0.0523,0.883,62
spotify,Rock Classics,Give A Little Bit,Even In The Quietest Moments,01/01/77,DAY,0.531,0.818,0.0452,0.0694,0.0096,0.263,0.471,63
spotify,Rock Classics,The Chain - 2004 Remaster,Rumours (Super Deluxe),04/02/77,DAY,0.545,0.67,0.0496,0.0090,0.0008,0.0451,0.481,64
spotify,Rock Classics,Barracuda,Little Queen,14/05/77,DAY,0.547,0.691,0.0369,0.0150,0.1050,0.144,0.667,65
spotify,Rock Classics,Dust in the Wind,Point Of Know Return (Expanded Edition),01/07/77,YEAR,0.475,0.322,0.0283,0.3670,0.0006,0.11,0.387,66
spotify,Rock Classics,I Want You to Want Me,In Color,15/09/77,MONTH,0.806,0.462,0.0298,0.7800,0.0134,0.15,0.736,67
spotify,Rock Classics,We Will Rock You - Remastered,News Of The World (2011 Remaster),28/10/77,DAY,0.692,0.497,0.119,0.6760,0.0000,0.259,0.475,68
spotify,Rock Classics,Beast Of Burden - Remastered,Some Girls,09/06/78,DAY,0.783,0.878,0.0308,0.3900,0.0008,0.0426,0.885,69
spotify,Rock Classics,Sultans Of Swing,Dire Straits,07/10/78,DAY,0.733,0.794,0.0307,0.0614,0.0367,0.33,0.931,70
spotify,Rock Classics,My Sharona,Get The Knack,01/01/79,DAY,0.586,0.7,0.0363,0.0589,0.0012,0.0318,0.897,71
spotify,Rock Classics,London Calling - Remastered,London Calling (Remastered),01/07/79,YEAR,0.651,0.801,0.0513,0.1230,0.0000,0.0825,0.776,72
spotify,Rock Classics,Highway to Hell,Highway to Hell,27/07/79,DAY,0.574,0.913,0.133,0.0610,0.0016,0.156,0.423,73
spotify,Rock Classics,Another Brick in the Wall- Pt. 2,The Wall,30/11/79,DAY,0.694,0.394,0.0428,0.0781,0.0007,0.247,0.719,74
spotify,Rock Classics,Another One Bites The Dust - Remastered 2011,The Game (2011 Remaster),27/06/80,DAY,0.933,0.528,0.161,0.1120,0.3120,0.163,0.754,75
spotify,Rock Classics,Back In Black,Back In Black,25/07/80,DAY,0.31,0.7,0.047,0.0110,0.0097,0.0828,0.763,76
spotify,Rock Classics,You Shook Me All Night Long,Back In Black,25/07/80,DAY,0.532,0.767,0.0574,0.0029,0.0005,0.39,0.755,77
spotify,Rock Classics,Once in a Lifetime - 2005 Remaster,Remain in Light (Deluxe Version),08/10/80,DAY,0.644,0.919,0.0561,0.1810,0.1340,0.622,0.871,78
spotify,Rock Classics,Tom Sawyer,Moving Pictures (2011 Remaster),12/02/81,DAY,0.536,0.901,0.0374,0.0014,0.0186,0.06,0.666,79
spotify,Rock Classics,Don't Stop Believin',Escape,01/07/81,YEAR,0.5,0.748,0.0363,0.1270,0.0000,0.447,0.514,80
spotify,Rock Classics,Under Pressure - Remastered,Hot Space (2011 Remaster),03/05/82,DAY,0.671,0.712,0.0476,0.4290,0.0000,0.103,0.462,81
spotify,Rock Classics,Should I Stay or Should I Go - Remastered,Combat Rock (Remastered),01/07/82,YEAR,0.742,0.833,0.115,0.0790,0.0000,0.384,0.816,82
spotify,Rock Classics,Let's Dance - 2018 Remaster,Let's Dance (2018 Remaster),14/04/83,DAY,0.654,0.743,0.0605,0.0125,0.0272,0.153,0.632,83
spotify,Rock Classics,Every Breath You Take,Synchronicity (Remastered 2003),17/06/83,DAY,0.82,0.452,0.0348,0.5430,0.0029,0.0714,0.74,84
spotify,Rock Classics,Jump - 2015 Remaster,1984 (Remastered),04/01/84,DAY,0.572,0.835,0.0317,0.1710,0.0004,0.0702,0.796,85
spotify,Rock Classics,Born in the U.S.A.,Born In The U.S.A.,04/06/84,DAY,0.398,0.952,0.061,0.0004,0.0001,0.1,0.584,86
spotify,Rock Classics,When Doves Cry,Purple Rain,25/06/84,DAY,0.729,0.989,0.049,0.0102,0.0000,0.443,0.84,87
spotify,Rock Classics,Back on the Chain Gang - 2007 Remaster,Learning to Crawl (Expanded & Remastered),01/07/84,YEAR,0.598,0.901,0.0359,0.1160,0.0401,0.178,0.814,88
spotify,Rock Classics,Livin' On A Prayer,Slippery When Wet,16/08/86,DAY,0.532,0.887,0.0335,0.0778,0.0002,0.294,0.795,89
spotify,Rock Classics,Paradise City,Appetite For Destruction,21/07/87,DAY,0.273,0.952,0.0843,0.0169,0.0111,0.142,0.472,90
spotify,Rock Classics,Sweet Child O' Mine,Appetite For Destruction,21/07/87,DAY,0.454,0.91,0.0448,0.0866,0.0996,0.116,0.629,91
spotify,Rock Classics,Welcome To The Jungle,Appetite For Destruction,21/07/87,DAY,0.447,0.954,0.0751,0.0235,0.4030,0.298,0.331,92
spotify,Rock Classics,House of the Rising Sun,The Singles Plus,19/10/87,DAY,0.316,0.484,0.0308,0.0003,0.0044,0.0912,0.299,93
spotify,Rock Classics,I Hate Myself for Loving You,Up Your Alley,23/05/88,DAY,0.611,0.883,0.0539,0.0846,0.0000,0.192,0.604,94
spotify,Rock Classics,Free Fallin',Full Moon Fever,01/01/89,DAY,0.623,0.449,0.0253,0.2120,0.0000,0.0613,0.572,95
spotify,Rock Classics,Kickstart My Heart,Dr. Feelgood,01/07/89,YEAR,0.361,0.97,0.284,0.0017,0.0016,0.357,0.254,96
spotify,Rock Classics,Personal Jesus - Single Version,The Singles 86 98,28/09/98,DAY,0.673,0.899,0.0434,0.0911,0.0172,0.0481,0.793,97
spotify,Rock Classics,Sunshine Of Your Love,Disraeli Gears (Deluxe Edition),28/09/04,DAY,0.683,0.594,0.0347,0.3850,0.0001,0.121,0.734,98
spotify,Rock Classics,Edge of Seventeen - 2016 Remaster,Bella Donna (Deluxe Edition),04/11/16,DAY,0.591,0.804,0.0454,0.3270,0.0000,0.0818,0.658,99
spotify,Rock Classics,Crazy Train,Blizzard Of Ozz (40th Anniversary Expanded Edition),18/09/20,DAY,0.454,0.913,0.107,0.4080,0.0003,0.248,0.521,100
