user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,Rock This: Best of 2017,Free Fallin',Full Moon Fever,01/01/89,DAY,0.623,0.449,0.0253,0.2120,0.0000,0.0613,0.572,1
spotify,Rock This: Best of 2017,Heavydirtysoul,Blurryface,15/05/15,DAY,0.613,0.873,0.0449,0.0040,0.0011,0.367,0.392,2
spotify,Rock This: Best of 2017,Oh No,That's The Spirit,11/09/15,DAY,0.505,0.827,0.0456,0.0063,0.0000,0.112,0.0974,3
spotify,Rock This: Best of 2017,How Did You Love,Threat to Survival,18/09/15,DAY,0.331,0.75,0.0436,0.0001,0.0000,0.0945,0.26,4
spotify,Rock This: Best of 2017,Cold Cold Cold,Tell Me I'm Pretty,18/12/15,DAY,0.549,0.789,0.0313,0.0178,0.0001,0.059,0.715,5
spotify,Rock This: Best of 2017,Howl,Ellipsis (Deluxe),13/01/16,DAY,0.518,0.947,0.0396,0.0015,0.0000,0.336,0.629,6
spotify,Rock This: Best of 2017,No Good,VINYL: Music From The HBO® Original Series   Vol. 1,12/02/16,DAY,0.363,0.889,0.172,0.0185,0.0007,0.391,0.589,7
spotify,Rock This: Best of 2017,Hurricane,To Be Everywhere Is To Be Nowhere,27/05/16,DAY,0.281,0.814,0.0464,0.0002,0.0000,0.134,0.175,8
spotify,Rock This: Best of 2017,7,The Ride,27/05/16,DAY,0.531,0.711,0.0398,0.0002,0.0029,0.108,0.279,9
spotify,Rock This: Best of 2017,Hated,Aggressive,03/06/16,DAY,0.458,0.99,0.183,0.0003,0.0009,0.454,0.46,10
spotify,Rock This: Best of 2017,Black Rose,Seal The Deal & Let's Boogie,03/06/16,DAY,0.488,0.884,0.0543,0.0091,0.0000,0.0839,0.495,11
spotify,Rock This: Best of 2017,Goodbye Angels,The Getaway,17/06/16,DAY,0.365,0.804,0.105,0.1040,0.0001,0.15,0.577,12
spotify,Rock This: Best of 2017,She's Out Of Her Mind,California,01/07/16,DAY,0.447,0.967,0.0793,0.0045,0.0000,0.487,0.606,13
spotify,Rock This: Best of 2017,Go (Let Me Save You),State of Mind,12/08/16,DAY,0.468,0.915,0.0961,0.3040,0.0002,0.107,0.139,14
spotify,Rock This: Best of 2017,Sweet Disaster,This Album Does Not Exist,26/08/16,DAY,0.515,0.821,0.0309,0.0079,0.0000,0.0787,0.425,15
spotify,Rock This: Best of 2017,Square Hammer,Meliora (Deluxe Edition),16/09/16,DAY,0.53,0.903,0.0483,0.0000,0.1820,0.259,0.747,16
spotify,Rock This: Best of 2017,Still Breathing,Revolution Radio,07/10/16,DAY,0.54,0.902,0.0442,0.0142,0.0000,0.0756,0.692,17
spotify,Rock This: Best of 2017,Reverend,WALLS,14/10/16,DAY,0.448,0.815,0.0361,0.0867,0.6860,0.316,0.217,18
spotify,Rock This: Best of 2017,Get Right,Integrity Blues,21/10/16,DAY,0.453,0.892,0.0381,0.0000,0.0013,0.35,0.586,19
spotify,Rock This: Best of 2017,Alone,Lifelines,21/10/16,DAY,0.539,0.746,0.036,0.0032,0.0000,0.085,0.287,20
spotify,Rock This: Best of 2017,Roman Sky,The Stage,28/10/16,DAY,0.457,0.425,0.0304,0.1310,0.0000,0.0917,0.128,21
spotify,Rock This: Best of 2017,King,King,04/11/16,DAY,0.491,0.619,0.0285,0.0010,0.0000,0.115,0.458,22
spotify,Rock This: Best of 2017,Adore,Adore,04/11/16,DAY,0.592,0.438,0.0391,0.1930,0.0000,0.0564,0.259,23
spotify,Rock This: Best of 2017,Little One,The Boy Who Died Wolf,18/11/16,DAY,0.474,0.363,0.0295,0.0126,0.0000,0.109,0.11,24
spotify,Rock This: Best of 2017,Jungle - Radio Edit,Jungle,19/12/16,DAY,0.536,0.722,0.0304,0.1790,0.0000,0.0947,0.532,25
spotify,Rock This: Best of 2017,Make War,Make War,15/01/17,DAY,0.446,0.915,0.0416,0.0000,0.0000,0.481,0.28,26
spotify,Rock This: Best of 2017,Lullaby,Modern Ruin,20/01/17,DAY,0.156,0.849,0.0664,0.0001,0.5540,0.0793,0.571,27
spotify,Rock This: Best of 2017,Monster,Vessels,20/01/17,DAY,0.386,0.86,0.0543,0.0015,0.0000,0.0643,0.261,28
spotify,Rock This: Best of 2017,Young Lady- You're Scaring Me,HEAVY META,03/02/17,DAY,0.371,0.921,0.0784,0.0113,0.0000,0.43,0.508,29
spotify,Rock This: Best of 2017,Hellfire,The Dull Drums   EP,03/02/17,DAY,0.53,0.864,0.0498,0.2310,0.0000,0.258,0.704,30
spotify,Rock This: Best of 2017,The Promise,The Promise,03/03/17,DAY,0.427,0.62,0.0332,0.2760,0.0000,0.125,0.328,31
spotify,Rock This: Best of 2017,Suit And Jacket,Folk Hop N' Roll (Deluxe),10/03/17,DAY,0.452,0.58,0.0462,0.2220,0.0000,0.101,0.111,32
spotify,Rock This: Best of 2017,Saviour,Wired,10/03/17,DAY,0.229,0.918,0.0729,0.0001,0.0000,0.214,0.269,33
spotify,Rock This: Best of 2017,Cocoon,Blossom (Deluxe),17/03/17,DAY,0.743,0.659,0.0343,0.0998,0.0003,0.0622,0.804,34
spotify,Rock This: Best of 2017,Bottom Of The Deep Blue Sea,Bottom Of The Deep Blue Sea,17/03/17,DAY,0.574,0.746,0.0302,0.0211,0.0001,0.108,0.261,35
spotify,Rock This: Best of 2017,Show Yourself,Emperor of Sand,31/03/17,DAY,0.468,0.977,0.0645,0.0000,0.0213,0.0543,0.493,36
