user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,Rock This,hometown,hometown,25/10/17,DAY,0.315,0.826,0.0636,0.0006,0.0007,0.0703,0.359,1
spotify,Rock This,Canals,MCID,01/11/19,DAY,0.37,0.924,0.0846,0.0077,0.0000,0.183,0.282,2
spotify,Rock This,how will i rest in peace if i'm buried by a highway?//,how will i rest in peace if i'm buried by a highway?//,04/02/20,DAY,0.479,0.844,0.0819,0.0134,0.0000,0.195,0.49,3
spotify,Rock This,Talk to a Friend,Talk to a Friend,27/03/20,DAY,0.395,0.934,0.0757,0.0797,0.0000,0.245,0.628,4
spotify,Rock This,Monsters (feat. blackbear),Wake Up  Sunshine,03/04/20,DAY,0.369,0.845,0.0611,0.0493,0.0000,0.416,0.782,5
spotify,Rock This,Stay Away (feat. Machine Gun Kelly & Goody Grace),Stay Away (feat. Machine Gun Kelly & Goody Grace),24/04/20,DAY,0.667,0.636,0.082,0.0220,0.0000,0.0908,0.152,6
spotify,Rock This,Death by Rock and Roll,Death by Rock and Roll,15/05/20,DAY,0.493,0.943,0.0608,0.0007,0.0090,0.134,0.493,7
spotify,Rock This,Zen (with K.Flay & grandson),Zen (with K.Flay & grandson),15/05/20,DAY,0.723,0.927,0.106,0.1250,0.0000,0.0648,0.874,8
spotify,Rock This,The Rush,Ruthless,12/06/20,DAY,0.747,0.842,0.0489,0.0006,0.0000,0.0785,0.558,9
spotify,Rock This,Take Me Away,Take Me Away,19/06/20,DAY,0.475,0.844,0.0622,0.0001,0.1110,0.221,0.554,10
spotify,Rock This,Fuck Them All,Fuck Them All,10/07/20,DAY,0.539,0.887,0.037,0.0161,0.0000,0.267,0.448,11
spotify,Rock This,Carry On,Carry On,14/07/20,DAY,0.399,0.87,0.0532,0.0036,0.0000,0.361,0.298,12
spotify,Rock This,30,30,17/07/20,DAY,0.548,0.971,0.16,0.0032,0.0004,0.065,0.373,13
spotify,Rock This,The Kingdom,The Kingdom,17/07/20,DAY,0.366,0.845,0.096,0.0001,0.0001,0.197,0.446,14
spotify,Rock This,Jerk,Ugly is Beautiful,17/07/20,DAY,0.521,0.707,0.0428,0.0327,0.0002,0.227,0.298,15
spotify,Rock This,Patience,Patience,20/07/20,DAY,0.597,0.646,0.0344,0.2800,0.0000,0.111,0.364,16
spotify,Rock This,Don't Look At Me,The Breakfast Club (Deluxe Edition),24/07/20,DAY,0.539,0.832,0.256,0.0101,0.0044,0.638,0.287,17
spotify,Rock This,Prescription Kid,Prescription Kid,24/07/20,DAY,0.529,0.767,0.0407,0.0007,0.0021,0.37,0.299,18
spotify,Rock This,Black Eyes Blue,Black Eyes Blue / CMFT Must Be Stopped (feat. Tech N9ne and Kid Bookie),29/07/20,DAY,0.551,0.98,0.0451,0.0009,0.0000,0.142,0.561,19
spotify,Rock This,Scars That I'm Hiding (feat. Anders Fridén of In Flames),Scars That I'm Hiding (feat. Anders Fridén of In Flames),31/07/20,DAY,0.492,0.93,0.0396,0.0000,0.0000,0.307,0.431,20
spotify,Rock This,Every Time You Leave (Feat. Delaney Jane),Every Time You Leave [Feat. Delaney Jane] (Live Acoustic),07/08/20,DAY,0.473,0.749,0.0277,0.0005,0.0000,0.0883,0.172,21
spotify,Rock This,Ohms,Ohms,21/08/20,DAY,0.112,0.978,0.117,0.0001,0.0241,0.117,0.371,22
spotify,Rock This,Wasteland,Si Vis Pacem  Para Bellum,28/08/20,DAY,0.268,0.811,0.0409,0.0001,0.0012,0.0651,0.295,23
spotify,Rock This,Obey (with YUNGBLUD),Obey (with YUNGBLUD),02/09/20,DAY,0.462,0.99,0.211,0.0001,0.0000,0.374,0.204,24
spotify,Rock This,Let It Ride,Let It Ride,11/09/20,DAY,0.53,0.896,0.04,0.0002,0.0222,0.271,0.543,25
spotify,Rock This,god save me- but don't drown me out,god save me  but don't drown me out,17/09/20,DAY,0.373,0.871,0.0622,0.0012,0.0000,0.4,0.201,26
spotify,Rock This,Young & Faded,Young & Faded,17/09/20,DAY,0.614,0.824,0.0519,0.1170,0.0072,0.338,0.172,27
spotify,Rock This,pretend,pretend,18/09/20,DAY,0.518,0.838,0.0999,0.0247,0.0000,0.349,0.688,28
spotify,Rock This,Beautiful Way,Beautiful Way,21/09/20,DAY,0.384,0.921,0.0489,0.0125,0.1080,0.152,0.446,29
