user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,This Is Nirvana,School,Bleach,01/06/89,DAY,0.21,0.943,0.0785,0.0000,0.4930,0.0739,0.13,1
spotify,This Is Nirvana,Blew,Bleach,01/06/89,DAY,0.411,0.882,0.0556,0.0000,0.0147,0.298,0.531,2
spotify,This Is Nirvana,Mr. Moustache,Bleach,01/06/89,DAY,0.194,0.898,0.0608,0.0000,0.1410,0.108,0.482,3
spotify,This Is Nirvana,Negative Creep,Bleach,01/06/89,DAY,0.37,0.947,0.0901,0.0000,0.0002,0.0762,0.418,4
spotify,This Is Nirvana,Something In The Way,Nevermind (Deluxe Edition),26/09/91,DAY,0.427,0.201,0.0317,0.7450,0.2630,0.109,0.0668,5
spotify,This Is Nirvana,Lithium,Nevermind (Deluxe Edition),26/09/91,DAY,0.678,0.656,0.0381,0.0017,0.0000,0.0631,0.485,6
spotify,This Is Nirvana,Smells Like Teen Spirit,Nevermind (Deluxe Edition),26/09/91,DAY,0.502,0.912,0.0564,0.0000,0.0002,0.106,0.72,7
spotify,This Is Nirvana,Come As You Are,Nevermind (Deluxe Edition),26/09/91,DAY,0.5,0.824,0.0388,0.0002,0.0016,0.0916,0.539,8
spotify,This Is Nirvana,In Bloom - Nevermind Version,Nevermind (Deluxe Edition),26/09/91,DAY,0.436,0.876,0.0647,0.0000,0.0001,0.205,0.512,9
spotify,This Is Nirvana,Drain You,Nevermind (Deluxe Edition),26/09/91,DAY,0.325,0.929,0.0695,0.0001,0.0000,0.184,0.198,10
spotify,This Is Nirvana,Stay Away,Nevermind (Deluxe Edition),26/09/91,DAY,0.367,0.981,0.128,0.0000,0.0461,0.0822,0.205,11
spotify,This Is Nirvana,Polly,Nevermind (Deluxe Edition),26/09/91,DAY,0.83,0.382,0.0566,0.8840,0.3010,0.11,0.54,12
