user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,This Is Ramones,Blitzkrieg Bop - 2016 Remaster,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),23/04/76,DAY,0.385,0.783,0.233,0.0003,0.4700,0.108,0.902,1
spotify,This Is Ramones,I Don't Wanna Walk Around with You - Demo,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),23/04/76,DAY,0.308,0.993,0.0565,0.0050,0.0004,0.099,0.573,2
spotify,This Is Ramones,Havana Affair - 2016 Remaster,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),23/04/76,DAY,0.278,0.904,0.0735,0.0028,0.0022,0.15,0.713,3
spotify,This Is Ramones,Beat on the Brat - 2016 Remaster,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),23/04/76,DAY,0.481,0.88,0.176,0.0030,0.6420,0.13,0.961,4
spotify,This Is Ramones,Judy Is a Punk - 2016 Remaster,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),23/04/76,DAY,0.232,0.866,0.0503,0.0801,0.0962,0.235,0.722,5
spotify,This Is Ramones,Now I Wanna Sniff Some Glue - 2016 Remaster,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),23/04/76,DAY,0.219,0.684,0.0739,0.0004,0.0004,0.177,0.71,6
spotify,This Is Ramones,Today Your Love- Tomorrow the World - 2016 Remaster,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),23/04/76,DAY,0.122,0.917,0.0738,0.0001,0.9080,0.38,0.351,7
spotify,This Is Ramones,I Wanna Be Your Boyfriend - 2016 Remaster,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),23/04/76,DAY,0.502,0.837,0.0288,0.0021,0.0000,0.12,0.677,8
spotify,This Is Ramones,Let's Dance - 2016 Remaster,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),23/04/76,DAY,0.322,0.72,0.173,0.0002,0.0077,0.182,0.839,9
spotify,This Is Ramones,California Sun - 2017 Remaster,Leave Home (40th Anniversary Deluxe Edition),10/01/77,DAY,0.426,0.855,0.054,0.0014,0.0001,0.0667,0.551,10
spotify,This Is Ramones,Carbona Not Glue - 2017 Remaster,Leave Home (40th Anniversary Deluxe Edition),10/01/77,DAY,0.54,0.881,0.0316,0.0009,0.0000,0.313,0.7,11
spotify,This Is Ramones,Suzy Is a Headbanger - 2017 Remaster,Leave Home (40th Anniversary Deluxe Edition),10/01/77,DAY,0.44,0.853,0.0798,0.0008,0.8590,0.0868,0.819,12
spotify,This Is Ramones,Oh- Oh- I Love Her So - 2017 Remaster,Leave Home (40th Anniversary Deluxe Edition),10/01/77,DAY,0.476,0.871,0.0382,0.0424,0.0000,0.143,0.889,13
spotify,This Is Ramones,Glad to See You Go - 2017 Remaster,Leave Home (40th Anniversary Deluxe Edition),10/01/77,DAY,0.398,0.934,0.0405,0.0018,0.0000,0.142,0.906,14
spotify,This Is Ramones,Sheena Is a Punk Rocker - 2017 Remaster,Rocket to Russia (40th Anniversary Deluxe Edition),04/11/77,DAY,0.42,0.965,0.0403,0.0981,0.0003,0.0784,0.846,15
spotify,This Is Ramones,Rockaway Beach - 2017 Remaster,Rocket to Russia (40th Anniversary Deluxe Edition),04/11/77,DAY,0.426,0.921,0.0529,0.0008,0.0000,0.169,0.895,16
