user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,This Is Ryan Adams,Avenues,Strangers Almanac,01/01/97,DAY,0.502,0.172,0.0318,0.5310,0.0000,0.482,0.527,1
spotify,This Is Ryan Adams,16 Days,Strangers Almanac,01/01/97,DAY,0.574,0.72,0.0508,0.2650,0.0000,0.0998,0.406,2
spotify,This Is Ryan Adams,Dancing With The Women At The Bar,Strangers Almanac,01/01/97,DAY,0.486,0.499,0.0315,0.3780,0.0001,0.097,0.307,3
spotify,This Is Ryan Adams,Everything I Do,Strangers Almanac,01/01/97,DAY,0.534,0.422,0.0359,0.6260,0.0004,0.21,0.354,4
spotify,This Is Ryan Adams,Amy,Heartbreaker,05/09/00,DAY,0.501,0.075,0.0352,0.8320,0.0002,0.102,0.214,5
spotify,This Is Ryan Adams,To Be Young (Is to Be Sad- Is to Be High),Heartbreaker,05/09/00,DAY,0.486,0.73,0.042,0.0748,0.0002,0.361,0.421,6
spotify,This Is Ryan Adams,Come Pick Me Up,Heartbreaker,05/09/00,DAY,0.581,0.271,0.0352,0.0703,0.0048,0.187,0.269,7
spotify,This Is Ryan Adams,Oh My Sweet Carolina,Heartbreaker,05/09/00,DAY,0.487,0.128,0.0368,0.4870,0.0000,0.108,0.306,8
spotify,This Is Ryan Adams,When The Stars Go Blue,Gold,01/01/01,DAY,0.59,0.208,0.0316,0.4660,0.0000,0.115,0.293,9
spotify,This Is Ryan Adams,Sylvia Plath,Gold,01/01/01,DAY,0.346,0.0392,0.044,0.9280,0.0000,0.101,0.127,10
spotify,This Is Ryan Adams,New York- New York,Gold,01/01/01,DAY,0.52,0.812,0.0381,0.0562,0.0001,0.165,0.409,11
spotify,This Is Ryan Adams,Nobody Girl,Gold,01/01/01,DAY,0.524,0.405,0.0295,0.1550,0.0006,0.0595,0.328,12
spotify,This Is Ryan Adams,La Cienega Just Smiled,Gold,01/01/01,DAY,0.634,0.341,0.0275,0.4420,0.1400,0.0861,0.599,13
