user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
vanessagalrao,This Is Gusttavo Lima,Cor de Ouro,Gusttavo Lima,01/01/09,DAY,0.68,0.779,0.0352,0.3060,0.0000,0.971,0.617,1
vanessagalrao,This Is Gusttavo Lima,Rosas- Versos e Vinhos,Gusttavo Lima,01/01/09,DAY,0.542,0.666,0.0279,0.2510,0.0000,0.633,0.321,2
vanessagalrao,This Is Gusttavo Lima,Na Hora H / Passou da Conta / Me Apaixonei (A Primeira Vez que Te Vi) / Da Boca pra Fora - Ao Vivo,Inventor dos Amores (Ao Vivo),25/09/10,DAY,0.406,0.759,0.0507,0.7920,0.0000,0.902,0.38,3
vanessagalrao,This Is Gusttavo Lima,Refém - Ao Vivo,Inventor dos Amores (Ao Vivo),25/09/10,DAY,0.581,0.829,0.0402,0.4030,0.0000,0.664,0.461,4
vanessagalrao,This Is Gusttavo Lima,Amor de Primavera - Ao Vivo,Inventor dos Amores (Ao Vivo),25/09/10,DAY,0.634,0.852,0.0268,0.3810,0.0011,0.707,0.566,5
vanessagalrao,This Is Gusttavo Lima,Se Não Quer Me Amar - Ao Vivo,Inventor dos Amores (Ao Vivo),25/09/10,DAY,0.632,0.884,0.0362,0.1980,0.0000,0.937,0.655,6
vanessagalrao,This Is Gusttavo Lima,Calafrio - Ao Vivo,Inventor dos Amores (Ao Vivo),25/09/10,DAY,0.593,0.919,0.0494,0.2350,0.0000,0.865,0.379,7
vanessagalrao,This Is Gusttavo Lima,Balada - Ao Vivo,Gusttavo Lima e Você (Ao Vivo),20/09/11,DAY,0.675,0.958,0.0611,0.1700,0.0000,0.965,0.813,8
vanessagalrao,This Is Gusttavo Lima,Inventor dos Amores - Ao Vivo,Gusttavo Lima e Você (Ao Vivo),20/09/11,DAY,0.57,0.89,0.0303,0.3800,0.0000,0.845,0.42,9
vanessagalrao,This Is Gusttavo Lima,60 Segundos - Ao Vivo,Gusttavo Lima e Você (Ao Vivo),20/09/11,DAY,0.659,0.741,0.0258,0.6430,0.0000,0.687,0.35,10
vanessagalrao,This Is Gusttavo Lima,Eu Vou tentando Te Agarrar - Ao Vivo,Gusttavo Lima e Você (Ao Vivo),20/09/11,DAY,0.653,0.926,0.0367,0.4250,0.0000,0.961,0.625,11
vanessagalrao,This Is Gusttavo Lima,Eu Te Achei - Ao Vivo,Gusttavo Lima e Você (Ao Vivo),20/09/11,DAY,0.374,0.562,0.0408,0.7360,0.0000,0.912,0.467,12
vanessagalrao,This Is Gusttavo Lima,Gatinha Assanhada - Ao Vivo,Ao Vivo em São Paulo,20/11/12,DAY,0.662,0.981,0.0417,0.0237,0.0000,0.288,0.891,13
vanessagalrao,This Is Gusttavo Lima,Doidaça - Ao Vivo,Ao Vivo em São Paulo,20/11/12,DAY,0.654,0.974,0.0572,0.1680,0.0000,0.749,0.887,14
vanessagalrao,This Is Gusttavo Lima,Fora do Comum - Ao Vivo,Ao Vivo em São Paulo,20/11/12,DAY,0.598,0.782,0.0282,0.5410,0.0000,0.794,0.339,15
vanessagalrao,This Is Gusttavo Lima,As Mina Pira na Balada - Ao Vivo,Ao Vivo em São Paulo,20/11/12,DAY,0.552,0.993,0.0647,0.1850,0.0000,0.299,0.813,16
vanessagalrao,This Is Gusttavo Lima,Fazer Beber (feat. Neymar Jr.) - Ao Vivo,Ao Vivo em São Paulo,20/11/12,DAY,0.561,0.99,0.0501,0.2570,0.0000,0.349,0.941,17
vanessagalrao,This Is Gusttavo Lima,Diz pra Mim (Just Give Me a Reason),Do Outro Lado da Moeda,24/02/14,DAY,0.673,0.736,0.0276,0.6940,0.0000,0.124,0.479,18
vanessagalrao,This Is Gusttavo Lima,Só Tem Eu,Do Outro Lado da Moeda,24/02/14,DAY,0.661,0.966,0.263,0.6580,0.0000,0.192,0.935,19
vanessagalrao,This Is Gusttavo Lima,Tô Solto na Night,Do Outro Lado da Moeda,24/02/14,DAY,0.772,0.941,0.0518,0.0500,0.0000,0.121,0.619,20
vanessagalrao,This Is Gusttavo Lima,Talismã / Temporal de Amor / Solidão (feat. Gusttavo Lima) - Ao Vivo,Leonardo 30 Anos (Ao Vivo),30/03/14,DAY,0.359,0.757,0.0311,0.1230,0.0000,0.901,0.319,21
vanessagalrao,This Is Gusttavo Lima,Tá Faltando Eu,Buteco do Gusttavo Lima (Deluxe),17/07/15,DAY,0.701,0.734,0.0342,0.6820,0.0000,0.919,0.703,22
vanessagalrao,This Is Gusttavo Lima,Olha Amor,Buteco do Gusttavo Lima (Deluxe),17/07/15,DAY,0.633,0.72,0.0327,0.4800,0.0000,0.309,0.683,23
vanessagalrao,This Is Gusttavo Lima,É Fato - Ao Vivo,Efeitos Tour 2011 (Ao Vivo),28/11/16,DAY,0.578,0.736,0.0918,0.0874,0.0000,0.826,0.827,24
vanessagalrao,This Is Gusttavo Lima,Apelido Carinhoso,Buteco do Gusttavo Lima  Vol. 2,01/12/17,DAY,0.708,0.82,0.0839,0.1200,0.0000,0.131,0.654,25
vanessagalrao,This Is Gusttavo Lima,Cem Mil - Ao Vivo,O Embaixador (ao Vivo),26/10/18,DAY,0.901,0.819,0.051,0.3090,0.0000,0.701,0.924,26
vanessagalrao,This Is Gusttavo Lima,Eu Não Iria - Ao Vivo,O Embaixador (ao Vivo),26/10/18,DAY,0.823,0.836,0.0629,0.2790,0.0000,0.776,0.682,27
vanessagalrao,This Is Gusttavo Lima,Na Hora de Amar - Ao Vivo,O Embaixador (ao Vivo),26/10/18,DAY,0.675,0.75,0.0471,0.1490,0.0000,0.916,0.385,28
vanessagalrao,This Is Gusttavo Lima,Sujeito - Ao Vivo,O Embaixador (ao Vivo),26/10/18,DAY,0.705,0.496,0.0636,0.4860,0.0000,0.168,0.487,29
vanessagalrao,This Is Gusttavo Lima,Zé da Recaída - Ao Vivo,O Embaixador (ao Vivo),26/10/18,DAY,0.837,0.881,0.0369,0.0675,0.0000,0.728,0.756,30
