user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
12142462379,pra_ouvir,Paranoid,Paranoid (2009 Remastered Version),18/09/70,DAY,0.429,0.631,0.0769,0.0001,0.0041,0.175,0.376,1
12142462379,pra_ouvir,Crazy Train,Blizzard of Ozz (Expanded Edition),20/09/80,DAY,0.453,0.906,0.115,0.3610,0.0006,0.26,0.473,2
12142462379,pra_ouvir,Sympathy For The Devil,The Rolling Stones Singles Collection: The London Years,15/08/89,DAY,0.728,0.681,0.221,0.6100,0.0000,0.0559,0.578,3
12142462379,pra_ouvir,Are You Gonna Go My Way,Are You Gonna Go My Way,09/03/93,DAY,0.619,0.67,0.0353,0.0016,0.0109,0.331,0.777,4
12142462379,pra_ouvir,Fly Away,5,12/05/98,DAY,0.587,0.872,0.0484,0.0180,0.0000,0.622,0.735,5
12142462379,pra_ouvir,Eu amo mais você,Mais do Que Imaginei,15/11/99,DAY,0.321,0.904,0.0695,0.0064,0.0005,0.381,0.481,6
12142462379,pra_ouvir,Sympathy For The Devil,Greatest Hits,23/03/04,DAY,0.31,0.945,0.168,0.0174,0.0075,0.211,0.25,7
12142462379,pra_ouvir,Virtual Insanity - Remastered,High Times: Singles 1992 2006 (Remastered),06/11/06,DAY,0.662,0.949,0.108,0.1270,0.0000,0.135,0.515,8
12142462379,pra_ouvir,Kind Hearted Woman Blues - SA.2580-1,The Centennial Collection,22/04/11,DAY,0.619,0.115,0.0436,0.9150,0.0000,0.0912,0.338,9
12142462379,pra_ouvir,I Believe I'll Dust My Broom - SA.2581-1,The Centennial Collection,22/04/11,DAY,0.707,0.276,0.062,0.9380,0.0006,0.0862,0.868,10
12142462379,pra_ouvir,Sweet Home Chicago - SA.2582-1,The Centennial Collection,22/04/11,DAY,0.691,0.0987,0.138,0.9500,0.0000,0.0847,0.438,11
12142462379,pra_ouvir,Ramblin' On My Mind - SA.2583-1,The Centennial Collection,22/04/11,DAY,0.69,0.204,0.0714,0.9580,0.0000,0.144,0.737,12
